jitter_frac,episode_idx,WI_fromT
0.0000,0,47.119200
0.0000,1,47.119200
0.0000,2,47.119200
0.0000,3,47.119200
0.0000,4,47.119200
0.0000,5,47.119200
0.0000,6,47.119200
0.0000,7,47.119200
0.0000,8,47.119200
0.0000,9,47.119200
0.0000,10,47.119200
0.0000,11,47.119200
0.0000,12,47.119200
0.0000,13,47.119200
0.0000,14,47.119200
0.0000,15,47.119200
0.0000,16,47.119200
0.0000,17,47.119200
0.0000,18,47.119200
0.0000,19,47.119200
0.0000,20,47.119200
0.0000,21,47.119200
0.0000,22,47.119200
0.0000,23,47.119200
0.0000,24,47.119200
0.0000,25,47.119200
0.0000,26,47.119200
0.0000,27,47.119200
0.0000,28,47.119200
0.0000,29,47.119200
0.0000,30,47.119200
0.0000,31,47.119200
0.0000,32,47.119200
0.0000,33,47.119200
0.0000,34,47.119200
0.0000,35,47.119200
0.0000,36,47.119200
0.0000,37,47.119200
0.0000,38,47.119200
0.0000,39,47.119200
0.0000,40,47.119200
0.0000,41,47.119200
0.0000,42,47.119200
0.0000,43,47.119200
0.0000,44,47.119200
0.0000,45,47.119200
0.0000,46,47.119200
0.0000,47,47.119200
0.0000,48,47.119200
0.0000,49,47.119200
0.0000,50,47.119200
0.0000,51,47.119200
0.0000,52,47.119200
0.0000,53,47.119200
0.0000,54,47.119200
0.0000,55,47.119200
0.0000,56,47.119200
0.0000,57,47.119200
0.0000,58,47.119200
0.0000,59,47.119200
0.0000,60,47.119200
0.0000,61,47.119200
0.0000,62,47.119200
0.0000,63,47.119200
0.0000,64,47.119200
0.0000,65,47.119200
0.0000,66,47.119200
0.0000,67,47.119200
0.0000,68,47.119200
0.0000,69,47.119200
0.0000,70,47.119200
0.0000,71,47.119200
0.0000,72,47.119200
0.0000,73,47.119200
0.0000,74,47.119200
0.0000,75,47.119200
0.0000,76,47.119200
0.0000,77,47.119200
0.0000,78,47.119200
0.0000,79,47.119200
0.0000,80,47.119200
0.0000,81,47.119200
0.0000,82,47.119200
0.0000,83,47.119200
0.0000,84,47.119200
0.0000,85,47.119200
0.0000,86,47.119200
0.0000,87,47.119200
0.0000,88,47.119200
0.0000,89,47.119200
0.0000,90,47.119200
0.0000,91,47.119200
0.0000,92,47.119200
0.0000,93,47.119200
0.0000,94,47.119200
0.0000,95,47.119200
0.0000,96,47.119200
0.0000,97,47.119200
0.0000,98,47.119200
0.0000,99,47.119200
0.0500,0,48.148563
0.0500,1,48.166442
0.0500,2,48.194274
0.0500,3,47.861364
0.0500,4,48.698301
0.0500,5,48.051008
0.0500,6,48.621750
0.0500,7,48.574777
0.0500,8,48.129243
0.0500,9,48.277284
0.0500,10,48.249804
0.0500,11,48.168396
0.0500,12,48.281282
0.0500,13,47.988159
0.0500,14,48.089395
0.0500,15,47.784246
0.0500,16,48.431488
0.0500,17,48.046731
0.0500,18,48.309099
0.0500,19,48.208981
0.0500,20,48.388074
0.0500,21,48.116747
0.0500,22,48.362217
0.0500,23,48.460746
0.0500,24,48.196431
0.0500,25,48.212769
0.0500,26,48.664615
0.0500,27,48.411608
0.0500,28,48.252691
0.0500,29,49.457844
0.0500,30,48.494109
0.0500,31,48.048527
0.0500,32,48.667325
0.0500,33,48.834805
0.0500,34,48.474311
0.0500,35,48.049990
0.0500,36,48.698077
0.0500,37,48.409413
0.0500,38,48.259230
0.0500,39,48.087225
0.0500,40,48.358141
0.0500,41,48.251152
0.0500,42,48.488581
0.0500,43,48.301666
0.0500,44,48.438756
0.0500,45,48.026505
0.0500,46,48.042733
0.0500,47,48.298024
0.0500,48,48.416188
0.0500,49,48.623453
0.0500,50,48.089973
0.0500,51,48.567725
0.0500,52,48.216809
0.0500,53,48.236611
0.0500,54,47.993730
0.0500,55,48.464462
0.0500,56,48.501741
0.0500,57,48.372236
0.0500,58,48.327002
0.0500,59,48.240909
0.0500,60,48.017288
0.0500,61,48.341842
0.0500,62,47.954210
0.0500,63,48.431459
0.0500,64,48.212771
0.0500,65,49.524199
0.0500,66,48.019701
0.0500,67,48.232346
0.0500,68,47.996390
0.0500,69,48.449135
0.0500,70,48.004252
0.0500,71,48.371360
0.0500,72,48.234086
0.0500,73,48.377374
0.0500,74,48.448123
0.0500,75,48.653964
0.0500,76,48.178217
0.0500,77,47.406702
0.0500,78,48.520531
0.0500,79,48.020015
0.0500,80,47.882147
0.0500,81,48.176214
0.0500,82,47.878507
0.0500,83,48.601198
0.0500,84,48.202123
0.0500,85,48.082339
0.0500,86,47.936006
0.0500,87,48.158057
0.0500,88,48.218552
0.0500,89,48.508774
0.0500,90,48.465982
0.0500,91,48.168703
0.0500,92,47.999833
0.0500,93,51.649172
0.0500,94,48.671540
0.0500,95,48.367449
0.0500,96,47.958901
0.0500,97,47.930747
0.0500,98,47.883976
0.0500,99,48.144076
0.1000,0,49.372146
0.1000,1,50.164923
0.1000,2,50.534503
0.1000,3,49.599714
0.1000,4,49.069309
0.1000,5,50.189394
0.1000,6,51.318734
0.1000,7,50.553973
0.1000,8,50.358609
0.1000,9,50.124299
0.1000,10,49.321897
0.1000,11,50.590087
0.1000,12,48.494691
0.1000,13,49.824076
0.1000,14,50.143738
0.1000,15,50.015424
0.1000,16,49.773987
0.1000,17,51.458402
0.1000,18,50.583900
0.1000,19,49.542997
0.1000,20,49.501364
0.1000,21,50.367611
0.1000,22,50.370623
0.1000,23,50.504943
0.1000,24,50.694705
0.1000,25,49.676021
0.1000,26,49.872973
0.1000,27,50.027787
0.1000,28,50.223683
0.1000,29,50.383442
0.1000,30,49.953487
0.1000,31,49.171788
0.1000,32,49.814109
0.1000,33,50.090741
0.1000,34,49.517577
0.1000,35,50.064305
0.1000,36,50.011712
0.1000,37,49.819849
0.1000,38,51.645408
0.1000,39,49.449317
0.1000,40,50.316423
0.1000,41,50.108447
0.1000,42,50.116696
0.1000,43,50.284495
0.1000,44,50.952472
0.1000,45,49.605811
0.1000,46,50.469942
0.1000,47,50.631215
0.1000,48,49.621177
0.1000,49,49.738538
0.1000,50,51.592306
0.1000,51,49.808808
0.1000,52,50.511869
0.1000,53,49.971331
0.1000,54,50.170366
0.1000,55,49.935103
0.1000,56,50.264785
0.1000,57,49.660222
0.1000,58,50.562810
0.1000,59,49.282696
0.1000,60,49.066205
0.1000,61,49.483120
0.1000,62,50.422837
0.1000,63,50.098945
0.1000,64,48.945305
0.1000,65,50.172577
0.1000,66,50.436601
0.1000,67,50.110063
0.1000,68,49.963262
0.1000,69,50.259928
0.1000,70,49.703266
0.1000,71,50.201822
0.1000,72,50.378553
0.1000,73,50.142794
0.1000,74,49.478429
0.1000,75,49.076097
0.1000,76,49.557371
0.1000,77,50.210466
0.1000,78,50.421044
0.1000,79,50.362026
0.1000,80,50.397508
0.1000,81,49.201318
0.1000,82,51.420216
0.1000,83,49.401222
0.1000,84,48.883191
0.1000,85,49.779913
0.1000,86,49.632883
0.1000,87,49.703961
0.1000,88,50.858947
0.1000,89,50.353250
0.1000,90,49.231025
0.1000,91,49.067005
0.1000,92,49.561316
0.1000,93,49.712538
0.1000,94,49.338967
0.1000,95,50.253908
0.1000,96,49.630193
0.1000,97,50.130705
0.1000,98,50.450417
0.1000,99,49.585451
0.1500,0,50.540423
0.1500,1,50.917303
0.1500,2,52.685363
0.1500,3,50.371067
0.1500,4,52.292493
0.1500,5,52.341521
0.1500,6,52.641785
0.1500,7,51.606511
0.1500,8,51.113534
0.1500,9,52.453447
0.1500,10,51.711446
0.1500,11,51.375340
0.1500,12,50.549555
0.1500,13,51.288869
0.1500,14,51.764127
0.1500,15,52.514276
0.1500,16,51.256204
0.1500,17,51.605418
0.1500,18,52.477326
0.1500,19,51.577660
0.1500,20,52.326543
0.1500,21,52.609966
0.1500,22,50.798865
0.1500,23,51.840886
0.1500,24,52.079613
0.1500,25,51.148172
0.1500,26,50.171082
0.1500,27,51.378128
0.1500,28,50.927116
0.1500,29,51.260390
0.1500,30,51.106420
0.1500,31,52.188956
0.1500,32,51.404798
0.1500,33,50.329419
0.1500,34,50.824555
0.1500,35,52.695608
0.1500,36,50.875866
0.1500,37,50.578839
0.1500,38,50.528954
0.1500,39,51.788193
0.1500,40,50.776115
0.1500,41,51.439449
0.1500,42,50.969410
0.1500,43,51.719215
0.1500,44,51.780518
0.1500,45,51.347518
0.1500,46,53.856755
0.1500,47,51.022342
0.1500,48,50.668204
0.1500,49,50.677572
0.1500,50,51.981207
0.1500,51,52.800013
0.1500,52,51.579784
0.1500,53,52.893637
0.1500,54,51.062959
0.1500,55,52.599441
0.1500,56,51.283623
0.1500,57,49.723172
0.1500,58,51.351497
0.1500,59,51.655701
0.1500,60,51.762301
0.1500,61,52.178081
0.1500,62,51.297597
0.1500,63,51.934300
0.1500,64,52.310705
0.1500,65,50.333824
0.1500,66,52.313675
0.1500,67,51.913657
0.1500,68,51.242268
0.1500,69,51.980646
0.1500,70,51.818621
0.1500,71,51.388958
0.1500,72,50.794663
0.1500,73,50.830391
0.1500,74,52.245586
0.1500,75,50.729470
0.1500,76,52.205091
0.1500,77,51.967047
0.1500,78,51.976365
0.1500,79,53.057075
0.1500,80,51.116996
0.1500,81,51.599098
0.1500,82,50.574434
0.1500,83,52.994554
0.1500,84,51.062730
0.1500,85,52.188960
0.1500,86,50.201732
0.1500,87,50.982344
0.1500,88,51.074601
0.1500,89,50.143231
0.1500,90,51.619806
0.1500,91,50.381461
0.1500,92,51.646641
0.1500,93,52.000817
0.1500,94,51.794857
0.1500,95,52.728608
0.1500,96,51.812678
0.1500,97,50.345220
0.1500,98,52.390526
0.1500,99,50.599646
0.2000,0,52.238677
0.2000,1,53.627738
0.2000,2,52.645121
0.2000,3,54.376240
0.2000,4,54.145909
0.2000,5,52.699810
0.2000,6,52.029217
0.2000,7,52.967845
0.2000,8,53.218530
0.2000,9,53.078887
0.2000,10,53.877832
0.2000,11,54.635095
0.2000,12,53.757773
0.2000,13,52.853014
0.2000,14,52.921656
0.2000,15,52.665809
0.2000,16,52.519129
0.2000,17,52.980881
0.2000,18,54.748381
0.2000,19,51.953739
0.2000,20,53.923142
0.2000,21,51.521878
0.2000,22,52.870821
0.2000,23,53.213640
0.2000,24,53.589588
0.2000,25,52.594415
0.2000,26,53.963708
0.2000,27,52.306817
0.2000,28,52.807335
0.2000,29,54.635958
0.2000,30,51.586228
0.2000,31,53.648619
0.2000,32,54.023132
0.2000,33,54.885169
0.2000,34,52.919908
0.2000,35,53.988727
0.2000,36,51.970820
0.2000,37,52.470997
0.2000,38,54.011543
0.2000,39,52.411678
0.2000,40,54.040950
0.2000,41,51.670597
0.2000,42,53.978142
0.2000,43,53.121150
0.2000,44,53.265748
0.2000,45,51.551270
0.2000,46,54.361766
0.2000,47,52.725818
0.2000,48,52.046577
0.2000,49,52.490687
0.2000,50,52.626657
0.2000,51,53.135209
0.2000,52,51.920417
0.2000,53,53.648844
0.2000,54,52.836329
0.2000,55,52.576251
0.2000,56,53.521802
0.2000,57,53.078519
0.2000,58,51.840867
0.2000,59,52.212733
0.2000,60,52.948552
0.2000,61,52.921771
0.2000,62,53.285172
0.2000,63,54.042486
0.2000,64,54.246340
0.2000,65,52.256611
0.2000,66,53.734776
0.2000,67,52.474101
0.2000,68,52.818531
0.2000,69,53.144010
0.2000,70,53.768642
0.2000,71,52.067414
0.2000,72,54.337819
0.2000,73,52.510211
0.2000,74,53.792702
0.2000,75,56.221633
0.2000,76,53.234812
0.2000,77,52.917697
0.2000,78,54.183592
0.2000,79,53.112237
0.2000,80,55.089475
0.2000,81,53.226987
0.2000,82,52.960721
0.2000,83,53.598938
0.2000,84,53.075294
0.2000,85,53.103999
0.2000,86,54.150785
0.2000,87,52.307554
0.2000,88,53.394878
0.2000,89,51.617134
0.2000,90,53.210100
0.2000,91,54.143031
0.2000,92,54.079316
0.2000,93,52.662312
0.2000,94,52.823197
0.2000,95,52.630006
0.2000,96,50.735946
0.2000,97,53.024498
0.2000,98,52.465975
0.2000,99,53.042364
0.2500,0,53.787327
0.2500,1,55.533613
0.2500,2,54.805612
0.2500,3,56.125983
0.2500,4,55.235873
0.2500,5,56.274600
0.2500,6,55.235018
0.2500,7,55.312312
0.2500,8,55.124035
0.2500,9,55.262968
0.2500,10,54.756028
0.2500,11,55.448336
0.2500,12,54.682510
0.2500,13,53.865816
0.2500,14,55.459615
0.2500,15,55.328070
0.2500,16,55.470638
0.2500,17,53.305642
0.2500,18,54.705271
0.2500,19,54.759452
0.2500,20,55.543503
0.2500,21,53.671655
0.2500,22,54.001272
0.2500,23,56.227698
0.2500,24,54.714402
0.2500,25,55.859514
0.2500,26,53.491659
0.2500,27,53.537692
0.2500,28,54.226187
0.2500,29,56.337378
0.2500,30,55.180907
0.2500,31,55.987731
0.2500,32,55.016452
0.2500,33,53.646304
0.2500,34,56.618389
0.2500,35,55.989034
0.2500,36,54.876947
0.2500,37,55.431196
0.2500,38,54.448866
0.2500,39,55.336187
0.2500,40,55.471523
0.2500,41,55.283630
0.2500,42,53.171394
0.2500,43,54.632855
0.2500,44,53.951918
0.2500,45,53.154842
0.2500,46,54.739377
0.2500,47,53.369998
0.2500,48,55.653917
0.2500,49,54.258409
0.2500,50,54.865146
0.2500,51,55.274808
0.2500,52,54.167137
0.2500,53,54.874689
0.2500,54,55.049680
0.2500,55,54.069098
0.2500,56,52.716643
0.2500,57,53.696588
0.2500,58,51.902455
0.2500,59,52.832731
0.2500,60,55.624870
0.2500,61,53.892078
0.2500,62,55.134156
0.2500,63,52.661276
0.2500,64,56.650836
0.2500,65,53.347136
0.2500,66,53.993224
0.2500,67,55.481535
0.2500,68,54.943139
0.2500,69,54.313379
0.2500,70,56.120323
0.2500,71,56.265029
0.2500,72,55.142718
0.2500,73,55.887602
0.2500,74,56.006665
0.2500,75,53.968269
0.2500,76,54.194111
0.2500,77,53.409272
0.2500,78,55.202535
0.2500,79,56.354595
0.2500,80,56.719622
0.2500,81,55.659735
0.2500,82,56.225951
0.2500,83,55.042165
0.2500,84,55.988686
0.2500,85,53.998193
0.2500,86,55.352300
0.2500,87,55.148310
0.2500,88,56.162005
0.2500,89,54.072723
0.2500,90,55.743751
