jitter_frac,episode_idx,WI_fromT
0.0000,0,4.000000
0.0000,1,4.000000
0.0000,2,4.000000
0.0000,3,4.000000
0.0000,4,4.000000
0.0000,5,4.000000
0.0000,6,4.000000
0.0000,7,4.000000
0.0000,8,4.000000
0.0000,9,4.000000
0.0000,10,4.000000
0.0000,11,4.000000
0.0000,12,4.000000
0.0000,13,4.000000
0.0000,14,4.000000
0.0000,15,4.000000
0.0000,16,4.000000
0.0000,17,4.000000
0.0000,18,4.000000
0.0000,19,4.000000
0.0000,20,4.000000
0.0000,21,4.000000
0.0000,22,4.000000
0.0000,23,4.000000
0.0000,24,4.000000
0.0000,25,4.000000
0.0000,26,4.000000
0.0000,27,4.000000
0.0000,28,4.000000
0.0000,29,4.000000
0.0000,30,4.000000
0.0000,31,4.000000
0.0000,32,4.000000
0.0000,33,4.000000
0.0000,34,4.000000
0.0000,35,4.000000
0.0000,36,4.000000
0.0000,37,4.000000
0.0000,38,4.000000
0.0000,39,4.000000
0.0000,40,4.000000
0.0000,41,4.000000
0.0000,42,4.000000
0.0000,43,4.000000
0.0000,44,4.000000
0.0000,45,4.000000
0.0000,46,4.000000
0.0000,47,4.000000
0.0000,48,4.000000
0.0000,49,4.000000
0.0000,50,4.000000
0.0000,51,4.000000
0.0000,52,4.000000
0.0000,53,4.000000
0.0000,54,4.000000
0.0000,55,4.000000
0.0000,56,4.000000
0.0000,57,4.000000
0.0000,58,4.000000
0.0000,59,4.000000
0.0000,60,4.000000
0.0000,61,4.000000
0.0000,62,4.000000
0.0000,63,4.000000
0.0000,64,4.000000
0.0000,65,4.000000
0.0000,66,4.000000
0.0000,67,4.000000
0.0000,68,4.000000
0.0000,69,4.000000
0.0000,70,4.000000
0.0000,71,4.000000
0.0000,72,4.000000
0.0000,73,4.000000
0.0000,74,4.000000
0.0000,75,4.000000
0.0000,76,4.000000
0.0000,77,4.000000
0.0000,78,4.000000
0.0000,79,4.000000
0.0000,80,4.000000
0.0000,81,4.000000
0.0000,82,4.000000
0.0000,83,4.000000
0.0000,84,4.000000
0.0000,85,4.000000
0.0000,86,4.000000
0.0000,87,4.000000
0.0000,88,4.000000
0.0000,89,4.000000
0.0000,90,4.000000
0.0000,91,4.000000
0.0000,92,4.000000
0.0000,93,4.000000
0.0000,94,4.000000
0.0000,95,4.000000
0.0000,96,4.000000
0.0000,97,4.000000
0.0000,98,4.000000
0.0000,99,4.000000
0.0500,0,4.945456
0.0500,1,5.718048
0.0500,2,4.670467
0.0500,3,6.037167
0.0500,4,5.567815
0.0500,5,4.560072
0.0500,6,4.901432
0.0500,7,4.782681
0.0500,8,5.493062
0.0500,9,4.881244
0.0500,10,5.619585
0.0500,11,4.885014
0.0500,12,4.513854
0.0500,13,6.495073
0.0500,14,5.054606
0.0500,15,4.624449
0.0500,16,5.838695
0.0500,17,5.061417
0.0500,18,5.053187
0.0500,19,4.547435
0.0500,20,4.597462
0.0500,21,5.038784
0.0500,22,5.263444
0.0500,23,4.969190
0.0500,24,5.070081
0.0500,25,5.015028
0.0500,26,5.080798
0.0500,27,5.090979
0.0500,28,5.067972
0.0500,29,4.616176
0.0500,30,4.975817
0.0500,31,5.665589
0.0500,32,4.838712
0.0500,33,4.782382
0.0500,34,5.029810
0.0500,35,4.732282
0.0500,36,4.625543
0.0500,37,5.167159
0.0500,38,4.919252
0.0500,39,6.557044
0.0500,40,4.458727
0.0500,41,4.966719
0.0500,42,4.579465
0.0500,43,5.523073
0.0500,44,5.438788
0.0500,45,4.547210
0.0500,46,5.035345
0.0500,47,4.624963
0.0500,48,4.622909
0.0500,49,4.581583
0.0500,50,4.607456
0.0500,51,5.054161
0.0500,52,4.946596
0.0500,53,4.991597
0.0500,54,4.597867
0.0500,55,5.049444
0.0500,56,4.582222
0.0500,57,5.894687
0.0500,58,5.443953
0.0500,59,5.363684
0.0500,60,4.970086
0.0500,61,5.113086
0.0500,62,5.076103
0.0500,63,4.589321
0.0500,64,4.573149
0.0500,65,4.535664
0.0500,66,4.997734
0.0500,67,5.101586
0.0500,68,4.607956
0.0500,69,4.612415
0.0500,70,4.731928
0.0500,71,5.111109
0.0500,72,5.470853
0.0500,73,4.600910
0.0500,74,5.040916
0.0500,75,4.634538
0.0500,76,4.881594
0.0500,77,5.062405
0.0500,78,5.135692
0.0500,79,5.438383
0.0500,80,4.929814
0.0500,81,4.581136
0.0500,82,4.889058
0.0500,83,4.946978
0.0500,84,5.683414
0.0500,85,5.461370
0.0500,86,4.856028
0.0500,87,4.607955
0.0500,88,4.819897
0.0500,89,4.583352
0.0500,90,6.160872
0.0500,91,4.599819
0.0500,92,5.086860
0.0500,93,4.736085
0.0500,94,5.966136
0.0500,95,4.640347
0.0500,96,5.518444
0.0500,97,6.477050
0.0500,98,5.793426
0.0500,99,5.008833
0.1000,0,5.320812
0.1000,1,5.648595
0.1000,2,5.061287
0.1000,3,4.915004
0.1000,4,5.130614
0.1000,5,5.897479
0.1000,6,4.602588
0.1000,7,4.656633
0.1000,8,4.609513
0.1000,9,5.406915
0.1000,10,4.780025
0.1000,11,5.403114
0.1000,12,4.776009
0.1000,13,4.684217
0.1000,14,5.185722
0.1000,15,5.006874
0.1000,16,4.717987
0.1000,17,5.007127
0.1000,18,5.443645
0.1000,19,5.133966
0.1000,20,5.137668
0.1000,21,4.748679
0.1000,22,5.251820
0.1000,23,5.344029
0.1000,24,4.853535
0.1000,25,4.664371
0.1000,26,5.124722
0.1000,27,5.185975
0.1000,28,5.108731
0.1000,29,5.732132
0.1000,30,4.975773
0.1000,31,5.123094
0.1000,32,5.925230
0.1000,33,5.536605
0.1000,34,5.301687
0.1000,35,4.964587
0.1000,36,4.883718
0.1000,37,4.963590
0.1000,38,5.262870
0.1000,39,5.131416
0.1000,40,4.975533
0.1000,41,5.084080
0.1000,42,4.949002
0.1000,43,4.731158
0.1000,44,6.930030
0.1000,45,4.931039
0.1000,46,7.391054
0.1000,47,5.999108
0.1000,48,5.507031
0.1000,49,4.691661
0.1000,50,5.751511
0.1000,51,5.681778
0.1000,52,5.156354
0.1000,53,5.657112
