jitter_frac,episode_idx,WI_fromT
0.0000,0,40.000000
0.0000,1,40.000000
0.0000,2,40.000000
0.0000,3,40.000000
0.0000,4,40.000000
0.0000,5,40.000000
0.0000,6,40.000000
0.0000,7,40.000000
0.0000,8,40.000000
0.0000,9,40.000000
0.0000,10,40.000000
0.0000,11,40.000000
0.0000,12,40.000000
0.0000,13,40.000000
0.0000,14,40.000000
0.0000,15,40.000000
0.0000,16,40.000000
0.0000,17,40.000000
0.0000,18,40.000000
0.0000,19,40.000000
0.0000,20,40.000000
0.0000,21,40.000000
0.0000,22,40.000000
0.0000,23,40.000000
0.0000,24,40.000000
0.0000,25,40.000000
0.0000,26,40.000000
0.0000,27,40.000000
0.0000,28,40.000000
0.0000,29,40.000000
0.0000,30,40.000000
0.0000,31,40.000000
0.0000,32,40.000000
0.0000,33,40.000000
0.0000,34,40.000000
0.0000,35,40.000000
0.0000,36,40.000000
0.0000,37,40.000000
0.0000,38,40.000000
0.0000,39,40.000000
0.0000,40,40.000000
0.0000,41,40.000000
0.0000,42,40.000000
0.0000,43,40.000000
0.0000,44,40.000000
0.0000,45,40.000000
0.0000,46,40.000000
0.0000,47,40.000000
0.0000,48,40.000000
0.0000,49,40.000000
0.0000,50,40.000000
0.0000,51,40.000000
0.0000,52,40.000000
0.0000,53,40.000000
0.0000,54,40.000000
0.0000,55,40.000000
0.0000,56,40.000000
0.0000,57,40.000000
0.0000,58,40.000000
0.0000,59,40.000000
0.0000,60,40.000000
0.0000,61,40.000000
0.0000,62,40.000000
0.0000,63,40.000000
0.0000,64,40.000000
0.0000,65,40.000000
0.0000,66,40.000000
0.0000,67,40.000000
0.0000,68,40.000000
0.0000,69,40.000000
0.0000,70,40.000000
0.0000,71,40.000000
0.0000,72,40.000000
0.0000,73,40.000000
0.0000,74,40.000000
0.0000,75,40.000000
0.0000,76,40.000000
0.0000,77,40.000000
0.0000,78,40.000000
0.0000,79,40.000000
0.0000,80,40.000000
0.0000,81,40.000000
0.0000,82,40.000000
0.0000,83,40.000000
0.0000,84,40.000000
0.0000,85,40.000000
0.0000,86,40.000000
0.0000,87,40.000000
0.0000,88,40.000000
0.0000,89,40.000000
0.0000,90,40.000000
0.0000,91,40.000000
0.0000,92,40.000000
0.0000,93,40.000000
0.0000,94,40.000000
0.0000,95,40.000000
0.0000,96,40.000000
0.0000,97,40.000000
0.0000,98,40.000000
0.0000,99,40.000000
0.0500,0,78.704174
0.0500,1,72.864945
0.0500,2,77.186163
0.0500,3,69.629547
0.0500,4,77.754080
0.0500,5,70.922773
0.0500,6,69.212715
0.0500,7,72.158273
0.0500,8,98.072246
0.0500,9,86.582106
0.0500,10,69.128007
0.0500,11,78.061751
0.0500,12,71.634296
0.0500,13,85.167104
0.0500,14,72.962648
0.0500,15,70.139425
0.0500,16,71.819698
0.0500,17,72.407850
0.0500,18,68.117473
0.0500,19,91.870519
0.0500,20,81.315835
0.0500,21,92.813929
0.0500,22,75.692570
0.0500,23,72.490768
0.0500,24,77.704488
0.0500,25,70.501975
0.0500,26,70.259862
0.0500,27,71.765229
0.0500,28,65.786088
0.0500,29,67.337182
0.0500,30,74.152347
0.0500,31,81.181781
0.0500,32,86.868943
0.0500,33,72.135130
0.0500,34,70.454158
0.0500,35,86.517215
0.0500,36,67.245664
0.0500,37,71.334742
0.0500,38,63.536992
0.0500,39,67.664042
0.0500,40,68.292600
0.0500,41,75.175941
0.0500,42,68.160474
0.0500,43,75.792983
0.0500,44,73.267521
0.0500,45,68.261240
0.0500,46,71.729623
0.0500,47,72.520337
0.0500,48,68.656857
0.0500,49,82.550496
0.0500,50,78.943475
0.0500,51,65.778503
0.0500,52,67.823536
0.0500,53,72.012466
0.0500,54,65.354611
0.0500,55,70.113881
0.0500,56,68.873320
0.0500,57,69.341251
0.0500,58,82.477951
0.0500,59,68.154235
0.0500,60,65.568143
0.0500,61,81.878481
0.0500,62,67.399960
0.0500,63,82.942001
0.0500,64,74.159051
0.0500,65,78.554777
0.0500,66,72.433905
0.0500,67,66.025898
0.0500,68,67.628497
0.0500,69,67.691869
0.0500,70,70.485329
0.0500,71,65.164129
0.0500,72,71.344214
0.0500,73,65.932531
0.0500,74,80.422979
0.0500,75,68.447429
0.0500,76,61.860777
0.0500,77,81.163218
0.0500,78,71.871791
0.0500,79,72.792338
0.0500,80,80.135155
0.0500,81,80.182173
0.0500,82,77.971817
0.0500,83,62.421556
0.0500,84,63.753701
0.0500,85,76.027408
0.0500,86,60.606739
0.0500,87,62.997405
0.0500,88,77.776617
0.0500,89,67.448146
0.0500,90,76.043315
0.0500,91,79.327426
0.0500,92,60.671835
0.0500,93,74.679588
0.0500,94,73.069007
0.0500,95,74.473500
0.0500,96,77.644522
0.0500,97,66.144476
0.0500,98,79.626813
0.0500,99,75.478854
0.1000,0,83.620780
0.1000,1,73.357851
0.1000,2,74.954240
0.1000,3,61.770284
0.1000,4,81.338306
0.1000,5,71.886504
0.1000,6,66.816343
0.1000,7,68.231039
0.1000,8,76.039360
0.1000,9,69.968663
0.1000,10,79.153028
0.1000,11,93.369691
0.1000,12,70.873184
0.1000,13,78.027342
0.1000,14,72.632684
0.1000,15,78.478761
0.1000,16,61.849612
0.1000,17,82.920233
0.1000,18,73.735544
0.1000,19,72.180582
0.1000,20,71.790240
0.1000,21,68.690480
0.1000,22,72.930820
0.1000,23,72.985713
0.1000,24,68.290938
0.1000,25,72.097642
0.1000,26,70.234322
0.1000,27,97.488145
0.1000,28,73.551533
0.1000,29,82.452611
0.1000,30,62.427944
0.1000,31,77.014077
0.1000,32,65.881507
0.1000,33,63.335873
0.1000,34,83.612978
0.1000,35,75.648076
0.1000,36,76.490345
0.1000,37,89.169876
0.1000,38,73.260389
0.1000,39,70.897905
0.1000,40,72.226423
0.1000,41,75.236893
0.1000,42,79.415998
0.1000,43,80.137625
0.1000,44,69.934713
0.1000,45,77.998445
0.1000,46,66.870155
0.1000,47,75.636092
0.1000,48,74.077299
0.1000,49,69.879616
0.1000,50,91.529048
0.1000,51,65.755839
0.1000,52,71.191572
0.1000,53,98.130786
0.1000,54,74.163452
0.1000,55,79.191678
0.1000,56,89.262971
0.1000,57,86.793420
0.1000,58,77.173987
0.1000,59,72.398638
0.1000,60,63.399506
0.1000,61,64.001832
0.1000,62,71.789870
0.1000,63,64.956602
0.1000,64,80.063672
0.1000,65,91.854929
0.1000,66,73.857549
0.1000,67,77.898238
0.1000,68,68.015998
0.1000,69,80.588675
0.1000,70,83.080888
0.1000,71,69.138191
0.1000,72,78.203153
0.1000,73,81.370955
0.1000,74,69.535256
0.1000,75,77.242190
0.1000,76,78.566022
0.1000,77,68.298290
0.1000,78,70.012975
0.1000,79,66.526105
0.1000,80,76.795619
0.1000,81,74.447322
0.1000,82,70.958204
0.1000,83,70.169185
0.1000,84,71.395674
0.1000,85,84.019106
0.1000,86,66.616924
0.1000,87,66.967461
0.1000,88,64.316180
0.1000,89,96.160071
0.1000,90,71.729225
0.1000,91,63.543301
0.1000,92,76.565954
0.1000,93,70.392945
0.1000,94,84.514489
0.1000,95,65.572596
0.1000,96,67.955753
0.1000,97,64.648575
0.1000,98,73.166734
0.1000,99,65.849784
0.1500,0,86.152824
0.1500,1,75.928382
0.1500,2,65.398216
0.1500,3,71.604216
0.1500,4,80.549572
0.1500,5,79.918220
0.1500,6,72.182583
0.1500,7,80.817270
0.1500,8,76.804709
0.1500,9,74.456793
0.1500,10,72.796757
0.1500,11,74.319963
0.1500,12,76.758963
0.1500,13,87.465279
0.1500,14,76.034661
0.1500,15,71.329406
0.1500,16,75.129588
0.1500,17,73.329798
0.1500,18,63.107158
0.1500,19,67.593500
0.1500,20,88.510619
0.1500,21,72.901592
0.1500,22,78.273129
0.1500,23,74.841192
0.1500,24,68.448954
0.1500,25,62.895597
0.1500,26,68.044646
0.1500,27,67.947033
0.1500,28,82.254071
0.1500,29,71.426186
0.1500,30,69.014697
0.1500,31,68.143165
0.1500,32,71.695474
0.1500,33,70.932476
0.1500,34,74.961481
0.1500,35,74.641713
0.1500,36,73.779922
0.1500,37,75.934412
0.1500,38,69.427625
0.1500,39,80.871753
0.1500,40,73.336770
0.1500,41,66.387221
0.1500,42,95.765696
0.1500,43,71.963210
0.1500,44,71.909899
0.1500,45,68.087265
0.1500,46,72.777558
0.1500,47,79.346386
0.1500,48,82.595650
0.1500,49,63.044740
0.1500,50,75.164971
0.1500,51,75.304251
0.1500,52,76.450483
0.1500,53,79.800384
0.1500,54,81.678371
0.1500,55,89.508305
0.1500,56,83.145019
0.1500,57,89.458215
0.1500,58,72.524295
0.1500,59,90.332502
0.1500,60,67.721563
0.1500,61,66.817119
0.1500,62,64.752309
0.1500,63,79.087324
0.1500,64,68.781246
0.1500,65,63.680611
0.1500,66,75.531075
0.1500,67,68.591888
0.1500,68,101.468239
0.1500,69,77.688778
0.1500,70,73.501931
0.1500,71,78.883070
0.1500,72,73.347394
0.1500,73,82.610307
0.1500,74,73.458525
0.1500,75,75.412106
0.1500,76,64.127910
0.1500,77,71.258917
0.1500,78,73.807043
0.1500,79,74.154475
0.1500,80,71.309156
0.1500,81,68.529962
0.1500,82,75.920755
0.1500,83,87.180792
0.1500,84,65.361033
0.1500,85,73.462035
0.1500,86,89.171518
0.1500,87,75.014674
0.1500,88,69.968269
0.1500,89,63.143634
0.1500,90,69.030062
0.1500,91,74.513962
0.1500,92,62.780779
0.1500,93,72.199904
0.1500,94,82.050491
0.1500,95,75.113429
0.1500,96,68.654861
0.1500,97,66.868812
0.1500,98,73.251206
0.1500,99,83.202698
0.2000,0,75.800138
0.2000,1,74.434945
0.2000,2,62.335370
0.2000,3,74.416899
0.2000,4,82.209364
0.2000,5,64.129882
0.2000,6,96.071331
0.2000,7,91.950900
0.2000,8,69.048027
0.2000,9,71.750583
0.2000,10,69.740289
0.2000,11,64.000643
0.2000,12,85.810758
0.2000,13,68.287455
0.2000,14,69.930703
0.2000,15,85.464933
0.2000,16,72.198829
0.2000,17,85.265715
0.2000,18,83.288011
0.2000,19,75.031589
0.2000,20,79.692123
0.2000,21,80.273689
0.2000,22,69.088378
0.2000,23,72.620326
0.2000,24,79.608430
0.2000,25,65.731682
0.2000,26,71.378653
0.2000,27,72.203490
0.2000,28,75.658204
0.2000,29,85.454213
0.2000,30,69.826329
0.2000,31,67.869748
0.2000,32,68.034950
0.2000,33,70.933711
0.2000,34,78.029259
0.2000,35,65.985646
0.2000,36,81.759598
0.2000,37,67.539172
0.2000,38,78.063787
0.2000,39,66.076047
0.2000,40,70.383737
0.2000,41,77.829984
0.2000,42,75.329842
0.2000,43,70.090079
0.2000,44,74.953991
0.2000,45,77.065751
0.2000,46,87.479159
0.2000,47,82.809475
0.2000,48,67.997242
0.2000,49,75.285915
0.2000,50,72.076320
0.2000,51,77.495619
0.2000,52,64.371580
0.2000,53,106.555131
0.2000,54,97.976962
0.2000,55,67.005365
0.2000,56,64.869715
0.2000,57,93.292710
0.2000,58,69.379436
0.2000,59,68.608299
0.2000,60,68.792941
0.2000,61,70.365798
0.2000,62,70.778608
0.2000,63,76.067659
0.2000,64,71.876325
0.2000,65,66.564103
0.2000,66,76.097732
0.2000,67,71.926733
0.2000,68,77.443507
0.2000,69,72.468838
0.2000,70,89.284543
0.2000,71,68.336026
0.2000,72,78.067845
0.2000,73,70.330210
0.2000,74,69.921254
0.2000,75,70.073033
0.2000,76,71.825382
0.2000,77,66.999891
0.2000,78,87.588377
0.2000,79,74.153023
0.2000,80,95.292420
0.2000,81,69.796120
0.2000,82,70.752293
0.2000,83,70.690429
0.2000,84,63.677901
0.2000,85,65.158300
0.2000,86,65.826967
0.2000,87,69.095968
0.2000,88,77.498978
0.2000,89,67.958707
0.2000,90,69.311066
0.2000,91,71.697115
0.2000,92,69.129946
0.2000,93,71.685363
0.2000,94,65.748935
0.2000,95,69.803523
0.2000,96,74.379767
0.2000,97,69.463128
0.2000,98,71.151971
0.2000,99,73.611552
0.2500,0,76.154738
0.2500,1,75.734271
0.2500,2,81.306511
0.2500,3,76.894247
0.2500,4,69.757794
0.2500,5,61.294235
0.2500,6,78.965913
0.2500,7,77.702163
0.2500,8,65.819558
0.2500,9,68.670105
0.2500,10,68.753220
0.2500,11,81.863406
0.2500,12,64.483309
0.2500,13,71.240980
0.2500,14,66.965213
0.2500,15,63.626423
0.2500,16,74.062550
0.2500,17,68.167235
0.2500,18,96.547917
0.2500,19,76.542518
0.2500,20,66.816227
0.2500,21,80.354341
0.2500,22,75.720686
0.2500,23,73.159877
0.2500,24,70.031376
0.2500,25,79.005251
0.2500,26,75.611435
0.2500,27,68.023279
0.2500,28,68.085464
0.2500,29,72.423979
0.2500,30,89.944649
0.2500,31,77.799907
0.2500,32,67.383861
0.2500,33,77.639439
0.2500,34,87.628736
0.2500,35,71.582087
0.2500,36,73.781215
0.2500,37,80.276045
0.2500,38,69.932561
0.2500,39,70.356274
0.2500,40,70.234426
0.2500,41,74.031272
0.2500,42,78.694222
0.2500,43,86.098736
0.2500,44,67.557435
0.2500,45,72.906124
0.2500,46,100.206007
0.2500,47,64.669042
0.2500,48,64.370892
0.2500,49,69.493023
0.2500,50,73.080134
0.2500,51,67.539396
0.2500,52,84.155430
0.2500,53,76.634793
0.2500,54,84.066665
0.2500,55,73.820468
0.2500,56,73.522081
0.2500,57,73.947189
0.2500,58,71.403474
0.2500,59,84.270956
0.2500,60,67.278060
0.2500,61,66.927613
0.2500,62,63.918863
0.2500,63,95.114727
0.2500,64,76.614788
0.2500,65,68.457215
0.2500,66,73.239850
0.2500,67,60.834529
0.2500,68,80.049579
0.2500,69,74.324001
0.2500,70,71.021979
0.2500,71,67.101679
0.2500,72,76.072956
0.2500,73,74.450173
0.2500,74,70.037458
0.2500,75,66.034964
0.2500,76,77.282154
0.2500,77,78.203996
0.2500,78,74.571152
0.2500,79,76.680361
0.2500,80,72.996807
0.2500,81,69.234548
0.2500,82,75.450386
0.2500,83,75.002095
0.2500,84,69.809288
0.2500,85,75.243940
0.2500,86,80.889284
0.2500,87,70.103277
0.2500,88,66.029730
0.2500,89,71.995247
0.2500,90,81.044161
0.2500,91,73.120139
0.2500,92,71.197020
0.2500,93,65.240106
0.2500,94,74.612702
0.2500,95,65.489725
0.2500,96,78.805316
0.2500,97,77.388135
0.2500,98,88.219088
0.2500,99,69.867924
