jitter_frac,episode_idx,WI_fromT
0.0000,0,1.500000
0.0000,1,1.500000
0.0000,2,1.500000
0.0000,3,1.500000
0.0000,4,1.500000
0.0000,5,1.500000
0.0000,6,1.500000
0.0000,7,1.500000
0.0000,8,1.500000
0.0000,9,1.500000
0.0000,10,1.500000
0.0000,11,1.500000
0.0000,12,1.500000
0.0000,13,1.500000
0.0000,14,1.500000
0.0000,15,1.500000
0.0000,16,1.500000
0.0000,17,1.500000
0.0000,18,1.500000
0.0000,19,1.500000
0.0000,20,1.500000
0.0000,21,1.500000
0.0000,22,1.500000
0.0000,23,1.500000
0.0000,24,1.500000
0.0000,25,1.500000
0.0000,26,1.500000
0.0000,27,1.500000
0.0000,28,1.500000
0.0000,29,1.500000
0.0000,30,1.500000
0.0000,31,1.500000
0.0000,32,1.500000
0.0000,33,1.500000
0.0000,34,1.500000
0.0000,35,1.500000
0.0000,36,1.500000
0.0000,37,1.500000
0.0000,38,1.500000
0.0000,39,1.500000
0.0000,40,1.500000
0.0000,41,1.500000
0.0000,42,1.500000
0.0000,43,1.500000
0.0000,44,1.500000
0.0000,45,1.500000
0.0000,46,1.500000
0.0000,47,1.500000
0.0000,48,1.500000
0.0000,49,1.500000
0.0000,50,1.500000
0.0000,51,1.500000
0.0000,52,1.500000
0.0000,53,1.500000
0.0000,54,1.500000
0.0000,55,1.500000
0.0000,56,1.500000
0.0000,57,1.500000
0.0000,58,1.500000
0.0000,59,1.500000
0.0000,60,1.500000
0.0000,61,1.500000
0.0000,62,1.500000
0.0000,63,1.500000
0.0000,64,1.500000
0.0000,65,1.500000
0.0000,66,1.500000
0.0000,67,1.500000
0.0000,68,1.500000
0.0000,69,1.500000
0.0000,70,1.500000
0.0000,71,1.500000
0.0000,72,1.500000
0.0000,73,1.500000
0.0000,74,1.500000
0.0000,75,1.500000
0.0000,76,1.500000
0.0000,77,1.500000
0.0000,78,1.500000
0.0000,79,1.500000
0.0000,80,1.500000
0.0000,81,1.500000
0.0000,82,1.500000
0.0000,83,1.500000
0.0000,84,1.500000
0.0000,85,1.500000
0.0000,86,1.500000
0.0000,87,1.500000
0.0000,88,1.500000
0.0000,89,1.500000
0.0000,90,1.500000
0.0000,91,1.500000
0.0000,92,1.500000
0.0000,93,1.500000
0.0000,94,1.500000
0.0000,95,1.500000
0.0000,96,1.500000
0.0000,97,1.500000
0.0000,98,1.500000
0.0000,99,1.500000
0.0500,0,3.559559
0.0500,1,3.317573
0.0500,2,4.319134
0.0500,3,4.057962
0.0500,4,4.003765
0.0500,5,3.572167
0.0500,6,4.995597
0.0500,7,3.041564
0.0500,8,3.930366
0.0500,9,4.057322
0.0500,10,3.466925
0.0500,11,3.993999
0.0500,12,3.823626
0.0500,13,3.531742
