jitter_frac,episode_idx,WI_fromT
0.0000,0,85.385874
0.0000,1,85.385874
0.0000,2,85.385874
0.0000,3,85.385874
0.0000,4,85.385874
0.0000,5,85.385874
0.0000,6,85.385874
0.0000,7,85.385874
0.0000,8,85.385874
0.0000,9,85.385874
0.0000,10,85.385874
0.0000,11,85.385874
0.0000,12,85.385874
0.0000,13,85.385874
0.0000,14,85.385874
0.0000,15,85.385874
0.0000,16,85.385874
0.0000,17,85.385874
0.0000,18,85.385874
0.0000,19,85.385874
0.0000,20,85.385874
0.0000,21,85.385874
0.0000,22,85.385874
0.0000,23,85.385874
0.0000,24,85.385874
0.0000,25,85.385874
0.0000,26,85.385874
0.0000,27,85.385874
0.0000,28,85.385874
0.0000,29,85.385874
0.0000,30,85.385874
0.0000,31,85.385874
0.0000,32,85.385874
0.0000,33,85.385874
0.0000,34,85.385874
0.0000,35,85.385874
0.0000,36,85.385874
0.0000,37,85.385874
0.0000,38,85.385874
0.0000,39,85.385874
0.0000,40,85.385874
0.0000,41,85.385874
0.0000,42,85.385874
0.0000,43,85.385874
0.0000,44,85.385874
0.0000,45,85.385874
0.0000,46,85.385874
0.0000,47,85.385874
0.0000,48,85.385874
0.0000,49,85.385874
0.0000,50,85.385874
0.0000,51,85.385874
0.0000,52,85.385874
0.0000,53,85.385874
0.0000,54,85.385874
0.0000,55,85.385874
0.0000,56,85.385874
0.0000,57,85.385874
0.0000,58,85.385874
0.0000,59,85.385874
0.0000,60,85.385874
0.0000,61,85.385874
0.0000,62,85.385874
0.0000,63,85.385874
0.0000,64,85.385874
0.0000,65,85.385874
0.0000,66,85.385874
0.0000,67,85.385874
0.0000,68,85.385874
0.0000,69,85.385874
0.0000,70,85.385874
0.0000,71,85.385874
0.0000,72,85.385874
0.0000,73,85.385874
0.0000,74,85.385874
0.0000,75,85.385874
0.0000,76,85.385874
0.0000,77,85.385874
0.0000,78,85.385874
0.0000,79,85.385874
0.0000,80,85.385874
0.0000,81,85.385874
0.0000,82,85.385874
0.0000,83,85.385874
0.0000,84,85.385874
0.0000,85,85.385874
0.0000,86,85.385874
0.0000,87,85.385874
0.0000,88,85.385874
0.0000,89,85.385874
0.0000,90,85.385874
0.0000,91,85.385874
0.0000,92,85.385874
0.0000,93,85.385874
0.0000,94,85.385874
0.0000,95,85.385874
0.0000,96,85.385874
0.0000,97,85.385874
0.0000,98,85.385874
0.0000,99,85.385874
0.0500,0,109.802634
0.0500,1,85.120816
0.0500,2,86.392525
0.0500,3,86.299001
0.0500,4,115.614185
0.0500,5,97.351603
0.0500,6,86.640959
0.0500,7,113.525711
0.0500,8,101.847608
0.0500,9,97.744173
0.0500,10,92.398357
0.0500,11,85.859720
0.0500,12,86.879333
0.0500,13,95.789252
0.0500,14,95.877978
0.0500,15,100.690800
0.0500,16,104.084083
0.0500,17,133.251856
0.0500,18,86.049368
0.0500,19,103.334534
0.0500,20,102.297667
0.0500,21,96.375639
0.0500,22,88.980201
0.0500,23,88.601860
0.0500,24,308.462973
0.0500,25,89.422003
0.0500,26,85.516105
0.0500,27,104.376178
0.0500,28,97.591764
0.0500,29,90.376799
0.0500,30,86.803749
0.0500,31,85.774822
0.0500,32,86.457248
0.0500,33,91.944801
0.0500,34,100.202190
0.0500,35,85.881083
0.0500,36,96.917765
0.0500,37,86.241892
0.0500,38,86.737515
0.0500,39,114.594667
0.0500,40,94.329969
0.0500,41,85.972496
0.0500,42,87.663348
0.0500,43,123.818355
0.0500,44,91.468027
0.0500,45,93.824958
0.0500,46,91.906718
0.0500,47,85.694514
0.0500,48,86.909868
0.0500,49,86.405027
0.0500,50,96.981431
0.0500,51,85.080459
0.0500,52,102.430590
0.0500,53,113.596251
0.0500,54,98.300620
0.0500,55,102.371866
0.0500,56,108.144308
0.0500,57,144.189582
0.0500,58,85.868141
0.0500,59,107.374544
0.0500,60,85.682497
0.0500,61,100.684779
0.0500,62,140.446880
0.0500,63,85.769729
0.0500,64,90.720468
0.0500,65,88.552971
0.0500,66,94.078034
0.0500,67,122.272943
0.0500,68,85.558447
0.0500,69,96.316074
0.0500,70,86.294215
0.0500,71,118.402126
0.0500,72,103.939757
0.0500,73,98.830762
0.0500,74,99.063899
0.0500,75,102.543798
0.0500,76,94.964828
0.0500,77,101.838670
0.0500,78,85.371749
0.0500,79,85.547989
0.0500,80,88.976260
0.0500,81,86.607771
0.0500,82,103.103220
0.0500,83,97.321099
0.0500,84,89.120503
0.0500,85,85.674236
0.0500,86,96.564789
0.0500,87,99.873289
0.0500,88,88.862881
0.0500,89,86.566368
0.0500,90,85.530704
0.0500,91,93.906404
0.0500,92,103.189536
0.0500,93,85.809119
0.0500,94,124.569820
0.0500,95,101.520920
0.0500,96,86.448527
0.0500,97,121.975201
0.0500,98,87.487521
0.0500,99,86.242898
0.1000,0,110.857313
0.1000,1,90.888061
0.1000,2,88.196389
0.1000,3,98.474510
0.1000,4,93.832541
0.1000,5,104.643764
0.1000,6,94.627027
0.1000,7,116.724363
0.1000,8,102.872072
0.1000,9,108.852351
0.1000,10,108.347277
0.1000,11,105.030649
0.1000,12,100.455167
0.1000,13,87.026025
0.1000,14,86.411806
0.1000,15,100.158467
0.1000,16,86.923140
0.1000,17,93.760427
0.1000,18,114.946620
0.1000,19,89.111315
0.1000,20,99.725955
0.1000,21,87.992693
0.1000,22,113.699517
0.1000,23,106.836889
0.1000,24,107.446290
