jitter_frac,episode_idx,WI_fromT
0.0000,0,29.000000
0.0000,1,29.000000
0.0000,2,29.000000
0.0000,3,29.000000
0.0000,4,29.000000
0.0000,5,29.000000
0.0000,6,29.000000
0.0000,7,29.000000
0.0000,8,29.000000
0.0000,9,29.000000
0.0000,10,29.000000
0.0000,11,29.000000
0.0000,12,29.000000
0.0000,13,29.000000
0.0000,14,29.000000
0.0000,15,29.000000
0.0000,16,29.000000
0.0000,17,29.000000
0.0000,18,29.000000
0.0000,19,29.000000
0.0000,20,29.000000
0.0000,21,29.000000
0.0000,22,29.000000
0.0000,23,29.000000
0.0000,24,29.000000
0.0000,25,29.000000
0.0000,26,29.000000
0.0000,27,29.000000
0.0000,28,29.000000
0.0000,29,29.000000
0.0000,30,29.000000
0.0000,31,29.000000
0.0000,32,29.000000
0.0000,33,29.000000
0.0000,34,29.000000
0.0000,35,29.000000
0.0000,36,29.000000
0.0000,37,29.000000
0.0000,38,29.000000
0.0000,39,29.000000
0.0000,40,29.000000
0.0000,41,29.000000
0.0000,42,29.000000
0.0000,43,29.000000
0.0000,44,29.000000
0.0000,45,29.000000
0.0000,46,29.000000
0.0000,47,29.000000
0.0000,48,29.000000
0.0000,49,29.000000
0.0000,50,29.000000
0.0000,51,29.000000
0.0000,52,29.000000
0.0000,53,29.000000
0.0000,54,29.000000
0.0000,55,29.000000
0.0000,56,29.000000
0.0000,57,29.000000
0.0000,58,29.000000
0.0000,59,29.000000
0.0000,60,29.000000
0.0000,61,29.000000
0.0000,62,29.000000
0.0000,63,29.000000
0.0000,64,29.000000
0.0000,65,29.000000
0.0000,66,29.000000
0.0000,67,29.000000
0.0000,68,29.000000
0.0000,69,29.000000
0.0000,70,29.000000
0.0000,71,29.000000
0.0000,72,29.000000
0.0000,73,29.000000
0.0000,74,29.000000
0.0000,75,29.000000
0.0000,76,29.000000
0.0000,77,29.000000
0.0000,78,29.000000
0.0000,79,29.000000
0.0000,80,29.000000
0.0000,81,29.000000
0.0000,82,29.000000
0.0000,83,29.000000
0.0000,84,29.000000
0.0000,85,29.000000
0.0000,86,29.000000
0.0000,87,29.000000
0.0000,88,29.000000
0.0000,89,29.000000
0.0000,90,29.000000
0.0000,91,29.000000
0.0000,92,29.000000
0.0000,93,29.000000
0.0000,94,29.000000
0.0000,95,29.000000
0.0000,96,29.000000
0.0000,97,29.000000
0.0000,98,29.000000
0.0000,99,29.000000
0.0500,0,36.535841
0.0500,1,42.449301
0.0500,2,45.844333
0.0500,3,40.762063
0.0500,4,39.936914
0.0500,5,36.706417
0.0500,6,45.775736
0.0500,7,46.722875
0.0500,8,39.574762
0.0500,9,56.837964
0.0500,10,42.029999
0.0500,11,43.426445
0.0500,12,40.152122
0.0500,13,42.080216
0.0500,14,41.410388
0.0500,15,37.279744
0.0500,16,35.944596
0.0500,17,35.528193
0.0500,18,37.729530
0.0500,19,44.971203
0.0500,20,39.970262
0.0500,21,40.082870
0.0500,22,43.316165
0.0500,23,31.158485
0.0500,24,37.249883
0.0500,25,36.924995
0.0500,26,38.730778
0.0500,27,33.240038
0.0500,28,36.370376
0.0500,29,40.458562
0.0500,30,48.756481
0.0500,31,41.130385
0.0500,32,42.669333
0.0500,33,36.908067
0.0500,34,36.317742
0.0500,35,38.119097
0.0500,36,41.725733
0.0500,37,47.724907
0.0500,38,38.309552
0.0500,39,44.355292
0.0500,40,40.993067
0.0500,41,37.498664
0.0500,42,42.051359
0.0500,43,39.503897
0.0500,44,39.097105
0.0500,45,40.607536
0.0500,46,31.971241
0.0500,47,43.404629
0.0500,48,35.072696
0.0500,49,53.600174
0.0500,50,45.358137
0.0500,51,48.989548
0.0500,52,34.032013
0.0500,53,34.840562
0.0500,54,34.739874
0.0500,55,40.432901
0.0500,56,35.597412
0.0500,57,40.797952
0.0500,58,38.881135
0.0500,59,41.548238
0.0500,60,50.124296
0.0500,61,33.132132
0.0500,62,40.892281
0.0500,63,37.053700
0.0500,64,46.079382
0.0500,65,38.997936
0.0500,66,44.479135
0.0500,67,42.096757
0.0500,68,36.044419
0.0500,69,34.412957
0.0500,70,44.069775
0.0500,71,31.816787
0.0500,72,40.155608
0.0500,73,37.065313
0.0500,74,35.872697
0.0500,75,36.618922
0.0500,76,32.505353
0.0500,77,35.853356
0.0500,78,48.922767
0.0500,79,35.276232
0.0500,80,35.169693
0.0500,81,41.941853
0.0500,82,47.295417
0.0500,83,37.943953
0.0500,84,34.515939
0.0500,85,38.226973
0.0500,86,44.709995
0.0500,87,37.245938
0.0500,88,35.610721
0.0500,89,51.642701
0.0500,90,41.458620
0.0500,91,36.646865
0.0500,92,36.181535
0.0500,93,39.545452
0.0500,94,38.174489
0.0500,95,36.266656
0.0500,96,35.930221
0.0500,97,35.071238
0.0500,98,39.348158
0.0500,99,41.793624
0.1000,0,42.665852
0.1000,1,44.146060
0.1000,2,38.030526
0.1000,3,45.931302
0.1000,4,40.939014
0.1000,5,35.429400
0.1000,6,33.745064
0.1000,7,40.227084
0.1000,8,39.062606
0.1000,9,40.863251
0.1000,10,34.545129
0.1000,11,35.902106
0.1000,12,37.163214
0.1000,13,38.121615
0.1000,14,43.223933
0.1000,15,48.317142
0.1000,16,46.386751
0.1000,17,39.967184
0.1000,18,36.810032
0.1000,19,35.394151
0.1000,20,41.766359
0.1000,21,34.141682
0.1000,22,33.257052
0.1000,23,44.684531
0.1000,24,39.979616
0.1000,25,33.872758
0.1000,26,33.088327
0.1000,27,41.952782
0.1000,28,37.784992
0.1000,29,41.746259
0.1000,30,33.974508
0.1000,31,41.315364
0.1000,32,33.352598
0.1000,33,36.532494
0.1000,34,40.427886
0.1000,35,34.400537
0.1000,36,41.564220
0.1000,37,42.121562
0.1000,38,42.599970
0.1000,39,35.453200
0.1000,40,33.717920
0.1000,41,51.073495
0.1000,42,42.620630
0.1000,43,52.961836
0.1000,44,36.650450
0.1000,45,34.543061
0.1000,46,36.720654
0.1000,47,41.588020
0.1000,48,35.829392
0.1000,49,35.905709
0.1000,50,37.794203
0.1000,51,38.117050
0.1000,52,40.678358
0.1000,53,36.027025
0.1000,54,39.128844
0.1000,55,35.713076
0.1000,56,34.319093
0.1000,57,38.851227
