jitter_frac,episode_idx,WI_fromT
0.0000,0,134.140000
0.0000,1,134.140000
0.0000,2,134.140000
0.0000,3,134.140000
0.0000,4,134.140000
0.0000,5,134.140000
0.0000,6,134.140000
0.0000,7,134.140000
0.0000,8,134.140000
0.0000,9,134.140000
0.0000,10,134.140000
0.0000,11,134.140000
0.0000,12,134.140000
0.0000,13,134.140000
0.0000,14,134.140000
0.0000,15,134.140000
0.0000,16,134.140000
0.0000,17,134.140000
0.0000,18,134.140000
0.0000,19,134.140000
0.0000,20,134.140000
0.0000,21,134.140000
0.0000,22,134.140000
0.0000,23,134.140000
0.0000,24,134.140000
0.0000,25,134.140000
0.0000,26,134.140000
0.0000,27,134.140000
0.0000,28,134.140000
0.0000,29,134.140000
0.0000,30,134.140000
0.0000,31,134.140000
0.0000,32,134.140000
0.0000,33,134.140000
0.0000,34,134.140000
0.0000,35,134.140000
0.0000,36,134.140000
0.0000,37,134.140000
0.0000,38,134.140000
0.0000,39,134.140000
0.0000,40,134.140000
0.0000,41,134.140000
0.0000,42,134.140000
0.0000,43,134.140000
0.0000,44,134.140000
0.0000,45,134.140000
0.0000,46,134.140000
0.0000,47,134.140000
0.0000,48,134.140000
0.0000,49,134.140000
0.0000,50,134.140000
0.0000,51,134.140000
0.0000,52,134.140000
0.0000,53,134.140000
0.0000,54,134.140000
0.0000,55,134.140000
0.0000,56,134.140000
0.0000,57,134.140000
0.0000,58,134.140000
0.0000,59,134.140000
0.0000,60,134.140000
0.0000,61,134.140000
0.0000,62,134.140000
0.0000,63,134.140000
0.0000,64,134.140000
0.0000,65,134.140000
0.0000,66,134.140000
0.0000,67,134.140000
0.0000,68,134.140000
0.0000,69,134.140000
0.0000,70,134.140000
0.0000,71,134.140000
0.0000,72,134.140000
0.0000,73,134.140000
0.0000,74,134.140000
0.0000,75,134.140000
0.0000,76,134.140000
0.0000,77,134.140000
0.0000,78,134.140000
0.0000,79,134.140000
0.0000,80,134.140000
0.0000,81,134.140000
0.0000,82,134.140000
0.0000,83,134.140000
0.0000,84,134.140000
0.0000,85,134.140000
0.0000,86,134.140000
0.0000,87,134.140000
0.0000,88,134.140000
0.0000,89,134.140000
0.0000,90,134.140000
0.0000,91,134.140000
0.0000,92,134.140000
0.0000,93,134.140000
0.0000,94,134.140000
0.0000,95,134.140000
0.0000,96,134.140000
0.0000,97,134.140000
0.0000,98,134.140000
0.0000,99,134.140000
0.0500,0,135.233750
0.0500,1,156.013074
0.0500,2,135.894024
0.0500,3,132.983911
0.0500,4,153.588570
0.0500,5,145.067292
0.0500,6,133.859055
0.0500,7,151.664008
0.0500,8,135.340718
0.0500,9,160.938812
0.0500,10,174.268887
0.0500,11,147.124637
0.0500,12,157.884628
0.0500,13,147.595214
0.0500,14,178.237395
0.0500,15,172.322301
0.0500,16,134.897431
0.0500,17,135.308332
0.0500,18,146.465716
0.0500,19,135.163490
0.0500,20,166.056367
0.0500,21,190.536089
0.0500,22,146.027985
0.0500,23,134.564167
0.0500,24,152.642534
0.0500,25,133.828147
0.0500,26,133.886931
0.0500,27,146.765616
0.0500,28,153.594308
0.0500,29,134.718667
0.0500,30,145.789251
0.0500,31,134.453719
0.0500,32,154.994223
0.0500,33,135.995225
0.0500,34,134.619458
0.0500,35,180.962768
0.0500,36,135.334046
0.0500,37,164.425016
0.0500,38,134.980470
0.0500,39,135.596438
0.0500,40,150.147347
0.0500,41,147.795862
0.0500,42,142.041349
0.0500,43,157.694533
0.0500,44,172.482496
0.0500,45,148.079741
0.0500,46,167.565565
0.0500,47,157.419561
0.0500,48,134.783000
0.0500,49,136.308960
0.0500,50,134.790972
0.0500,51,172.513017
0.0500,52,135.928724
0.0500,53,149.100006
0.0500,54,213.700452
0.0500,55,179.785276
0.0500,56,148.499766
0.0500,57,135.310215
0.0500,58,134.913793
0.0500,59,134.462826
0.0500,60,149.201317
0.0500,61,189.214662
0.0500,62,132.678350
0.0500,63,149.690446
0.0500,64,160.337334
0.0500,65,172.570918
0.0500,66,141.810595
0.0500,67,148.595266
0.0500,68,167.067171
0.0500,69,145.344516
0.0500,70,146.036543
0.0500,71,147.867903
0.0500,72,166.078392
0.0500,73,153.709718
0.0500,74,135.489148
0.0500,75,135.653605
0.0500,76,176.443388
0.0500,77,162.859463
0.0500,78,168.484321
0.0500,79,178.292057
0.0500,80,141.042535
0.0500,81,134.319490
0.0500,82,169.133266
0.0500,83,149.792821
0.0500,84,154.734626
0.0500,85,135.286193
0.0500,86,187.816392
0.0500,87,134.081858
0.0500,88,161.992054
0.0500,89,144.871093
0.0500,90,134.214378
0.0500,91,151.226107
0.0500,92,134.626402
0.0500,93,148.773214
0.0500,94,151.783844
0.0500,95,154.878150
0.0500,96,155.234069
0.0500,97,138.825532
0.0500,98,142.652443
0.0500,99,171.032567
0.1000,0,136.384467
0.1000,1,145.556544
0.1000,2,151.016556
0.1000,3,171.327044
0.1000,4,157.690245
0.1000,5,179.968056
0.1000,6,148.741275
0.1000,7,138.727967
0.1000,8,155.929829
0.1000,9,149.018939
0.1000,10,172.687971
0.1000,11,160.216180
0.1000,12,135.748846
0.1000,13,194.290168
0.1000,14,192.569389
0.1000,15,135.175240
0.1000,16,133.374643
0.1000,17,136.508515
0.1000,18,165.595120
0.1000,19,159.779592
0.1000,20,136.236908
0.1000,21,134.166158
0.1000,22,160.810172
0.1000,23,188.388045
0.1000,24,148.649128
0.1000,25,170.301676
0.1000,26,142.556808
0.1000,27,190.199959
0.1000,28,138.420421
0.1000,29,136.184845
0.1000,30,153.330713
0.1000,31,154.483317
0.1000,32,157.727675
0.1000,33,134.183978
0.1000,34,141.603007
0.1000,35,161.143593
0.1000,36,189.220790
0.1000,37,153.559871
0.1000,38,136.881359
0.1000,39,186.088751
0.1000,40,141.052781
0.1000,41,158.210112
0.1000,42,150.299551
0.1000,43,152.792350
0.1000,44,137.045566
0.1000,45,193.344713
0.1000,46,136.835080
0.1000,47,176.337668
0.1000,48,154.132510
0.1000,49,141.826361
0.1000,50,144.513166
0.1000,51,174.338231
0.1000,52,148.007199
0.1000,53,143.088737
0.1000,54,148.584812
0.1000,55,152.228290
0.1000,56,135.932686
0.1000,57,148.808596
0.1000,58,136.489147
0.1000,59,137.985152
0.1000,60,151.869240
0.1000,61,165.506011
0.1000,62,187.863503
0.1000,63,174.697515
0.1000,64,161.866354
0.1000,65,167.454702
0.1000,66,144.540841
0.1000,67,138.102649
0.1000,68,162.311976
0.1000,69,176.475303
0.1000,70,161.485075
0.1000,71,147.465154
0.1000,72,151.613547
0.1000,73,148.492612
0.1000,74,169.746043
0.1000,75,172.539760
0.1000,76,150.250175
0.1000,77,157.548647
0.1000,78,134.713560
0.1000,79,139.986208
0.1000,80,149.723208
0.1000,81,147.985720
0.1000,82,170.522960
0.1000,83,155.610484
0.1000,84,172.656597
0.1000,85,135.055018
0.1000,86,135.052459
0.1000,87,191.859444
0.1000,88,135.044299
0.1000,89,153.067132
0.1000,90,176.377943
0.1000,91,159.018090
0.1000,92,137.114761
0.1000,93,140.494436
0.1000,94,157.873220
0.1000,95,144.763756
0.1000,96,172.526141
0.1000,97,141.106161
0.1000,98,163.304824
0.1000,99,155.121017
0.1500,0,134.947063
0.1500,1,143.162955
0.1500,2,157.586022
0.1500,3,156.600037
0.1500,4,157.950334
0.1500,5,166.707828
0.1500,6,150.949587
0.1500,7,133.227448
