episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2
0,0,0.000000,agent_0,actor_logits,0,1,1,0.025058,0.025058,nan,0.000000,1.000000,0.025058,,
0,0,0.000000,agent_1,actor_logits,0,1,2,0.125754,-0.124510,0.250264,0.685379,0.562241,0.125754,-0.124510,
0,0,0.000000,agent_2,actor_logits,0,1,2,0.102069,-0.100813,0.202882,0.688028,0.550547,0.102069,-0.100813,
0,0,0.000000,agent_3,actor_logits,0,1,1,0.070344,0.070344,nan,0.000000,1.000000,0.070344,,
0,1,0.500000,agent_2,actor_logits,1,1,2,0.195111,-0.193516,0.388627,0.674619,0.595952,-0.193516,0.195111,
0,1,0.500000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,2,1.000000,agent_1,actor_logits,1,1,2,0.442877,-0.441363,0.884240,0.604198,0.707700,-0.441363,0.442877,
0,2,1.000000,agent_2,actor_logits,1,1,2,0.132444,-0.130934,0.263378,0.684551,0.565467,-0.130934,0.132444,
0,3,1.500000,agent_0,actor_logits,0,1,2,0.199603,-0.197745,0.397348,0.673794,0.598050,0.199603,-0.197745,
0,4,2.000000,agent_1,actor_logits,1,1,2,0.291392,-0.290088,0.581480,0.652604,0.641408,-0.290088,0.291392,
0,4,2.000000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,5,3.000000,agent_0,actor_logits,0,1,1,0.260299,0.260299,nan,0.000000,1.000000,0.260299,,
0,5,3.000000,agent_1,actor_logits,1,1,2,0.094261,-0.092952,0.187213,0.688785,0.546667,-0.092952,0.094261,
0,5,3.000000,agent_2,actor_logits,1,1,2,0.392223,-0.390719,0.782942,0.622018,0.686314,-0.390719,0.392223,
0,6,4.000000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,7,4.500000,agent_0,actor_logits,1,1,2,0.220143,-0.218866,0.439009,0.669624,0.608023,-0.218866,0.220143,
0,7,4.500000,agent_1,actor_logits,0,1,2,0.090138,-0.088954,0.179092,0.689154,0.544654,0.090138,-0.088954,
0,7,4.500000,agent_2,actor_logits,1,1,2,0.629720,-0.627705,1.257425,0.528696,0.778582,-0.627705,0.629720,
0,7,4.500000,agent_3,actor_logits,0,1,2,0.090138,-0.088954,0.179092,0.689154,0.544654,0.090138,-0.088954,
0,8,5.000000,agent_0,actor_logits,0,1,2,0.027507,-0.025945,0.053452,0.692790,0.513360,0.027507,-0.025945,
0,8,5.000000,agent_2,actor_logits,0,1,1,0.313233,0.313233,nan,0.000000,1.000000,0.313233,,
0,9,5.500000,agent_0,actor_logits,0,1,2,0.136696,-0.135122,0.271818,0.683996,0.567539,0.136696,-0.135122,
0,9,5.500000,agent_2,actor_logits,1,1,2,0.048719,-0.047495,0.096214,0.691991,0.524035,-0.047495,0.048719,
0,10,6.000000,agent_1,actor_logits,1,1,2,0.112789,-0.111415,0.224203,0.686903,0.555817,-0.111415,0.112789,
0,10,6.000000,agent_2,actor_logits,0,1,1,0.329385,0.329385,nan,0.000000,1.000000,0.329385,,
0,10,6.000000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
0,11,6.500000,agent_2,actor_logits,0,1,2,0.020555,-0.019291,0.039845,0.692949,0.509960,0.020555,-0.019291,
0,12,7.000000,agent_0,actor_logits,0,1,1,0.259211,0.259211,nan,0.000000,1.000000,0.259211,,
0,12,7.000000,agent_3,actor_logits,0,1,2,0.070344,-0.068712,0.139056,0.690736,0.534708,0.070344,-0.068712,
