episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3
0,0,0.000000,agent_0,actor_logits,0,1,3,0.722541,-1.266311,0.471358,0.887508,0.567857,0.722541,0.251183,-1.266311,
0,0,0.000000,agent_1,actor_logits,0,1,3,0.292152,-0.726686,0.041014,1.017371,0.430880,0.292152,0.251138,-0.726686,
0,0,0.000000,agent_2,actor_logits,1,1,3,3.129799,-6.870118,0.402687,0.673576,0.599317,2.727113,3.129799,-6.870118,
0,0,0.000000,agent_3,actor_logits,0,1,2,1.824962,1.182576,0.642386,0.644109,0.655293,1.824962,1.182576,,
0,1,0.500000,agent_0,actor_logits,0,1,3,0.336798,-0.618533,0.130029,1.029454,0.441939,0.336798,-0.618533,0.206769,
0,1,0.500000,agent_1,actor_logits,2,1,3,0.873957,-1.244471,0.502031,0.869233,0.579535,0.371925,-1.244471,0.873957,
0,1,0.500000,agent_3,actor_logits,0,1,2,1.595080,1.004927,0.590153,0.651437,0.643400,1.595080,1.004927,,
0,2,0.513943,agent_2,actor_logits,2,1,3,2.321942,-3.238024,1.270352,0.544715,0.778464,1.051589,-3.238024,2.321942,
0,3,0.991446,agent_2,actor_logits,0,1,3,2.561026,-5.895422,0.128773,0.692141,0.532089,2.561026,2.432253,-5.895422,
0,4,1.000000,agent_0,actor_logits,0,1,3,0.212454,-0.340975,0.225390,1.074124,0.421376,0.212454,-0.340975,-0.012936,
0,4,1.000000,agent_3,actor_logits,1,1,2,1.655092,1.413474,0.241619,0.685903,0.560112,1.413474,1.655092,,
0,5,1.405002,agent_1,actor_logits,1,1,3,1.117823,-2.221550,0.347593,0.763888,0.574104,0.770231,1.117823,-2.221550,
0,6,1.472321,agent_3,actor_logits,0,1,3,0.498676,-0.851219,0.197405,0.978580,0.480740,0.498676,-0.851219,0.301271,
0,7,1.491446,agent_2,actor_logits,0,1,3,2.789875,-5.985980,0.511914,0.662358,0.625195,2.789875,2.277961,-5.985980,
0,8,1.500000,agent_0,actor_logits,0,1,3,0.402449,-0.487754,0.443369,1.035764,0.487224,0.402449,-0.487754,-0.040920,
0,9,1.972321,agent_3,actor_logits,1,1,3,0.213167,-0.178818,0.285224,1.084334,0.411936,-0.072057,0.213167,-0.178818,
0,10,1.991446,agent_2,actor_logits,0,1,3,2.542401,-5.931147,0.037733,0.693975,0.509378,2.542401,2.504668,-5.931147,
0,11,2.000000,agent_0,actor_logits,2,1,3,0.450313,-0.900740,0.057692,0.973325,0.453945,0.392621,-0.900740,0.450313,
0,12,2.452296,agent_1,actor_logits,2,1,3,1.267684,-0.875429,1.555005,0.720445,0.752741,-0.287322,-0.875429,1.267684,
0,13,2.491446,agent_2,actor_logits,1,1,3,3.098397,-6.397277,0.735899,0.630297,0.676064,2.362498,3.098397,-6.397277,
0,14,2.539218,agent_0,actor_logits,1,1,3,3.084457,-4.642803,2.273846,0.313536,0.906326,0.810611,3.084457,-4.642803,
0,15,2.983638,agent_2,actor_logits,2,1,3,1.930719,-1.939080,1.757858,0.498349,0.838029,0.172862,-1.939080,1.930719,
0,16,2.992198,agent_0,actor_logits,1,1,3,1.954433,-2.403727,1.945776,0.433520,0.865293,0.008656,1.954433,-2.403727,
0,17,3.369684,agent_1,actor_logits,0,1,3,0.714553,-1.007474,0.581981,0.916726,0.575542,0.714553,0.132572,-1.007474,
0,18,3.455502,agent_2,actor_logits,1,1,3,2.348750,-5.050443,0.363068,0.679913,0.589570,1.985683,2.348750,-5.050443,
0,19,3.525331,agent_3,actor_logits,2,1,3,4.021031,-6.455068,1.293899,0.521005,0.784789,2.727132,-6.455068,4.021031,
0,20,3.869684,agent_1,actor_logits,1,1,3,1.923968,-3.099794,1.192127,0.571602,0.763269,0.731841,1.923968,-3.099794,
0,21,3.908155,agent_2,actor_logits,2,1,3,1.124965,-1.243225,0.904418,0.796740,0.667366,0.220546,-1.243225,1.124965,
0,22,4.412649,agent_2,actor_logits,1,1,3,2.182167,-4.699925,0.348220,0.682868,0.585834,1.833947,2.182167,-4.699925,
0,23,4.493804,agent_0,actor_logits,1,1,2,0.175459,0.025765,0.149694,0.690354,0.537354,0.025765,0.175459,,
0,24,4.884693,agent_2,actor_logits,2,1,3,0.420831,-0.170027,0.582371,1.056744,0.473390,-0.170027,-0.161540,0.420831,
0,25,4.899661,agent_1,actor_logits,1,1,3,0.359914,-0.850430,0.046929,0.992005,0.444001,0.312985,0.359914,-0.850430,
0,26,4.934982,agent_3,actor_logits,2,1,3,4.892870,-6.317352,3.025386,0.187605,0.953696,1.867484,-6.317352,4.892870,
0,27,5.415636,agent_2,actor_logits,1,1,3,2.480542,-4.439882,1.103067,0.567081,0.750278,1.377475,2.480542,-4.439882,
0,28,5.465564,agent_3,actor_logits,1,1,2,2.342190,1.069484,1.272706,0.525378,0.781206,1.069484,2.342190,,
0,29,5.800961,agent_1,actor_logits,2,1,3,0.568810,-0.518862,0.592688,1.003828,0.529145,-0.518862,-0.023877,0.568810,
0,30,5.935450,agent_2,actor_logits,2,1,3,2.413446,-1.825957,2.751199,0.294952,0.927414,-0.337754,-1.825957,2.413446,
0,31,5.949589,agent_3,actor_logits,1,1,3,1.116782,-0.682483,1.632898,0.761213,0.734871,-0.516116,1.116782,-0.682483,
0,32,6.020584,agent_0,actor_logits,0,1,3,0.601731,-1.372732,0.127628,0.894022,0.495291,0.601731,0.474103,-1.372732,
0,33,6.481172,agent_2,actor_logits,0,1,3,2.223492,-4.780983,0.404421,0.677381,0.599423,2.223492,1.819071,-4.780983,
0,34,6.520584,agent_0,actor_logits,1,1,3,0.813779,-0.452017,1.263826,0.904032,0.639147,-0.450047,0.813779,-0.452017,
0,35,6.732057,agent_1,actor_logits,2,1,3,0.706621,-1.058606,0.336793,0.921859,0.530446,0.369828,-1.058606,0.706621,
0,36,6.981172,agent_2,actor_logits,1,1,3,2.711640,-5.500048,0.688529,0.638846,0.665519,2.023112,2.711640,-5.500048,
0,37,7.400568,agent_3,actor_logits,2,1,3,2.934067,-4.482266,1.143279,0.556763,0.757936,1.790788,-4.482266,2.934067,
0,38,7.515921,agent_2,actor_logits,2,1,3,0.317213,-0.346717,0.226105,1.064113,0.432440,-0.346717,0.091108,0.317213,
0,39,7.651400,agent_1,actor_logits,1,1,3,1.633056,-2.397610,1.190851,0.606970,0.756587,0.442205,1.633056,-2.397610,
0,40,7.898408,agent_0,actor_logits,1,1,2,0.697569,-0.162223,0.859793,0.608630,0.702617,-0.162223,0.697569,,
0,41,8.046634,agent_2,actor_logits,1,1,3,2.138626,-4.749492,0.204277,0.692336,0.550583,1.934349,2.138626,-4.749492,
0,42,8.593946,agent_2,actor_logits,2,1,3,0.502512,-0.453674,0.441492,1.028077,0.493235,-0.453674,0.061020,0.502512,
0,43,8.697346,agent_1,actor_logits,1,1,3,0.707773,-0.620501,0.905145,0.942578,0.599011,-0.197372,0.707773,-0.620501,
0,44,8.931685,agent_3,actor_logits,2,1,3,4.121669,-4.782181,3.068676,0.183007,0.955458,1.052993,-4.782181,4.121669,
0,45,9.081799,agent_2,actor_logits,1,1,3,3.105079,-4.969866,1.874576,0.394455,0.866753,1.230503,3.105079,-4.969866,
0,46,9.409276,agent_0,actor_logits,2,1,3,2.321588,-1.453552,2.918277,0.300932,0.928539,-0.596689,-1.453552,2.321588,
0,47,9.464626,agent_3,actor_logits,1,1,2,2.526017,0.756929,1.769088,0.415099,0.854344,0.756929,2.526017,,
0,48,9.593651,agent_2,actor_logits,1,1,3,1.679467,-0.924698,2.425588,0.500707,0.860296,-0.924698,1.679467,-0.746120,
0,49,9.707754,agent_1,actor_logits,1,1,3,2.141846,-3.143050,1.684682,0.459419,0.839933,0.457164,2.141846,-3.143050,
0,50,9.945447,agent_0,actor_logits,1,1,3,1.591516,-2.153837,1.408981,0.578805,0.788631,0.182535,1.591516,-2.153837,
0,51,9.972361,agent_3,actor_logits,1,1,3,1.993690,-1.632466,2.482338,0.378266,0.900766,-0.488649,1.993690,-1.632466,
0,53,10.162337,agent_1,actor_logits,2,1,3,1.118791,-1.488273,0.767115,0.787146,0.650152,0.351676,-1.488273,1.118791,
0,54,10.418237,agent_0,actor_logits,1,1,3,1.328272,-1.443279,1.452792,0.655520,0.771319,-0.124520,1.328272,-1.443279,
0,55,10.620316,agent_1,actor_logits,0,1,3,1.164374,-2.044662,0.384570,0.770408,0.581011,1.164374,-2.044662,0.779804,
0,56,11.120316,agent_1,actor_logits,2,1,3,2.744465,-2.774704,2.489530,0.293723,0.919999,0.254934,-2.774704,2.744465,
0,57,11.155022,agent_2,actor_logits,2,1,3,5.072553,-4.773638,4.826798,0.046913,0.991999,0.245755,-4.773638,5.072553,
0,58,11.409177,agent_3,actor_logits,2,1,3,3.786990,-6.414521,0.924723,0.596979,0.715984,2.862267,-6.414521,3.786990,
0,59,11.838074,agent_0,actor_logits,0,1,2,0.497497,-0.386335,0.883831,0.604273,0.707616,0.497497,-0.386335,,
0,60,12.040516,agent_1,actor_logits,0,1,3,0.560220,-0.499738,0.757269,0.994219,0.550838,0.560220,-0.499738,-0.197049,
0,61,12.338074,agent_0,actor_logits,1,1,2,0.644743,-0.423533,1.068276,0.568544,0.744269,-0.423533,0.644743,,
0,62,12.540516,agent_1,actor_logits,2,1,3,1.863979,-1.925347,1.654126,0.525024,0.823811,0.209853,-1.925347,1.863979,
0,63,12.588415,agent_2,actor_logits,2,1,3,4.466199,-4.859346,3.653003,0.118742,0.974657,0.813196,-4.859346,4.466199,
0,64,12.949883,agent_3,actor_logits,2,1,3,3.777600,-5.359077,1.925918,0.381964,0.872715,1.851682,-5.359077,3.777600,
0,65,13.059365,agent_2,actor_logits,1,1,3,2.822147,-5.955718,0.543296,0.658503,0.632517,2.278851,2.822147,-5.955718,
0,66,13.426581,agent_3,actor_logits,1,1,2,2.329825,1.464722,0.865103,0.607674,0.703726,1.464722,2.329825,,
0,67,13.514553,agent_1,actor_logits,1,1,3,1.522328,-1.989237,1.302047,0.616306,0.768153,0.220280,1.522328,-1.989237,
0,68,13.603031,agent_2,actor_logits,2,1,3,1.853183,-1.599458,1.931304,0.493490,0.849891,-0.078121,-1.599458,1.853183,
0,69,13.797524,agent_0,actor_logits,2,1,3,0.984346,-1.658509,0.346312,0.819214,0.562287,0.638034,-1.658509,0.984346,
0,70,13.941384,agent_3,actor_logits,1,1,3,1.399285,-1.806458,1.239341,0.652752,0.751821,0.159943,1.399285,-1.806458,
0,71,14.070145,agent_2,actor_logits,0,1,3,2.536623,-5.900132,0.051638,0.693860,0.512850,2.536623,2.484985,-5.900132,
0,72,14.320436,agent_0,actor_logits,1,1,3,2.022161,-3.663072,1.006876,0.596769,0.730591,1.015285,2.022161,-3.663072,
