episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7,logit_a8,logit_a9,logit_a10,logit_a11,logit_a12
0,0,0.000000,agent_0,actor_logits,1,1,12,1.944884,-2.148895,0.517973,1.822181,0.359570,-0.489863,1.944884,1.426911,-2.148895,0.060122,0.005985,1.293527,-0.343803,-1.820763,-0.563057,-1.773224,-1.444147,
0,0,0.000000,agent_1,actor_logits,1,1,12,1.315815,-1.561584,0.494123,2.171652,0.271373,-0.299819,1.315815,0.481178,-1.561584,0.360125,0.116165,0.821692,-0.086821,-0.825810,-0.542411,-1.070367,-1.107802,
0,0,0.000000,agent_2,actor_logits,6,1,12,1.434178,-1.731859,0.083547,2.013583,0.257943,-0.368326,1.350632,1.063806,-1.731859,-0.414867,0.413070,1.434178,-0.179270,-1.322888,-0.450432,-1.528702,-1.147696,
0,1,12.100000,agent_2,actor_logits,1,1,12,1.324812,-1.502331,0.610002,2.182188,0.277689,-0.285275,1.324812,0.343071,-1.502331,0.714811,-0.070244,0.537505,-0.080986,-0.770458,-0.610976,-0.824133,-1.060286,
0,2,14.100000,agent_0,actor_logits,1,1,12,1.685701,-1.829350,0.672061,1.991836,0.338341,-0.446518,1.685701,0.573638,-1.829350,1.013639,-0.148146,0.799404,-0.291257,-1.432539,-0.522110,-1.408361,-1.165338,
0,3,28.200000,agent_0,actor_logits,1,1,12,1.882457,-2.205385,0.272435,1.825256,0.328029,-0.581690,1.882457,1.610022,-2.205385,0.687228,-0.297544,1.185669,-0.274882,-2.111450,-0.627298,-1.983824,-1.470423,
0,4,33.000000,agent_1,actor_logits,1,1,12,1.948352,-2.606845,0.120075,1.765370,0.307704,-0.678396,1.948352,1.828277,-2.312948,1.132299,-0.395215,1.290525,-0.350949,-2.606845,-0.771729,-2.138270,-1.664824,
0,5,42.300000,agent_0,actor_logits,4,1,12,1.697812,-1.508937,0.627060,1.989816,0.337304,-0.438934,1.070752,0.368910,-1.508937,1.697812,-0.033299,0.888842,-0.243373,-1.431676,-0.629667,-1.408609,-1.198013,
0,6,45.100000,agent_2,actor_logits,1,1,12,1.915940,-2.516322,0.226302,1.794988,0.310754,-0.652987,1.915940,1.689638,-2.262578,1.071089,-0.225303,1.335897,-0.474560,-2.516322,-0.727470,-2.095505,-1.629434,
0,7,47.100000,agent_1,actor_logits,4,1,12,1.827064,-2.380822,0.311281,1.855202,0.309861,-0.631314,1.515783,1.040061,-1.953119,1.827064,-0.109196,1.190578,-0.414480,-2.380822,-0.742019,-1.874799,-1.516714,
0,8,52.800000,agent_0,actor_logits,6,1,12,1.168591,-1.504824,0.236349,2.151553,0.223490,-0.435946,0.932241,0.900545,-1.504824,0.431946,0.327944,1.168591,-0.128953,-1.503088,-0.409908,-1.442709,-0.969491,
0,9,57.600000,agent_1,actor_logits,6,1,12,1.144415,-1.778729,0.119321,2.103500,0.207163,-0.529729,0.944359,1.025095,-1.541901,0.928320,0.203542,1.144415,-0.237047,-1.778729,-0.539442,-1.411967,-1.146840,
0,10,59.200000,agent_2,actor_logits,4,1,12,1.250533,-1.696530,0.033835,2.050839,0.220707,-0.520383,1.216699,0.679808,-1.696530,1.250533,0.138747,1.125850,-0.328163,-1.677516,-0.610503,-1.346836,-1.341035,
0,11,69.700000,agent_2,actor_logits,6,1,12,1.238662,-1.470831,0.371801,2.151947,0.239369,-0.471889,0.866860,0.713394,-1.470831,0.574620,0.495517,1.238662,-0.243513,-1.404132,-0.468560,-1.319894,-1.044528,
0,12,77.200000,agent_0,actor_logits,1,1,12,2.033163,-2.127280,0.766180,1.822832,0.400595,-0.630167,2.033163,1.266983,-2.127280,0.823694,-0.121985,0.787930,-0.326096,-1.851656,-0.559453,-1.831738,-1.370847,
0,13,82.000000,agent_1,actor_logits,1,1,12,1.889645,-2.052445,0.622260,1.870474,0.355615,-0.661862,1.889645,1.267385,-2.052445,1.072549,-0.103384,0.763836,-0.313867,-1.904159,-0.620424,-1.808604,-1.418415,
0,14,86.200000,agent_0,actor_logits,2,1,12,1.977253,-2.239219,0.228292,1.780123,0.344044,-0.665265,1.748961,1.977253,-2.071003,0.959748,-0.323888,0.835168,-0.290032,-2.239219,-0.631692,-2.074500,-1.466601,
0,15,91.000000,agent_1,actor_logits,2,1,12,1.959270,-2.452840,0.273444,1.785192,0.330396,-0.693124,1.685825,1.959270,-2.039717,1.318477,-0.376680,0.813022,-0.276609,-2.452840,-0.733874,-2.017226,-1.539475,
0,16,94.100000,agent_2,actor_logits,4,1,12,1.307385,-1.582986,0.125415,2.066709,0.240145,-0.529942,1.181970,0.974795,-1.582986,1.307385,-0.019430,0.581612,-0.016683,-1.572127,-0.674005,-1.431999,-1.267125,
0,17,98.300000,agent_0,actor_logits,1,1,12,1.846213,-2.326925,0.518516,1.909408,0.338273,-0.636253,1.846213,0.251496,-2.326925,1.051954,0.153104,1.327698,0.408036,-1.994882,-0.401388,-1.994398,-1.449054,
0,18,103.100000,agent_1,actor_logits,1,1,12,1.917550,-2.382058,0.577913,1.877994,0.349801,-0.694636,1.917550,0.477111,-2.382058,1.123765,0.106442,1.339637,0.287096,-2.105840,-0.427696,-2.088315,-1.570579,
0,19,111.000000,agent_0,actor_logits,1,1,12,1.585841,-2.164004,0.365890,1.981350,0.275559,-0.658885,1.585841,0.835244,-2.164004,1.111118,0.098563,1.219951,0.215329,-2.109936,-0.422140,-2.086826,-1.464842,
0,20,115.800000,agent_1,actor_logits,1,1,12,1.622329,-2.589856,0.226919,1.920152,0.257713,-0.737555,1.622329,1.053668,-2.236561,1.395410,0.067136,1.369047,0.126555,-2.589856,-0.558511,-2.182916,-1.596441,
0,21,118.500000,agent_2,actor_logits,6,1,12,1.492200,-1.780871,0.525123,2.082993,0.280496,-0.449914,0.967076,0.504927,-1.780871,-0.516003,0.865664,1.492200,0.532723,-1.222951,-0.302085,-1.368691,-1.054644,
0,22,125.100000,agent_0,actor_logits,6,1,12,1.314343,-1.907070,0.070951,2.092415,0.236038,-0.519128,1.243392,-0.192983,-1.907070,0.635219,0.692944,1.314343,0.432057,-1.438191,-0.207187,-1.539454,-1.139258,
0,23,129.900000,agent_1,actor_logits,1,1,12,1.456102,-2.097616,0.049030,2.017444,0.251451,-0.634228,1.456102,0.109098,-2.097616,0.853706,0.653527,1.407072,0.282580,-1.840153,-0.318893,-1.677951,-1.400183,
0,24,141.100000,agent_2,actor_logits,1,1,12,1.513097,-1.958817,0.438282,2.071969,0.288718,-0.532372,1.513097,-0.006745,-1.958817,0.148562,0.800035,1.074815,0.418292,-1.198062,-0.249308,-1.384650,-1.207476,
0,25,144.000000,agent_1,actor_logits,1,1,12,1.753146,-2.282789,0.464912,1.953447,0.316989,-0.684939,1.753146,0.915595,-2.282789,0.487916,0.435007,1.288234,0.290178,-2.168721,-0.317913,-2.024912,-1.500243,
0,26,145.200000,agent_0,actor_logits,1,1,12,1.367546,-1.930328,0.319940,2.114819,0.257457,-0.529191,1.367546,0.189434,-1.930328,0.301353,0.644560,1.047606,0.529378,-1.310295,-0.237814,-1.564634,-1.181581,
0,27,150.100000,agent_2,actor_logits,1,1,12,1.616966,-2.164390,0.390915,2.006489,0.294753,-0.645440,1.616966,0.756296,-2.164390,0.487401,0.505123,1.226051,0.274791,-1.896416,-0.287749,-1.927119,-1.472877,
0,28,154.200000,agent_0,actor_logits,1,1,12,1.763759,-2.276042,0.565190,1.956563,0.320934,-0.696288,1.763759,0.946648,-2.276042,0.628505,0.353738,1.198570,0.301361,-2.195538,-0.296135,-2.100848,-1.500033,
0,29,158.100000,agent_1,actor_logits,4,1,12,1.661232,-1.904407,0.579290,2.003291,0.307206,-0.630787,1.081942,-0.076864,-1.718937,1.661232,0.607796,1.019461,0.303130,-1.904407,-0.353145,-1.579716,-1.317846,
0,30,164.200000,agent_2,actor_logits,4,1,12,1.327796,-1.715845,0.240882,2.073781,0.232861,-0.592094,1.080203,-0.174860,-1.684907,1.327796,0.802984,1.086914,0.250395,-1.715845,-0.293221,-1.511984,-1.282228,
0,31,168.300000,agent_0,actor_logits,1,1,12,1.308181,-1.895950,0.083172,2.046566,0.221452,-0.640830,1.308181,0.110386,-1.869483,1.225009,0.737098,1.172795,0.127857,-1.895950,-0.259678,-1.797913,-1.348653,
0,32,168.600000,agent_1,actor_logits,6,1,12,1.225581,-1.337452,0.041522,2.162379,0.226571,-0.482833,0.515113,0.074262,-1.337452,-0.252428,1.184059,1.225581,0.620183,-1.215629,0.022651,-1.170274,-0.769259,
0,33,174.700000,agent_2,actor_logits,5,1,12,1.302583,-1.095796,0.249151,2.195630,0.247379,-0.365776,0.288058,-0.322444,-1.095796,-0.456164,1.302583,1.053432,0.702927,-0.612783,0.037109,-0.767103,-0.613762,
0,34,182.400000,agent_0,actor_logits,6,1,12,1.431708,-2.021436,0.175875,2.040381,0.245456,-0.638638,1.255833,1.014980,-2.000115,-0.220819,0.646522,1.431708,0.553207,-2.021436,-0.139517,-1.896867,-1.101977,
