episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7,logit_a8,logit_a9,logit_a10,logit_a11,logit_a12
0,0,0.000000,agent_0,actor_logits,6,1,12,12.707116,-4.882114,10.299338,0.000565,0.999953,-0.811224,1.000289,2.407778,-3.317977,-4.828021,-4.882114,12.707116,-1.715721,-3.134769,-1.571667,-0.473284,-1.429442,
0,1,13.400000,agent_0,actor_logits,1,1,12,11.850989,-9.007693,8.468380,0.002193,0.999774,-2.427831,11.850989,-3.497730,-5.793988,0.653141,-4.618532,3.382609,-1.968377,-5.507737,-2.927189,-4.176567,-9.007693,
0,2,22.400000,agent_0,actor_logits,2,1,12,10.691446,-4.342687,9.072973,0.002402,0.999774,-1.109914,1.618474,10.691446,-2.885942,-0.644032,-4.253643,1.252737,-2.400753,-1.487810,-4.182388,-2.005109,-4.342687,
0,3,34.500000,agent_0,actor_logits,6,1,12,12.537651,-7.014874,9.388128,0.001332,0.999876,-2.159321,2.332752,-3.784980,-4.894814,-0.832793,-2.029437,12.537651,3.149523,-7.014874,-1.858894,-4.126512,-5.650185,
0,4,49.800000,agent_0,actor_logits,1,1,12,13.069231,-10.312226,11.044497,0.000291,0.999977,-2.570614,13.069231,-3.777873,-5.637209,-1.767625,-4.188623,2.024734,1.137960,-5.578586,-2.612272,-4.522176,-10.312226,
0,5,58.800000,agent_0,actor_logits,1,1,12,11.991832,-10.053843,9.991593,0.000600,0.999948,-2.603640,11.991832,2.000239,-4.860840,-2.331568,-2.760028,-0.733874,-1.212937,-5.518922,-3.167986,-4.043067,-10.053843,
0,6,72.900000,agent_0,actor_logits,4,1,12,12.691521,-4.317609,12.028749,0.000162,0.999988,-1.620106,-0.327753,-0.425992,-2.863054,12.691521,-2.197026,-3.983221,0.662772,-3.353022,-3.516225,-3.443509,-4.317609,
0,7,83.400000,agent_0,actor_logits,5,1,12,13.084920,-5.042042,12.167985,0.000221,0.999984,-0.857046,-1.233602,-0.689486,-0.762304,-0.374690,13.084920,0.450672,0.916935,-4.757624,-0.504793,-5.042042,-0.624098,
0,8,101.400000,agent_0,actor_logits,8,1,12,12.258235,-7.012546,5.034541,0.039607,0.993489,1.146600,-3.104153,-1.270414,-0.442758,7.223694,-7.012546,0.041802,-3.571571,12.258235,-1.377843,0.328250,0.939061,
0,9,114.000000,agent_0,actor_logits,4,1,12,15.680094,-9.353695,12.161656,0.000131,0.999990,-0.261208,-9.353695,-0.911038,-2.065501,15.680094,-3.949891,3.518437,-0.762191,-0.475988,-3.295680,-2.192191,3.280607,
0,10,134.300000,agent_0,actor_logits,6,1,12,14.739937,-7.417638,14.147120,0.000030,0.999998,-0.738850,-1.557084,0.124616,-3.284062,-0.575465,-7.417638,14.739937,0.592817,-2.705725,-2.515340,-1.039824,-2.626883,
0,11,156.900000,agent_0,actor_logits,1,1,12,12.874371,-10.014836,11.323922,0.000245,0.999981,-2.435861,12.874371,-0.160374,-5.319331,-2.552746,-6.415430,1.550449,0.486094,-4.878354,-4.834272,-3.229019,-10.014836,
0,12,165.900000,agent_0,actor_logits,2,1,12,12.385432,-4.769014,11.067312,0.000369,0.999971,-1.283531,1.318120,12.385432,-2.298410,-2.848065,-3.722594,-0.193163,0.491662,-2.968117,-3.760115,-1.801740,-4.769014,
0,13,178.000000,agent_0,actor_logits,7,1,12,12.721213,-6.140516,10.013563,0.000733,0.999937,-1.495001,0.477420,0.572188,-2.187549,-4.406323,-3.024937,2.707651,12.721213,-4.932425,0.791383,-3.502894,-6.140516,
0,14,197.800000,agent_0,actor_logits,1,1,12,13.470409,-11.756560,10.510599,0.000346,0.999971,-2.550127,13.470409,-1.491433,-4.753160,-3.381922,-3.439489,2.959810,-4.856875,-4.064331,0.081188,-3.794453,-11.756560,
0,16,212.500000,agent_0,actor_logits,1,1,12,12.419386,-10.328095,10.310223,0.000542,0.999954,-2.534359,12.419386,0.679155,-4.828212,-3.789753,-2.134005,2.109164,-3.965058,-6.268298,-0.156641,-4.012890,-10.328095,
0,17,226.600000,agent_0,actor_logits,4,1,12,11.500750,-4.925653,8.807698,0.001914,0.999813,-1.740652,1.103044,-2.320712,-3.283092,11.500750,-4.542989,-1.576546,-3.352078,-3.274989,2.693051,-2.821509,-4.925653,
0,18,237.100000,agent_0,actor_logits,5,1,12,14.372417,-6.959740,9.020567,0.001272,0.999875,-1.204461,-0.663914,-2.652388,-0.807040,1.058593,14.372417,-1.830923,-2.771667,-6.959740,5.351851,-4.339680,0.993223,
0,19,255.100000,agent_0,actor_logits,8,1,12,12.064643,-5.523533,8.436569,0.004259,0.999573,1.213009,-2.675397,-0.183057,0.274343,3.267305,-5.523533,-0.903744,-4.305983,12.064643,3.628073,0.631663,0.875034,
