episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7,logit_a8,logit_a9,logit_a10,logit_a11,logit_a12
0,0,0.000000,agent_0,actor_logits,2,1,12,12.857954,-16.148405,6.692461,0.014894,0.998158,1.714101,5.325451,12.857954,2.461677,-16.148405,-3.042121,6.165493,2.222326,-4.690017,-2.222381,-7.360045,-9.113406,
0,0,0.000000,agent_1,actor_logits,8,1,12,13.548383,-18.947094,6.732153,0.010205,0.998722,0.850635,-18.947094,-2.491666,-1.315174,-0.989859,3.260456,3.570778,0.270895,13.548383,0.238258,6.816230,-2.391168,
0,0,0.000000,agent_2,actor_logits,10,1,12,16.160109,-21.075920,9.699555,0.000897,0.999920,1.256804,-21.075920,3.072421,-1.584794,0.200558,4.194108,4.568758,-8.011042,6.460553,1.319781,16.160109,-6.839782,
0,1,12.100000,agent_0,actor_logits,1,1,12,17.854130,-15.738943,8.070342,0.003166,0.999659,-0.968861,17.854130,-3.631313,-0.454188,-12.734654,-5.026677,9.783788,7.399811,-9.582696,-3.873420,-15.738943,-3.768884,
0,2,12.600000,agent_1,actor_logits,6,1,12,19.388405,-10.224079,20.656281,0.000000,1.000000,-1.267876,-1.511927,-8.435269,-2.833205,-5.210804,-1.447227,19.388405,-1.486834,-10.224079,-2.580740,-9.195852,-4.970038,
0,3,15.300000,agent_2,actor_logits,2,1,12,17.752274,-12.529772,10.791105,0.000254,0.999979,1.439902,-3.300461,17.752274,2.002028,-10.692957,-6.106841,6.961169,3.141671,-12.529772,-3.769745,-1.751765,-8.793703,
0,4,24.800000,agent_0,actor_logits,6,1,12,12.460516,-16.238564,6.214566,0.015690,0.997878,-0.673582,3.443559,6.245950,-0.865708,-8.901115,-10.169690,12.460516,-1.203512,-16.238564,-2.250821,-4.871048,-4.817155,
0,5,32.300000,agent_2,actor_logits,4,1,12,24.535765,-15.887052,17.852333,0.000001,1.000000,-4.687685,-10.441254,-15.887052,-5.977558,24.535765,-3.741302,6.451362,-9.330347,-9.031638,4.405325,0.784534,6.683431,
0,6,35.200000,agent_1,actor_logits,10,1,12,15.642695,-21.201395,7.639172,0.006758,0.999240,-0.764687,-21.201395,-6.060917,-3.443780,8.003524,1.269624,1.700728,-5.525890,7.435156,2.456839,15.642695,3.044268,
0,7,38.200000,agent_0,actor_logits,1,1,12,20.150696,-17.888899,11.985250,0.000086,0.999994,-2.305618,20.150696,-7.196283,-2.066332,-4.578431,-17.888899,8.165445,1.915350,-11.200785,-3.471817,-13.888226,5.030367,
0,8,41.300000,agent_1,actor_logits,6,1,12,12.985838,-13.582437,6.605259,0.015957,0.997967,-3.112729,-13.582437,-8.094915,-4.868428,5.693445,-8.251776,12.985838,-0.411744,-8.377721,-0.402690,-2.003468,6.380579,
0,9,42.800000,agent_2,actor_logits,4,1,12,23.132721,-17.292463,17.027901,0.000001,1.000000,-4.298114,-17.292463,-8.361435,-5.094229,23.132721,-3.206489,6.104819,-1.115837,-10.598447,2.513834,-0.317289,2.899719,
0,10,47.200000,agent_0,actor_logits,2,1,12,15.788847,-12.426488,10.070000,0.000707,0.999938,0.692426,5.718847,15.788847,1.620220,-10.697020,-11.139903,4.767299,2.593105,-12.426488,-3.024932,-4.974253,-6.465002,
0,11,51.800000,agent_1,actor_logits,10,1,12,13.902780,-21.300966,4.494658,0.061337,0.988905,-0.747721,-21.300966,-1.420657,-2.839669,9.408122,-1.640468,0.727230,-1.675473,3.730330,0.814969,13.902780,2.093731,
0,12,57.900000,agent_1,actor_logits,11,1,12,16.564676,-12.602280,7.855783,0.003527,0.999605,-3.866808,-12.602280,-9.673571,-5.585732,4.658364,-5.844115,8.708893,-1.839646,-9.582329,2.071265,-0.036775,16.564676,
0,13,59.300000,agent_0,actor_logits,7,1,12,19.830442,-16.125103,12.291788,0.000117,0.999991,0.166646,7.407057,7.538654,1.483659,-16.125103,-7.394331,3.388198,19.830442,-4.765944,-5.020568,-11.723107,-4.320645,
0,14,67.200000,agent_2,actor_logits,6,1,12,13.660765,-9.455536,13.121214,0.000070,0.999995,0.539550,-6.375076,0.506383,-1.265208,-9.455536,-2.253432,13.660765,-3.102018,-2.599013,-2.108120,-2.233701,-4.994597,
0,15,70.400000,agent_1,actor_logits,10,1,12,17.702124,-14.925795,11.519067,0.000173,0.999987,1.808967,-13.447399,6.183057,-0.454507,3.558982,4.577785,0.998422,-14.925795,2.008926,2.190731,17.702124,-7.941051,
0,16,79.100000,agent_0,actor_logits,1,1,12,27.649384,-18.946424,23.278107,0.000000,1.000000,-1.475994,27.649384,-6.773569,-0.141577,4.098944,-12.280226,4.371278,-4.672180,-9.132640,-2.278979,-18.946424,-2.936219,
0,17,85.700000,agent_1,actor_logits,2,1,12,21.226288,-15.481568,11.259329,0.000166,0.999987,5.149285,9.966959,21.226288,6.370763,-13.820431,2.664180,-2.023927,-2.614082,1.939030,-5.649620,-3.857996,-15.481568,
0,18,89.800000,agent_2,actor_logits,1,1,12,25.852146,-19.111477,17.538450,0.000000,1.000000,-0.873189,25.852146,-5.813625,-0.163553,-6.302577,-11.349884,8.313696,-0.909090,-8.305177,-3.964076,-19.111477,-1.658098,
0,19,93.800000,agent_0,actor_logits,1,1,12,20.864750,-12.204203,12.709740,0.000045,0.999997,1.829306,20.864750,8.155010,2.902993,-10.907717,-3.486398,5.501684,-4.132444,-7.646503,-3.656936,-12.204203,-11.314324,
0,20,98.800000,agent_2,actor_logits,2,1,12,15.780324,-11.498079,8.737656,0.001912,0.999810,1.549706,5.285995,15.780324,2.332495,-11.498079,-5.418038,7.042668,-1.041118,-10.671545,-3.753043,-8.136165,-8.551159,
0,21,102.700000,agent_1,actor_logits,4,1,12,24.836832,-15.262756,19.657427,0.000000,1.000000,-3.267831,-3.284083,-15.262756,-4.188760,24.836832,-1.780635,5.179405,-11.719447,-4.483211,2.761280,-2.692757,0.009187,
0,22,107.900000,agent_0,actor_logits,4,1,12,23.090832,-14.994156,18.682587,0.000000,1.000000,-3.346266,-2.821758,-14.994156,-4.220406,23.090832,-1.207568,4.408244,-11.580646,-3.968086,3.418329,-3.073954,1.641236,
0,23,110.900000,agent_2,actor_logits,7,1,12,16.975845,-14.507438,9.465357,0.001453,0.999863,-0.949196,7.510489,0.381921,-0.279681,-13.809755,-7.768864,7.248567,16.975845,-4.768466,-4.703340,-14.507438,-1.526247,
0,24,113.200000,agent_1,actor_logits,5,1,12,14.788858,-11.994390,1.154844,0.550924,0.760375,-1.250612,-11.994390,-7.518130,-1.988461,13.634014,14.788858,3.800977,-7.480310,-0.152481,3.742250,-2.455203,-4.194650,
0,25,118.400000,agent_0,actor_logits,4,1,12,23.339043,-10.943895,19.731281,0.000000,1.000000,-2.572786,-10.943895,-8.304205,-2.858396,23.339043,3.607762,2.794772,-7.398552,-4.065354,3.027814,-3.873459,-0.127147,
0,26,130.700000,agent_2,actor_logits,1,1,12,21.412537,-17.854273,14.665163,0.000012,0.999999,-2.313906,21.412537,-10.756217,-1.540665,6.507032,-12.749471,6.747373,-5.228655,-9.487897,-1.262377,-17.854273,1.643054,
0,27,131.200000,agent_1,actor_logits,8,1,12,16.667658,-14.650124,3.570645,0.126141,0.972571,-0.022466,-14.650124,-8.657997,-2.145829,13.097013,1.485143,-0.261547,-10.565644,16.667658,1.332459,7.011176,1.774629,
0,28,142.800000,agent_0,actor_logits,6,1,12,11.253364,-9.880758,7.363027,0.005973,0.999310,0.047958,-3.071285,-6.640762,-2.107594,-2.997009,-2.355731,11.253364,-9.880758,3.890337,-1.539514,-3.771286,1.017137,
0,29,143.800000,agent_1,actor_logits,6,1,12,16.120094,-10.302176,12.597020,0.000055,0.999996,-0.458559,3.523074,-6.078957,-2.251973,-10.302176,1.259776,16.120094,-10.183546,-7.833200,-0.253572,-6.347808,-1.294402,
0,30,145.400000,agent_2,actor_logits,6,1,12,14.803440,-13.220377,9.710654,0.000749,0.999932,0.033185,2.912630,5.092786,-0.819620,-8.856583,-6.008399,14.803440,-11.823271,-13.220377,-1.006441,-4.473005,-5.013184,
0,31,158.800000,agent_2,actor_logits,1,1,12,26.904564,-17.315016,20.303375,0.000000,1.000000,-1.882565,26.904564,-6.099612,-1.332253,-2.897637,-17.315016,6.601189,-3.659647,-12.510577,-2.408451,-14.472881,1.943113,
0,32,165.400000,agent_0,actor_logits,1,1,12,27.148293,-18.672094,21.261288,0.000000,1.000000,-2.040133,27.148293,-5.931415,-1.418490,-1.731050,-18.672094,5.887004,-3.037125,-12.783101,-2.616642,-14.068542,2.193340,
0,33,166.400000,agent_1,actor_logits,10,1,12,14.513476,-13.371538,1.708192,0.428732,0.846590,0.628272,-13.371538,1.459326,-1.407380,12.805285,-1.688941,-0.230490,-10.083689,3.149320,0.433026,14.513476,-5.911856,
0,34,167.800000,agent_2,actor_logits,2,1,12,19.856979,-12.558032,14.367781,0.000010,0.999999,1.551195,2.639928,19.856979,2.239702,-10.160495,-9.754219,5.489199,-2.121508,-12.558032,-4.104159,-3.446517,-7.239747,
0,35,172.500000,agent_1,actor_logits,6,1,12,11.088849,-9.781034,4.522455,0.060117,0.989193,-1.640136,-4.593790,-5.241937,-3.329933,6.566394,-4.778444,11.088849,-9.093389,-9.781034,-0.690489,-0.847936,1.066863,
0,36,174.400000,agent_0,actor_logits,1,1,12,20.734915,-12.598060,10.438635,0.000336,0.999971,0.579196,20.734915,10.296280,1.583075,-9.935653,-12.349465,3.481913,-3.324818,-12.598060,-3.306782,-7.164492,-5.826604,
0,37,179.900000,agent_2,actor_logits,7,1,12,17.062887,-14.965596,7.452583,0.004974,0.999415,-1.304675,9.610304,3.580291,-0.475175,-12.326692,-14.965596,4.569342,17.062887,-10.690392,-4.520257,-9.763952,1.787932,
0,38,183.000000,agent_1,actor_logits,10,1,12,16.754902,-13.763157,8.445492,0.002070,0.999783,-0.084971,-13.763157,1.878259,-2.278001,8.309410,-8.099833,-1.600042,-7.323359,2.790703,0.654052,16.754902,3.213531,
0,39,188.500000,agent_0,actor_logits,4,1,12,24.693596,-13.589809,13.671968,0.000017,0.999999,-4.589389,-4.368561,-13.589809,-5.590262,24.693596,-10.687761,2.662075,-11.210193,-10.539413,4.317556,2.385340,11.021627,
0,40,189.100000,agent_1,actor_logits,11,1,12,17.274260,-15.429470,7.279263,0.005941,0.999291,-4.000091,-5.473157,-9.858715,-5.376213,9.994997,-15.429470,6.409991,-6.220503,-11.322988,2.507843,1.298798,17.274260,
0,41,199.000000,agent_0,actor_logits,4,1,12,21.826500,-13.927862,17.393419,0.000001,1.000000,-1.856583,-13.927862,-4.291955,-2.357475,21.826500,3.188575,-2.245914,-6.057087,-3.138367,4.419492,4.433081,1.042523,
0,42,199.700000,agent_2,actor_logits,1,1,12,23.251663,-15.094197,17.217785,0.000001,1.000000,-1.940069,23.251663,-7.011908,-1.232424,2.866191,-15.094197,6.033878,-5.785708,-10.936990,-1.176789,-15.080510,0.534892,
0,44,201.600000,agent_1,actor_logits,10,1,12,17.289347,-17.014463,6.904655,0.007981,0.998994,-0.030228,-16.932350,-1.280066,-2.759920,10.384691,3.840819,3.094126,-17.014463,2.237658,3.945451,17.289347,-5.026961,
0,45,214.400000,agent_2,actor_logits,6,1,12,13.069622,-10.740905,8.690243,0.001747,0.999823,0.914910,-1.543529,4.379380,0.067368,-4.911519,-3.999995,13.069622,-10.740905,-3.951068,-1.416473,-7.681260,-7.306450,
0,46,216.900000,agent_1,actor_logits,2,1,12,22.768692,-14.004584,16.877697,0.000001,1.000000,4.930932,3.133795,22.768692,5.890995,-12.938349,1.203924,-0.699010,-4.081861,2.075239,-4.481301,-2.193087,-14.004584,
0,47,223.400000,agent_0,actor_logits,6,1,12,12.052230,-12.011115,7.409590,0.007053,0.999213,2.136999,-0.794274,4.642640,1.744109,-6.382609,2.743355,12.052230,-5.179220,0.017187,-4.272951,-12.011115,-10.231317,
0,48,227.800000,agent_2,actor_logits,1,1,12,26.688984,-18.362667,17.587545,0.000000,1.000000,-0.515450,26.688984,-5.157005,0.009772,-7.620979,-8.843947,9.101439,-3.851544,-8.599676,-3.141856,-18.362667,-4.131867,
0,49,233.900000,agent_1,actor_logits,4,1,12,20.602196,-15.828071,14.940105,0.000007,1.000000,-1.153125,0.055528,-11.275102,-1.730191,20.602196,5.662090,4.130272,-15.828071,0.224351,2.115635,-4.956022,-5.832563,
0,50,236.800000,agent_2,actor_logits,2,1,12,16.979713,-12.384970,11.292095,0.000300,0.999976,2.443197,5.419541,16.979713,3.448902,-12.384970,-1.473821,5.687618,-3.566526,-6.412445,-2.564511,-8.900715,-10.621432,
0,51,244.400000,agent_1,actor_logits,5,1,12,22.768473,-12.161224,13.247981,0.000025,0.999998,0.349451,-8.804352,-5.814821,-0.551338,9.520492,22.768473,3.937921,-12.161224,1.948830,3.661161,-1.964585,-9.369002,
0,52,246.000000,agent_0,actor_logits,1,1,12,27.620611,-18.650347,20.879400,0.000000,1.000000,-1.368320,27.620611,-5.848566,-0.367128,-2.075324,-14.339539,6.741211,-2.287560,-10.627524,-2.988244,-18.650347,-1.712574,
0,53,248.900000,agent_2,actor_logits,7,1,12,17.017527,-17.304712,7.406686,0.005425,0.999365,-0.231133,9.610841,1.676128,1.039970,-11.020453,-3.201601,6.520569,17.017527,-4.527618,-4.857369,-17.304712,-7.803999,
0,54,255.000000,agent_0,actor_logits,1,1,12,19.786449,-12.227785,10.491377,0.000323,0.999972,1.307137,19.786449,9.295073,2.701055,-9.082878,-5.111906,4.169667,-1.841877,-9.124288,-2.894208,-12.227785,-11.278185,
0,55,262.400000,agent_1,actor_logits,8,1,12,13.283237,-14.083433,1.110379,0.562467,0.751978,0.952614,-14.083433,-0.373029,-0.411261,12.172858,-2.532160,-1.096339,-5.054817,13.283237,-1.129641,5.417315,-3.816571,
0,56,268.700000,agent_2,actor_logits,1,1,12,22.930477,-15.944614,16.255169,0.000002,1.000000,-2.568691,22.930477,-10.377411,-2.005791,5.683278,-15.944614,6.675308,-4.862151,-11.991290,-1.532571,-15.532446,2.593620,
0,57,269.100000,agent_0,actor_logits,4,1,12,25.275272,-16.706825,19.332565,0.000000,1.000000,-3.768934,-6.099565,-16.706825,-5.003904,25.275272,-4.278358,4.741565,-13.312474,-3.630591,3.787397,-0.282830,5.942707,
