episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4
0,0,0.000000,agent_0,q_values,0,1,1,59.389801,59.389801,nan,0.000000,1.000000,59.389801,,,,
0,0,0.000000,agent_1,q_values,0,1,1,43.184509,43.184509,nan,0.000000,1.000000,43.184509,,,,
0,0,0.000000,agent_2,q_values,1,1,4,32.108768,29.892632,0.924046,1.125631,0.555640,31.184723,32.108768,30.883865,29.892632,
0,0,0.000000,agent_3,q_values,1,1,4,32.609322,31.095186,0.320633,1.254335,0.422632,32.288689,32.609322,31.742865,31.095186,
0,0,0.000000,agent_4,q_values,3,1,4,31.084829,28.908413,0.000591,1.035647,0.446034,31.084238,28.908413,29.037855,31.084829,
0,0,0.000000,agent_5,q_values,0,1,1,30.157362,30.157362,nan,0.000000,1.000000,30.157362,,,,
0,3,3.000000,agent_4,q_values,0,1,3,31.196260,29.062584,1.890463,0.662441,0.787772,31.196260,29.062584,29.305798,,
0,4,4.000000,agent_3,q_values,0,1,3,32.750664,31.341190,1.007475,0.918368,0.621345,32.750664,31.743189,31.341190,,
0,5,5.000000,agent_1,q_values,1,1,3,43.824135,40.590530,2.719353,0.377624,0.904705,41.104782,43.824135,40.590530,,
0,5,5.000000,agent_5,q_values,0,1,3,30.787893,29.535131,0.675228,0.975814,0.557179,30.787893,30.112665,29.535131,,
0,6,6.000000,agent_4,q_values,1,1,4,31.147455,29.638725,0.587572,1.255239,0.453064,30.304251,31.147455,29.638725,30.559883,
0,7,7.000000,agent_2,q_values,0,1,1,32.740871,32.740871,nan,0.000000,1.000000,32.740871,,,,
0,8,8.000000,agent_3,q_values,0,1,3,32.636894,31.567814,1.028339,0.963158,0.587916,32.636894,31.567814,31.608555,,
0,8,8.000000,agent_5,q_values,2,1,4,31.118759,28.481129,0.650175,1.142053,0.497830,30.239843,28.481129,31.118759,30.468584,
0,10,10.000000,agent_3,q_values,1,1,3,31.985270,23.969730,3.036419,0.188777,0.953892,23.969730,31.985270,28.948851,,
0,12,12.000000,agent_3,q_values,1,1,3,32.096230,30.084339,0.167322,0.890337,0.505137,31.928907,32.096230,30.084339,,
0,12,12.000000,agent_4,q_values,0,1,1,31.447823,31.447823,nan,0.000000,1.000000,31.447823,,,,
0,13,13.000000,agent_5,q_values,3,1,4,31.420206,29.959501,0.369057,1.283206,0.394481,30.928396,29.959501,31.051149,31.420206,
0,14,14.000000,agent_0,q_values,2,1,3,62.219311,54.843208,1.610977,0.454446,0.833112,54.843208,60.608334,62.219311,,
0,14,14.000000,agent_2,q_values,3,1,4,32.944923,29.696236,1.837772,0.818415,0.742853,31.107151,31.035498,29.696236,32.944923,
0,16,16.000000,agent_1,q_values,2,1,3,45.492626,40.186768,4.237019,0.105117,0.980957,40.186768,41.255608,45.492626,,
0,16,16.000000,agent_3,q_values,1,1,3,32.018921,29.308525,0.268406,0.815445,0.546117,31.750515,32.018921,29.308525,,
0,16,16.000000,agent_5,q_values,0,1,1,31.003681,31.003681,nan,0.000000,1.000000,31.003681,,,,
0,18,18.000000,agent_4,q_values,0,1,4,31.642870,29.099878,0.212860,0.981997,0.505199,31.642870,29.262508,29.099878,31.430010,
0,19,19.000000,agent_0,q_values,2,1,3,62.065647,54.463814,2.609852,0.253678,0.931060,59.455795,54.463814,62.065647,,
0,19,19.000000,agent_5,q_values,2,1,4,32.035133,30.646713,0.785480,1.231728,0.495229,30.646713,31.249653,32.035133,30.876442,
0,20,20.000000,agent_2,q_values,2,1,3,32.544941,28.942377,1.388025,0.592574,0.783195,28.942377,31.156916,32.544941,,
0,23,23.000000,agent_1,q_values,2,1,3,45.460258,40.155701,4.249504,0.104419,0.981123,40.155701,41.210754,45.460258,,
0,24,24.000000,agent_2,q_values,2,1,3,32.441315,30.290857,1.080229,0.799530,0.686837,30.290857,31.361086,32.441315,,
0,24,24.000000,agent_5,q_values,0,1,3,31.903177,30.490561,0.889917,0.932199,0.604524,31.903177,30.490561,31.013260,,
0,25,25.000000,agent_0,q_values,0,1,3,64.161484,58.480709,1.666271,0.456236,0.838672,64.161484,58.480709,62.495213,,
0,26,26.000000,agent_3,q_values,0,1,3,32.838280,30.535269,1.806570,0.651190,0.791030,32.838280,31.031710,30.535269,,
0,27,27.000000,agent_4,q_values,3,1,4,32.084019,29.741888,1.726412,0.939435,0.695491,30.274836,30.357607,29.741888,32.084019,
0,28,28.000000,agent_1,q_values,1,1,3,45.545322,42.691967,0.845341,0.751526,0.672467,42.691967,45.545322,44.699982,,
0,28,28.000000,agent_2,q_values,1,1,3,31.797619,29.305565,1.172573,0.739770,0.718231,29.305565,31.797619,30.625046,,
0,29,29.000000,agent_3,q_values,0,1,3,32.650795,30.237421,1.326965,0.722936,0.738120,32.650795,31.323830,30.237421,,
0,31,31.000000,agent_0,q_values,0,1,3,65.429276,62.090084,0.441528,0.757618,0.595764,65.429276,64.987747,62.090084,,
0,33,33.000000,agent_5,q_values,1,1,3,31.576241,26.417461,1.765467,0.444733,0.849722,26.417461,31.576241,29.810774,,
0,34,34.000000,agent_1,q_values,0,1,1,44.914845,44.914845,nan,0.000000,1.000000,44.914845,,,,
0,34,34.000000,agent_2,q_values,1,1,3,31.354235,29.345888,1.432537,0.762332,0.728378,29.921698,31.354235,29.345888,,
0,35,35.000000,agent_3,q_values,0,1,4,33.110249,27.555933,1.599655,0.787420,0.727407,33.110249,31.510593,27.555933,31.331860,
0,36,36.000000,agent_0,q_values,2,1,3,61.952888,41.878502,1.030193,0.576219,0.736953,60.922695,41.878502,61.952888,,
0,36,36.000000,agent_4,q_values,3,1,4,32.711678,29.183508,2.930199,0.435509,0.898545,29.210609,29.183508,29.781479,32.711678,
0,37,37.000000,agent_2,q_values,0,1,1,30.188774,30.188774,nan,0.000000,1.000000,30.188774,,,,
0,39,39.000000,agent_4,q_values,2,1,3,32.164211,30.851835,1.087229,0.922069,0.622537,30.851835,31.076982,32.164211,,
0,40,40.000000,agent_1,q_values,2,1,3,46.414185,43.269478,2.474838,0.424771,0.887110,43.269478,43.939346,46.414185,,
0,40,40.000000,agent_2,q_values,0,1,3,30.774607,28.977842,0.758419,0.890883,0.611905,30.774607,28.977842,30.016188,,
0,41,41.000000,agent_0,q_values,2,1,3,65.886566,38.524223,4.121834,0.081853,0.984044,61.764732,38.524223,65.886566,,
0,42,42.000000,agent_5,q_values,2,1,3,31.032679,29.301470,1.493177,0.795711,0.713405,29.301470,29.539501,31.032679,,
0,43,43.000000,agent_3,q_values,0,1,1,31.165115,31.165115,nan,0.000000,1.000000,31.165115,,,,
0,44,44.000000,agent_4,q_values,0,1,1,31.361301,31.361301,nan,0.000000,1.000000,31.361301,,,,
0,45,45.000000,agent_1,q_values,1,1,3,46.440220,36.978065,3.087914,0.180015,0.956320,43.352306,46.440220,36.978065,,
0,46,46.000000,agent_2,q_values,0,1,3,30.927637,29.434147,0.960825,0.911893,0.622214,30.927637,29.434147,29.966812,,
0,47,47.000000,agent_0,q_values,1,1,3,74.518654,61.909161,8.688660,0.001678,0.999828,65.829994,74.518654,61.909161,,
0,47,47.000000,agent_1,q_values,2,1,3,45.313679,42.340824,2.916996,0.380445,0.904770,42.340824,42.396683,45.313679,,
0,48,48.000000,agent_5,q_values,3,1,4,31.093596,28.395220,0.402317,0.978986,0.544503,28.395220,28.795542,30.691278,31.093596,
