episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4
0,0,0.000000,agent_0,actor_logits,0,1,1,-14.688367,-14.688367,nan,0.000000,1.000000,-14.688367,,,,
0,0,0.000000,agent_1,actor_logits,0,1,1,-15.074771,-15.074771,nan,0.000000,1.000000,-15.074771,,,,
0,0,0.000000,agent_2,actor_logits,3,1,4,0.330522,-1.069295,0.024988,1.286559,0.335015,0.059991,0.305534,-1.069295,0.330522,
0,0,0.000000,agent_3,actor_logits,1,1,4,3.793443,-7.818769,0.059081,0.704748,0.513832,3.734363,3.793443,-7.818769,-1.855635,
0,0,0.000000,agent_4,actor_logits,0,1,4,0.853621,-4.617943,0.502428,1.069088,0.469597,0.853621,0.351193,0.200118,-4.617943,
0,0,0.000000,agent_5,actor_logits,0,1,1,0.853621,0.853621,nan,0.000000,1.000000,0.853621,,,,
0,1,3.675000,agent_3,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,2,4.200000,agent_5,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,3,4.800000,agent_1,actor_logits,0,1,3,0.947580,0.255621,0.607048,1.046730,0.488866,0.947580,0.340532,0.255621,,
0,4,5.850000,agent_2,actor_logits,2,1,3,0.657191,-0.179265,0.472048,1.040546,0.486153,0.185142,-0.179265,0.657191,,
0,5,6.750000,agent_5,actor_logits,0,1,4,0.853621,-4.617943,0.502428,1.069088,0.469597,0.853621,0.351193,0.200118,-4.617943,
0,6,7.650000,agent_3,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,7,8.175000,agent_4,actor_logits,0,1,4,0.853621,-4.617943,0.502428,1.069088,0.469597,0.853621,0.351193,0.200118,-4.617943,
0,8,9.300000,agent_3,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,9,9.750000,agent_1,actor_logits,0,1,1,1.196182,1.196182,nan,0.000000,1.000000,1.196182,,,,
0,10,9.825000,agent_2,actor_logits,0,1,3,1.091025,-0.478796,0.930635,0.904351,0.624070,1.091025,-0.478796,0.160390,,
0,11,13.275000,agent_0,actor_logits,0,1,3,1.132146,0.121843,0.655976,1.009020,0.531055,1.132146,0.476170,0.121843,,
0,12,13.800000,agent_2,actor_logits,2,1,3,1.013663,-0.299097,0.918960,0.943186,0.599517,0.094703,-0.299097,1.013663,,
0,13,14.175000,agent_3,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,14,14.700000,agent_1,actor_logits,0,1,3,1.029393,0.147079,0.731781,1.017620,0.527739,1.029393,0.297611,0.147079,,
0,15,14.925000,agent_5,actor_logits,0,1,4,0.853621,-4.617943,0.502428,1.069088,0.469597,0.853621,0.351193,0.200118,-4.617943,
0,16,15.300000,agent_4,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,17,17.775000,agent_2,actor_logits,0,1,3,0.523735,-0.480032,0.122979,1.023036,0.444291,0.523735,-0.480032,0.400757,,
0,18,18.000000,agent_4,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,19,19.050000,agent_3,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,20,19.650000,agent_1,actor_logits,0,1,1,1.115836,1.115836,nan,0.000000,1.000000,1.115836,,,,
0,21,21.750000,agent_2,actor_logits,2,1,3,1.139551,-0.579081,1.062008,0.864887,0.655707,0.077542,-0.579081,1.139551,,
0,22,22.050000,agent_5,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,23,23.850000,agent_4,actor_logits,0,1,4,0.853621,-4.617943,0.502428,1.069088,0.469597,0.853621,0.351193,0.200118,-4.617943,
0,24,24.600000,agent_1,actor_logits,0,1,3,0.498624,0.311026,0.073084,1.095679,0.362520,0.498624,0.425540,0.311026,,
0,25,24.750000,agent_5,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,26,25.575000,agent_3,actor_logits,0,1,3,0.853621,0.200118,0.502428,1.056906,0.470526,0.853621,0.351193,0.200118,,
0,27,25.725000,agent_2,actor_logits,1,1,3,1.695348,-3.186395,0.004725,0.715414,0.499284,-3.186395,1.695348,1.690623,,
0,28,26.550000,agent_0,actor_logits,0,1,1,1.271655,1.271655,nan,0.000000,1.000000,1.271655,,,,
0,29,29.550000,agent_1,actor_logits,0,1,1,0.286463,0.286463,nan,0.000000,1.000000,0.286463,,,,
0,30,30.600000,agent_5,actor_logits,0,1,4,0.853621,-4.617943,0.502428,1.069088,0.469597,0.853621,0.351193,0.200118,-4.617943,
0,31,30.900000,agent_4,actor_logits,0,1,1,0.853621,0.853621,nan,0.000000,1.000000,0.853621,,,,
