episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,0,1,2,3.117149,-5.312599,8.429748,0.002058,0.999782,3.117149,-5.312599,,,,
0,0,0.000000,agent_1,actor_logits,0,1,2,5.986307,-2.705762,8.692069,0.001627,0.999832,5.986307,-2.705762,,,,
0,0,0.000000,agent_2,actor_logits,0,1,5,6.105259,-4.333926,4.915379,0.048136,0.992167,6.105259,-1.591828,1.189880,-3.343788,-4.333926,
0,0,0.000000,agent_3,actor_logits,0,1,5,9.265432,-9.320822,8.755136,0.001708,0.999829,9.265432,0.510297,-2.029479,-4.369147,-9.320822,
0,0,0.000000,agent_4,actor_logits,0,1,5,7.660447,-4.706256,8.485023,0.003635,0.999631,7.660447,-0.824576,-4.706256,-1.283475,-2.818795,
0,0,0.000000,agent_5,actor_logits,0,1,2,3.230392,-1.040432,4.270823,0.072716,0.986222,3.230392,-1.040432,,,,
0,1,4.000000,agent_0,actor_logits,0,1,2,3.647232,-5.343437,8.990669,0.001244,0.999875,3.647232,-5.343437,,,,
0,1,4.000000,agent_1,actor_logits,0,1,2,5.026579,-1.654726,6.681304,0.009622,0.998747,5.026579,-1.654726,,,,
0,1,4.000000,agent_2,actor_logits,2,1,5,4.394693,-3.823795,1.562706,0.479676,0.824587,2.831987,-1.610155,4.394693,-3.371023,-3.823795,
0,1,4.000000,agent_3,actor_logits,0,1,5,9.260763,-4.621191,9.349511,0.001055,0.999901,9.260763,-2.393940,-0.088748,-4.621191,-3.753653,
0,1,4.000000,agent_4,actor_logits,0,1,5,6.633729,-4.630266,3.529237,0.134565,0.970963,6.633729,-1.297335,-4.630266,-1.856928,3.104492,
0,1,4.000000,agent_5,actor_logits,0,1,2,5.256203,0.043371,5.212832,0.033668,0.994583,5.256203,0.043371,,,,
0,2,8.000000,agent_0,actor_logits,0,1,2,2.644964,-5.638285,8.283249,0.002345,0.999747,2.644964,-5.638285,,,,
0,2,8.000000,agent_1,actor_logits,0,1,2,3.460904,1.070046,2.390859,0.288127,0.916128,3.460904,1.070046,,,,
0,2,8.000000,agent_3,actor_logits,0,1,5,6.752824,-4.766528,4.859696,0.046702,0.992155,6.752824,-2.300436,1.893128,-3.769310,-4.766528,
0,2,8.000000,agent_4,actor_logits,4,1,5,4.059350,-3.391023,0.941125,0.755013,0.688046,3.118226,-2.154915,-3.391023,1.256232,4.059350,
0,2,8.000000,agent_5,actor_logits,0,1,2,4.876823,0.341519,4.535305,0.058785,0.989390,4.876823,0.341519,,,,
0,3,10.375000,agent_2,actor_logits,0,1,2,5.121500,-2.319437,7.440937,0.004950,0.999414,5.121500,-2.319437,,,,
0,4,10.550000,agent_4,actor_logits,0,1,4,4.292575,-5.527369,2.903201,0.214355,0.946755,4.292575,1.389374,-2.324240,-5.527369,,
0,5,12.000000,agent_0,actor_logits,0,1,2,0.858319,-6.646229,7.504548,0.004680,0.999450,0.858319,-6.646229,,,,
