episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,1,1,2,2.549996,-7.587828,10.137824,0.000441,0.999960,-7.587828,2.549996,,,,
0,0,0.000000,agent_1,actor_logits,1,1,2,10.380862,-11.681944,22.062805,0.000000,1.000000,-11.681944,10.380862,,,,
0,0,0.000000,agent_2,actor_logits,4,1,5,11.041499,-2.669887,9.014085,0.001597,0.999846,-2.669887,-2.563797,0.633133,2.027414,11.041499,
0,0,0.000000,agent_3,actor_logits,2,1,5,9.482021,-10.093538,8.004268,0.003063,0.999662,-10.093538,-3.348912,9.482021,-4.043634,1.477754,
0,0,0.000000,agent_4,actor_logits,4,1,5,11.379385,-11.459837,9.259560,0.001209,0.999885,-11.459837,-5.199070,2.119826,0.535068,11.379385,
0,0,0.000000,agent_5,actor_logits,1,1,2,10.222114,-12.874184,23.096298,0.000000,1.000000,-12.874184,10.222114,,,,
0,1,2.550000,agent_4,actor_logits,2,1,4,7.046187,-10.671192,9.453943,0.001358,0.999872,-10.671192,-2.407756,7.046187,-2.870208,,
0,2,3.675000,agent_3,actor_logits,1,1,4,9.532969,-7.179865,11.478683,0.000181,0.999986,-7.179865,9.532969,-2.952402,-1.945715,,
0,3,4.200000,agent_5,actor_logits,1,1,4,9.023877,-10.777087,9.362047,0.000894,0.999914,-10.777087,9.023877,-0.338170,-6.210752,,
0,4,4.800000,agent_1,actor_logits,1,1,4,11.162972,-11.524728,8.968115,0.001270,0.999873,-11.524728,11.162972,2.194857,-10.518209,,
0,5,5.850000,agent_2,actor_logits,2,1,4,7.293432,-6.671446,6.628557,0.010107,0.998677,-6.671446,-6.151097,7.293432,0.664875,,
0,6,6.750000,agent_5,actor_logits,3,1,5,9.932800,-12.391985,11.464561,0.000249,0.999980,-12.391985,-5.034818,-1.531761,9.932800,-1.693129,
0,7,6.900000,agent_4,actor_logits,1,1,2,8.060193,-11.283871,19.344063,0.000000,1.000000,-11.283871,8.060193,,,,
0,8,7.650000,agent_3,actor_logits,1,1,4,9.267003,-4.314529,12.322017,0.000103,0.999992,-3.988779,9.267003,-3.055013,-4.314529,,
0,9,8.550000,agent_2,actor_logits,3,1,4,8.263526,-9.998164,8.275239,0.002689,0.999717,-9.998164,-0.011713,-2.203251,8.263526,,
0,10,9.300000,agent_3,actor_logits,1,1,4,10.219460,-7.299259,11.728190,0.000104,0.999992,-6.429424,10.219460,-1.508731,-7.299259,,
0,11,9.750000,agent_1,actor_logits,1,1,2,2.984953,-11.368179,14.353132,0.000009,0.999999,-11.368179,2.984953,,,,
0,12,11.250000,agent_4,actor_logits,2,1,4,8.370625,-11.290276,11.129699,0.000292,0.999976,-11.290276,-2.759074,8.370625,-3.245467,,
0,13,11.625000,agent_5,actor_logits,4,1,5,13.137060,-12.419861,12.234277,0.000105,0.999992,-12.419861,0.391096,-4.040315,0.902783,13.137060,
0,14,13.275000,agent_0,actor_logits,3,1,4,7.353524,-4.762745,11.107951,0.000336,0.999973,-3.754427,-4.762745,-4.603981,7.353524,,
0,15,14.100000,agent_5,actor_logits,1,1,2,1.246811,-16.000977,17.247787,0.000001,1.000000,-16.000977,1.246811,,,,
0,16,14.175000,agent_3,actor_logits,1,1,4,12.059502,-7.085690,14.380033,0.000009,0.999999,-7.085690,12.059502,-6.900560,-2.320531,,
0,17,14.700000,agent_1,actor_logits,2,1,4,9.799070,-10.974094,10.030480,0.000493,0.999956,-10.974094,-4.706126,9.799070,-0.231410,,
0,18,15.600000,agent_4,actor_logits,1,1,2,2.227270,-10.820372,13.047642,0.000030,0.999998,-10.820372,2.227270,,,,
