episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4
0,0,0.000000,agent_0,actor_logits,0,1,1,-0.235936,-0.235936,nan,0.000000,1.000000,-0.235936,,,,
0,0,0.000000,agent_1,actor_logits,0,1,1,-0.235936,-0.235936,nan,0.000000,1.000000,-0.235936,,,,
0,0,0.000000,agent_2,actor_logits,2,1,4,2.562819,-2.640359,1.428068,0.671830,0.768690,-2.640359,-0.325972,2.562819,1.134751,
0,0,0.000000,agent_3,actor_logits,2,1,4,2.562819,-2.640359,1.428068,0.671830,0.768690,-2.640359,-0.325972,2.562819,1.134751,
0,0,0.000000,agent_4,actor_logits,2,1,4,2.562819,-2.640359,1.428068,0.671830,0.768690,-2.640359,-0.325972,2.562819,1.134751,
0,0,0.000000,agent_5,actor_logits,0,1,1,-0.235936,-0.235936,nan,0.000000,1.000000,-0.235936,,,,
0,5,5.000000,agent_1,actor_logits,1,1,3,1.409007,-0.707088,0.764795,0.846403,0.630545,0.644212,1.409007,-0.707088,,
0,5,5.000000,agent_4,actor_logits,2,1,4,1.379761,-1.285283,0.979767,1.061429,0.587977,-1.285283,0.016215,1.379761,0.399994,
0,5,5.000000,agent_5,actor_logits,1,1,3,1.409007,-0.707088,0.764795,0.846403,0.630545,0.644212,1.409007,-0.707088,,
0,6,6.000000,agent_3,actor_logits,0,1,3,3.311404,-2.582608,3.392702,0.161453,0.964903,3.311404,-0.081297,-2.582608,,
0,10,10.000000,agent_2,actor_logits,0,1,1,-0.266445,-0.266445,nan,0.000000,1.000000,-0.266445,,,,
0,10,10.000000,agent_4,actor_logits,0,1,3,1.728539,-1.380624,1.062471,0.693426,0.719301,1.728539,-1.380624,0.666069,,
0,10,10.000000,agent_5,actor_logits,0,1,1,1.451871,1.451871,nan,0.000000,1.000000,1.451871,,,,
0,12,12.000000,agent_3,actor_logits,1,1,4,2.436185,-1.055239,2.856603,0.463235,0.889961,-0.420419,2.436185,-1.055239,-0.895760,
0,14,14.000000,agent_0,actor_logits,2,1,3,4.160407,-3.353750,3.708714,0.117418,0.975558,-3.353750,0.451693,4.160407,,
0,15,15.000000,agent_5,actor_logits,0,1,3,1.273122,-0.611769,0.747852,0.879582,0.615298,1.273122,-0.611769,0.525270,,
0,16,16.000000,agent_1,actor_logits,2,1,3,4.740185,-2.298028,5.994285,0.024415,0.996641,-2.298028,-1.254100,4.740185,,
0,16,16.000000,agent_3,actor_logits,0,1,3,1.288213,0.190708,0.933464,0.970941,0.579075,1.288213,0.190708,0.354749,,
0,18,18.000000,agent_5,actor_logits,2,1,4,1.450091,-1.041250,1.194459,0.991400,0.647608,-1.041250,0.255632,1.450091,-0.392055,
0,19,19.000000,agent_0,actor_logits,2,1,3,2.425901,-2.256042,1.720218,0.468170,0.841547,-2.256042,0.705683,2.425901,,
0,19,19.000000,agent_4,actor_logits,2,1,3,2.701415,-1.140164,3.019747,0.282666,0.934341,-0.318332,-1.140164,2.701415,,
0,20,20.000000,agent_2,actor_logits,3,1,4,3.349458,-2.063585,2.769704,0.397642,0.902931,-2.063585,0.139695,0.579754,3.349458,
0,20,20.000000,agent_3,actor_logits,0,1,3,1.738801,-0.799335,0.890348,0.778476,0.671354,1.738801,-0.799335,0.848452,,
0,22,22.000000,agent_3,actor_logits,0,1,3,2.079013,-0.461225,2.366249,0.519425,0.852748,2.079013,-0.287237,-0.461225,,
0,23,23.000000,agent_1,actor_logits,2,1,3,4.829226,-4.985415,3.730575,0.111629,0.976530,-4.985415,1.098651,4.829226,,
0,23,23.000000,agent_5,actor_logits,3,1,4,0.945951,-0.538010,0.121085,1.191604,0.424320,-0.464575,-0.538010,0.824866,0.945951,
0,25,25.000000,agent_0,actor_logits,2,1,3,3.295457,-2.174027,3.230680,0.187252,0.958089,-2.174027,0.064778,3.295457,,
0,26,26.000000,agent_2,actor_logits,2,1,3,2.469307,-1.628259,1.000442,0.640136,0.722371,-1.628259,1.468866,2.469307,,
0,26,26.000000,agent_5,actor_logits,0,1,1,0.588379,0.588379,nan,0.000000,1.000000,0.588379,,,,
0,27,27.000000,agent_3,actor_logits,1,1,3,2.007163,-0.234666,1.279513,0.754458,0.722315,0.727650,2.007163,-0.234666,,
0,28,28.000000,agent_1,actor_logits,1,1,3,1.570893,-1.342716,0.893387,0.738749,0.683272,-1.342716,1.570893,0.677506,,
0,28,28.000000,agent_4,actor_logits,2,1,3,4.996402,-2.591489,6.384791,0.016774,0.997811,-2.591489,-1.388389,4.996402,,
0,29,29.000000,agent_5,actor_logits,0,1,4,0.743245,-0.605753,0.567267,1.264837,0.451009,0.743245,0.175978,-0.605753,-0.196627,
0,30,30.000000,agent_2,actor_logits,2,1,3,1.236891,-0.095290,0.455618,0.978221,0.526882,-0.095290,0.781274,1.236891,,
0,31,31.000000,agent_4,actor_logits,0,1,1,-0.437011,-0.437011,nan,0.000000,1.000000,-0.437011,,,,
0,32,32.000000,agent_0,actor_logits,1,1,3,3.606644,-3.469120,2.264357,0.317981,0.905189,-3.469120,3.606644,1.342287,,
0,33,33.000000,agent_3,actor_logits,0,1,1,-0.520256,-0.520256,nan,0.000000,1.000000,-0.520256,,,,
0,34,34.000000,agent_1,actor_logits,0,1,1,-1.917324,-1.917324,nan,0.000000,1.000000,-1.917324,,,,
0,34,34.000000,agent_2,actor_logits,2,1,3,1.431246,-0.425749,0.094213,0.907552,0.483973,-0.425749,1.337033,1.431246,,
0,34,34.000000,agent_4,actor_logits,0,1,3,1.316949,-1.858444,0.159108,0.780692,0.527793,1.316949,1.157841,-1.858444,,
0,35,35.000000,agent_5,actor_logits,0,1,3,3.543419,-3.507459,2.670957,0.246113,0.934533,3.543419,0.872463,-3.507459,,
0,38,38.000000,agent_0,actor_logits,0,1,1,-2.753709,-2.753709,nan,0.000000,1.000000,-2.753709,,,,
0,39,39.000000,agent_3,actor_logits,0,1,3,1.483840,-0.795971,1.310868,0.743792,0.728922,1.483840,0.172972,-0.795971,,
0,40,40.000000,agent_1,actor_logits,1,1,3,1.100558,-1.323115,0.240568,0.843906,0.533397,0.859990,1.100558,-1.323115,,
0,41,41.000000,agent_2,actor_logits,0,1,1,-0.495335,-0.495335,nan,0.000000,1.000000,-0.495335,,,,
0,41,41.000000,agent_5,actor_logits,1,1,4,1.100504,-0.993248,0.821580,1.149786,0.535725,0.278924,1.100504,-0.993248,-0.091316,
0,43,43.000000,agent_4,actor_logits,2,1,3,0.705689,-0.958754,0.161582,0.934822,0.490174,0.544106,-0.958754,0.705689,,
0,44,44.000000,agent_0,actor_logits,0,1,3,2.995185,-3.764663,2.446198,0.286141,0.919302,2.995185,0.548988,-3.764663,,
0,44,44.000000,agent_3,actor_logits,1,1,3,2.314915,-3.070576,0.289129,0.699174,0.570289,2.025786,2.314915,-3.070576,,
0,45,45.000000,agent_5,actor_logits,1,1,3,2.638956,-1.397792,1.832649,0.473008,0.849153,0.806307,2.638956,-1.397792,,
0,46,46.000000,agent_1,actor_logits,0,1,1,-2.029459,-2.029459,nan,0.000000,1.000000,-2.029459,,,,
0,48,48.000000,agent_2,actor_logits,0,1,3,1.209789,-0.755711,0.382044,0.894369,0.548681,1.209789,0.827746,-0.755711,,
0,50,50.000000,agent_3,actor_logits,0,1,1,-2.176962,-2.176962,nan,0.000000,1.000000,-2.176962,,,,
0,51,51.000000,agent_0,actor_logits,0,1,3,2.055489,-2.470154,0.386446,0.709238,0.591613,2.055489,1.669043,-2.470154,,
0,52,52.000000,agent_1,actor_logits,0,1,3,0.651474,-0.629304,0.057400,0.982951,0.450037,0.651474,0.594074,-0.629304,,
0,52,52.000000,agent_2,actor_logits,1,1,3,1.696576,-1.030584,0.452809,0.805443,0.587805,1.243767,1.696576,-1.030584,,
0,52,52.000000,agent_4,actor_logits,2,1,3,4.743381,-2.281838,6.622775,0.017236,0.997786,-2.281838,-1.879395,4.743381,,
0,55,55.000000,agent_4,actor_logits,0,1,1,-2.374841,-2.374841,nan,0.000000,1.000000,-2.374841,,,,
0,55,55.000000,agent_5,actor_logits,0,1,3,1.894215,-1.287410,1.250923,0.652656,0.753149,1.894215,-1.287410,0.643293,,
0,56,56.000000,agent_3,actor_logits,0,1,3,4.074553,-4.156385,4.551140,0.060455,0.989294,4.074553,-0.476587,-4.156385,,
0,57,57.000000,agent_0,actor_logits,1,1,3,3.156392,-0.751606,3.445894,0.229668,0.950609,-0.289502,3.156392,-0.751606,,
0,57,57.000000,agent_1,actor_logits,0,1,3,2.593107,-2.726392,1.975585,0.396507,0.874451,2.593107,0.617522,-2.726392,,
0,58,58.000000,agent_2,actor_logits,1,1,3,2.835664,-0.537119,2.742925,0.360117,0.910187,-0.537119,2.835664,0.092738,,
0,58,58.000000,agent_4,actor_logits,0,1,3,1.286154,-2.231492,0.083939,0.760538,0.513043,1.286154,1.202215,-2.231492,,
0,58,58.000000,agent_5,actor_logits,0,1,3,1.572400,0.093117,1.433089,0.845754,0.681955,1.572400,0.093117,0.139311,,
0,60,60.000000,agent_0,actor_logits,0,1,1,-0.622215,-0.622215,nan,0.000000,1.000000,-0.622215,,,,
0,61,61.000000,agent_2,actor_logits,0,1,1,0.433121,0.433121,nan,0.000000,1.000000,0.433121,,,,
0,63,63.000000,agent_0,actor_logits,0,1,3,3.420716,-3.348386,3.300347,0.162033,0.963373,3.420716,0.120370,-3.348386,,
0,63,63.000000,agent_3,actor_logits,1,1,3,3.478606,-2.832499,3.257437,0.171041,0.961258,0.221169,3.478606,-2.832499,,
0,64,64.000000,agent_1,actor_logits,1,1,3,3.779491,-2.534123,3.946193,0.106813,0.979298,-0.166702,3.779491,-2.534123,,
0,64,64.000000,agent_2,actor_logits,0,1,3,1.861930,-1.475844,1.101288,0.667613,0.731016,1.861930,0.760642,-1.475844,,
0,64,64.000000,agent_5,actor_logits,1,1,4,1.835726,-1.166562,1.456243,0.772153,0.748530,-1.098582,1.835726,0.379483,-1.166562,
0,67,67.000000,agent_4,actor_logits,0,1,3,0.175216,-0.490298,0.325769,1.062856,0.447231,0.175216,-0.490298,-0.150553,,
0,68,68.000000,agent_0,actor_logits,1,1,3,1.936688,-1.929497,0.488942,0.724183,0.611915,1.447746,1.936688,-1.929497,,
0,70,70.000000,agent_2,actor_logits,0,1,3,2.366177,-0.725018,2.820985,0.379000,0.904982,2.366177,-0.725018,-0.454808,,
0,71,71.000000,agent_5,actor_logits,0,1,1,-1.608897,-1.608897,nan,0.000000,1.000000,-1.608897,,,,
0,74,74.000000,agent_2,actor_logits,0,1,3,1.026109,-0.271871,0.082146,0.981853,0.455743,1.026109,0.943963,-0.271871,,
0,74,74.000000,agent_3,actor_logits,2,1,3,4.188777,-4.353336,4.641182,0.055777,0.990255,-0.452405,-4.353336,4.188777,,
0,75,75.000000,agent_1,actor_logits,2,1,3,4.370301,-4.154614,5.018404,0.041443,0.993233,-0.648103,-4.154614,4.370301,,
0,78,78.000000,agent_0,actor_logits,0,1,1,-2.432803,-2.432803,nan,0.000000,1.000000,-2.432803,,,,
0,78,78.000000,agent_5,actor_logits,2,1,4,1.915094,-2.572430,0.640750,0.895536,0.602264,-0.186537,-2.572430,1.915094,1.274344,
0,79,79.000000,agent_3,actor_logits,0,1,1,-3.728309,-3.728309,nan,0.000000,1.000000,-3.728309,,,,
0,80,80.000000,agent_1,actor_logits,0,1,1,-3.608451,-3.608451,nan,0.000000,1.000000,-3.608451,,,,
0,80,80.000000,agent_2,actor_logits,2,1,4,0.937564,-0.987982,0.999580,1.169481,0.534691,-0.062015,-0.094112,0.937564,-0.987982,
0,81,81.000000,agent_4,actor_logits,2,1,3,5.856772,-7.148191,5.909024,0.018741,0.997290,-7.148191,-0.052252,5.856772,,
0,84,84.000000,agent_3,actor_logits,0,1,3,2.170418,-2.888314,2.583765,0.288667,0.924349,2.170418,-0.413348,-2.888314,,
0,85,85.000000,agent_1,actor_logits,0,1,3,2.024112,-2.756482,2.354428,0.337308,0.906340,2.024112,-0.330316,-2.756482,,
0,88,88.000000,agent_0,actor_logits,0,1,3,2.299757,-2.419566,3.189649,0.214087,0.952283,2.299757,-2.419566,-0.889892,,
0,88,88.000000,agent_5,actor_logits,0,1,1,-6.139813,-6.139813,nan,0.000000,1.000000,-6.139813,,,,
0,89,89.000000,agent_3,actor_logits,0,1,1,-4.838445,-4.838445,nan,0.000000,1.000000,-4.838445,,,,
0,90,90.000000,agent_1,actor_logits,0,1,1,-4.721075,-4.721075,nan,0.000000,1.000000,-4.721075,,,,
0,90,90.000000,agent_2,actor_logits,0,1,1,-4.170931,-4.170931,nan,0.000000,1.000000,-4.170931,,,,
0,94,94.000000,agent_3,actor_logits,1,1,3,1.513169,-2.112178,1.406417,0.587254,0.786374,0.106752,1.513169,-2.112178,,
0,95,95.000000,agent_1,actor_logits,1,1,3,1.665319,-1.852810,1.681076,0.538650,0.822484,-0.015757,1.665319,-1.852810,,
0,95,95.000000,agent_4,actor_logits,2,1,3,5.222452,-6.156953,6.533985,0.011075,0.998538,-6.156953,-1.311533,5.222452,,
0,98,98.000000,agent_5,actor_logits,3,1,4,6.448691,-1.877620,6.487130,0.016953,0.997865,-1.877620,-1.441854,-0.038439,6.448691,
0,100,100.000000,agent_2,actor_logits,3,1,4,5.606855,-1.813634,5.742190,0.036219,0.994952,-1.064121,-1.813634,-0.135335,5.606855,
0,102,102.000000,agent_0,actor_logits,0,1,1,-6.823419,-6.823419,nan,0.000000,1.000000,-6.823419,,,,
0,104,104.000000,agent_4,actor_logits,2,1,3,6.035725,-6.427483,7.090285,0.006787,0.999164,-6.427483,-1.054560,6.035725,,
0,104,104.000000,agent_5,actor_logits,2,1,3,5.453813,-6.850786,4.805783,0.047212,0.991880,-6.850786,0.648029,5.453813,,
0,105,105.000000,agent_3,actor_logits,2,1,3,4.807074,-4.376486,7.718850,0.004918,0.999453,-4.376486,-2.911777,4.807074,,
0,106,106.000000,agent_1,actor_logits,2,1,3,4.578785,-3.951130,7.772271,0.005574,0.999382,-3.951130,-3.193486,4.578785,,
0,106,106.000000,agent_2,actor_logits,2,1,3,4.356874,-6.463174,2.324689,0.300659,0.910885,-6.463174,2.032186,4.356874,,
0,107,107.000000,agent_4,actor_logits,0,1,1,-6.199750,-6.199750,nan,0.000000,1.000000,-6.199750,,,,
0,108,108.000000,agent_5,actor_logits,1,1,3,2.756938,-4.721073,0.532803,0.661832,0.629912,-4.721073,2.756938,2.224134,,
0,110,110.000000,agent_2,actor_logits,1,1,3,2.197317,-3.324119,0.762631,0.642495,0.680070,-3.324119,2.197317,1.434686,,
0,110,110.000000,agent_4,actor_logits,1,1,3,3.753413,-2.349227,4.483351,0.076876,0.986648,-2.349227,3.753413,-0.729939,,
0,112,112.000000,agent_3,actor_logits,2,1,3,5.436600,-6.906514,5.576050,0.024878,0.996222,-6.906514,-0.139450,5.436600,,
0,113,113.000000,agent_1,actor_logits,2,1,3,5.483077,-6.907635,5.593142,0.024520,0.996286,-6.907635,-0.110065,5.483077,,
0,114,114.000000,agent_5,actor_logits,1,1,3,2.541673,-4.127545,0.346699,0.683937,0.585382,-4.127545,2.541673,2.194974,,
0,115,115.000000,agent_4,actor_logits,3,1,4,5.429327,-2.125206,4.540399,0.072214,0.987734,-1.274956,0.888928,-2.125206,5.429327,
0,116,116.000000,agent_0,actor_logits,2,1,3,5.260303,-6.006493,6.497021,0.011446,0.998482,-6.006493,-1.236719,5.260303,,
0,116,116.000000,agent_2,actor_logits,2,1,3,2.915652,-4.657572,0.222376,0.689422,0.555207,-4.657572,2.693276,2.915652,,
0,117,117.000000,agent_3,actor_logits,2,1,3,4.966312,-6.839000,3.499844,0.132451,0.970676,-6.839000,1.466468,4.966312,,
0,117,117.000000,agent_5,actor_logits,0,1,1,-1.583945,-1.583945,nan,0.000000,1.000000,-1.583945,,,,
0,118,118.000000,agent_1,actor_logits,2,1,3,4.414557,-6.560209,2.453283,0.276994,0.920787,-6.560209,1.961273,4.414557,,
0,118,118.000000,agent_4,actor_logits,0,1,1,-3.982320,-3.982320,nan,0.000000,1.000000,-3.982320,,,,
0,120,120.000000,agent_5,actor_logits,1,1,3,1.697855,-1.543265,1.034509,0.687123,0.717092,0.663347,1.697855,-1.543265,,
0,121,121.000000,agent_0,actor_logits,2,1,3,3.854478,-6.048863,3.623914,0.121022,0.973968,-6.048863,0.230565,3.854478,,
0,121,121.000000,agent_4,actor_logits,1,1,4,2.810766,-1.861357,2.974833,0.403822,0.904502,-0.164067,2.810766,-1.861357,-0.286503,
