episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4
0,0,0.000000,agent_0,actor_logits,0,1,1,1.053241,1.053241,nan,0.000000,1.000000,1.053241,,,,
0,0,0.000000,agent_1,actor_logits,0,1,1,1.053241,1.053241,nan,0.000000,1.000000,1.053241,,,,
0,0,0.000000,agent_2,actor_logits,3,1,4,1.690180,-1.207379,0.968054,0.981885,0.626749,-1.207379,-0.138938,0.722126,1.690180,
0,0,0.000000,agent_3,actor_logits,3,1,4,1.690180,-1.207379,0.968054,0.981885,0.626749,-1.207379,-0.138938,0.722126,1.690180,
0,0,0.000000,agent_4,actor_logits,3,1,4,1.690180,-1.207379,0.968054,0.981885,0.626749,-1.207379,-0.138938,0.722126,1.690180,
0,0,0.000000,agent_5,actor_logits,0,1,1,1.053241,1.053241,nan,0.000000,1.000000,1.053241,,,,
0,3,3.000000,agent_4,actor_logits,1,1,3,1.359742,-1.376804,0.614208,0.791023,0.622718,0.745534,1.359742,-1.376804,,
0,5,5.000000,agent_1,actor_logits,0,1,3,2.903620,-2.825732,1.979522,0.388122,0.876129,2.903620,0.924098,-2.825732,,
0,5,5.000000,agent_5,actor_logits,0,1,3,2.903620,-2.825732,1.979522,0.388122,0.876129,2.903620,0.924098,-2.825732,,
0,6,6.000000,agent_2,actor_logits,0,1,3,2.576797,-2.002774,2.113606,0.390436,0.884126,2.576797,0.463190,-2.002774,,
0,8,8.000000,agent_4,actor_logits,0,1,1,2.180256,2.180256,nan,0.000000,1.000000,2.180256,,,,
0,8,8.000000,agent_5,actor_logits,0,1,4,1.532093,-1.050479,1.608049,0.904829,0.707603,1.532093,-0.075956,-1.050479,-0.453023,
0,9,9.000000,agent_3,actor_logits,2,1,4,1.854167,-2.402588,0.304960,1.025128,0.491973,-2.402588,0.585872,1.854167,1.549207,
0,10,10.000000,agent_1,actor_logits,0,1,1,1.520616,1.520616,nan,0.000000,1.000000,1.520616,,,,
0,12,12.000000,agent_2,actor_logits,1,1,4,1.236264,-1.540831,0.251842,1.125611,0.452905,-1.540831,1.236264,0.984421,0.237631,
0,13,13.000000,agent_4,actor_logits,0,1,3,1.778385,-0.735462,1.397410,0.697164,0.752903,1.778385,0.380974,-0.735462,,
0,14,14.000000,agent_0,actor_logits,2,1,3,3.048064,-1.431510,2.964423,0.252692,0.940797,-1.431510,0.083641,3.048064,,
0,14,14.000000,agent_3,actor_logits,3,1,4,2.318239,-2.147452,1.210022,0.782419,0.715579,-0.114648,-2.147452,1.108217,2.318239,
0,15,15.000000,agent_1,actor_logits,0,1,3,2.256355,-1.311208,1.401787,0.592240,0.784694,2.256355,0.854568,-1.311208,,
0,16,16.000000,agent_4,actor_logits,0,1,4,1.807204,-1.379998,1.776559,0.777789,0.762270,1.807204,0.030646,-1.379998,-0.481825,
