episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7
0,0,0.000000,agent_0,q_values,1,1,2,329.457367,325.916504,3.540863,0.128328,0.971828,325.916504,329.457367,,,,,,
0,0,0.000000,agent_1,q_values,0,1,4,349.982697,348.065826,1.435883,1.065045,0.625802,349.982697,348.436127,348.065826,348.546814,,,,
0,0,0.000000,agent_2,q_values,2,1,4,100.294136,97.571465,0.227402,1.152136,0.429927,99.525566,100.066734,100.294136,97.571465,,,,
0,0,0.000000,agent_3,q_values,1,1,4,264.376282,262.267181,1.145111,1.070051,0.609353,262.774567,264.376282,263.231171,262.267181,,,,
0,0,0.000000,agent_4,q_values,3,1,4,408.798584,407.433228,0.088989,1.275434,0.372126,408.709595,407.433228,408.139099,408.798584,,,,
0,0,0.000000,agent_5,q_values,3,1,4,401.240082,400.437958,0.071442,1.346889,0.307466,401.104218,401.168640,400.437958,401.240082,,,,
0,2,2.000000,agent_0,q_values,2,1,3,331.319885,325.916504,1.862518,0.418573,0.862231,325.916504,329.457367,331.319885,,,,,
0,2,2.000000,agent_1,q_values,0,1,3,376.748322,375.888519,0.695038,1.023273,0.520210,376.748322,376.053284,375.888519,,,,,
0,2,2.000000,agent_2,q_values,2,1,4,248.400436,245.552719,0.645035,1.094708,0.529199,247.219620,247.755402,248.400436,245.552719,,,,
0,2,2.000000,agent_3,q_values,1,1,4,440.690491,438.507812,1.279938,1.011913,0.646910,439.410553,440.690491,438.507812,438.826263,,,,
0,2,2.000000,agent_4,q_values,3,1,4,426.667450,425.168854,0.155212,1.268694,0.381635,426.052429,425.168854,426.512238,426.667450,,,,
0,2,2.000000,agent_5,q_values,1,1,3,433.815948,432.013855,0.780212,0.887847,0.616044,432.013855,433.815948,433.035736,,,,,
0,4,4.000000,agent_0,q_values,0,1,3,-448.825439,-449.704895,0.650238,1.024749,0.516281,-448.825439,-449.475677,-449.704895,,,,,
0,4,4.000000,agent_1,q_values,0,1,2,388.297546,386.676331,1.621216,0.447929,0.834963,388.297546,386.676331,,,,,,
0,4,4.000000,agent_2,q_values,3,1,4,451.742706,451.179657,0.322876,1.362616,0.340782,451.419830,451.179657,451.297821,451.742706,,,,
0,4,4.000000,agent_3,q_values,1,1,4,511.559998,508.179382,0.950287,0.853469,0.669085,510.609711,511.559998,508.179382,508.955261,,,,
0,4,4.000000,agent_4,q_values,2,1,3,430.172394,428.941010,0.029144,0.988088,0.441859,430.143250,428.941010,430.172394,,,,,
0,4,4.000000,agent_5,q_values,1,1,3,406.939636,404.128693,1.906433,0.563851,0.827296,404.128693,406.939636,405.033203,,,,,
0,6,6.000000,agent_0,q_values,0,1,3,-531.624146,-534.166443,0.850098,0.783552,0.663985,-531.624146,-534.166443,-532.474243,,,,,
0,6,6.000000,agent_1,q_values,0,1,3,227.960709,225.798050,1.537125,0.720695,0.751870,227.960709,226.423584,225.798050,,,,,
0,6,6.000000,agent_2,q_values,1,1,4,397.956116,395.945801,0.931458,1.073368,0.592806,397.024658,397.956116,396.117065,395.945801,,,,
0,6,6.000000,agent_3,q_values,1,1,3,521.850220,517.907227,0.879272,0.668527,0.697119,520.970947,521.850220,517.907227,,,,,
0,6,6.000000,agent_4,q_values,0,1,3,412.427002,410.983093,0.925293,0.923510,0.612588,412.427002,411.501709,410.983093,,,,,
0,6,6.000000,agent_5,q_values,1,1,3,362.614288,359.336029,2.064911,0.483316,0.858720,359.336029,362.614288,360.549377,,,,,
0,8,8.000000,agent_0,q_values,1,1,2,-20.451569,-25.540091,5.088522,0.037337,0.993871,-25.540091,-20.451569,,,,,,
0,8,8.000000,agent_1,q_values,0,1,2,412.906952,411.511536,1.395416,0.498378,0.801455,412.906952,411.511536,,,,,,
0,8,8.000000,agent_2,q_values,0,1,4,417.832184,414.749603,0.693573,1.118686,0.496682,417.832184,417.138611,414.749603,417.072327,,,,
0,8,8.000000,agent_3,q_values,3,1,4,445.709259,443.455963,0.411682,1.194908,0.442801,444.997467,445.297577,443.455963,445.709259,,,,
0,8,8.000000,agent_4,q_values,0,1,4,402.244598,400.238922,0.573547,1.186791,0.487510,402.244598,400.238922,401.671051,401.203735,,,,
0,8,8.000000,agent_5,q_values,1,1,3,372.233307,368.397369,3.530243,0.226823,0.951584,368.703064,372.233307,368.397369,,,,,
0,10,10.000000,agent_0,q_values,2,1,3,159.334396,156.032227,0.195160,0.772012,0.537777,156.032227,159.139236,159.334396,,,,,
0,10,10.000000,agent_1,q_values,0,1,3,261.444824,259.859955,1.190399,0.866648,0.662658,261.444824,260.254425,259.859955,,,,,
