episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7
0,0,0.000000,agent_0,actor_logits,0,1,2,1.750134,-2.708004,4.458138,0.062569,0.988549,1.750134,-2.708004,,,,,,
0,0,0.000000,agent_1,actor_logits,3,1,4,4.275782,-4.192782,0.598823,0.658950,0.644635,3.676959,-2.163707,-4.192782,4.275782,,,,
0,0,0.000000,agent_2,actor_logits,3,1,4,4.275782,-4.192782,0.598823,0.658950,0.644635,3.676959,-2.163707,-4.192782,4.275782,,,,
0,0,0.000000,agent_3,actor_logits,3,1,4,4.275782,-4.192782,0.598823,0.658950,0.644635,3.676959,-2.163707,-4.192782,4.275782,,,,
0,0,0.000000,agent_4,actor_logits,3,1,4,4.275782,-4.192782,0.598823,0.658950,0.644635,3.676959,-2.163707,-4.192782,4.275782,,,,
0,0,0.000000,agent_5,actor_logits,3,1,4,4.275782,-4.192782,0.598823,0.658950,0.644635,3.676959,-2.163707,-4.192782,4.275782,,,,
0,2,2.000000,agent_0,actor_logits,0,1,3,8.712852,-10.546273,11.830924,0.000093,0.999993,8.712852,-3.118073,-10.546273,,,,,
0,2,2.000000,agent_1,actor_logits,0,1,4,9.283766,-10.214175,1.782147,0.412253,0.855960,9.283766,-3.726804,-10.214175,7.501619,,,,
0,2,2.000000,agent_2,actor_logits,0,1,4,9.283766,-10.214175,1.782147,0.412253,0.855960,9.283766,-3.726804,-10.214175,7.501619,,,,
0,2,2.000000,agent_3,actor_logits,0,1,4,9.283766,-10.214175,1.782147,0.412253,0.855960,9.283766,-3.726804,-10.214175,7.501619,,,,
0,2,2.000000,agent_4,actor_logits,0,1,4,9.283766,-10.214175,1.782147,0.412253,0.855960,9.283766,-3.726804,-10.214175,7.501619,,,,
0,2,2.000000,agent_5,actor_logits,0,1,3,9.015912,-10.135222,13.051483,0.000030,0.999998,9.015912,-4.035571,-10.135222,,,,,
0,4,4.000000,agent_0,actor_logits,0,1,2,2.494239,-0.016915,2.511154,0.266585,0.924920,2.494239,-0.016915,,,,,,
0,4,4.000000,agent_1,actor_logits,3,1,4,7.876810,-10.040870,4.281576,0.084309,0.984723,3.595234,1.495948,-10.040870,7.876810,,,,
0,4,4.000000,agent_2,actor_logits,3,1,4,8.646394,-11.595740,0.576625,0.653459,0.640279,8.069769,-1.802688,-11.595740,8.646394,,,,
0,4,4.000000,agent_3,actor_logits,3,1,4,8.646394,-11.595740,0.576625,0.653459,0.640279,8.069769,-1.802688,-11.595740,8.646394,,,,
0,4,4.000000,agent_4,actor_logits,3,1,4,8.646394,-11.595740,0.576625,0.653459,0.640279,8.069769,-1.802688,-11.595740,8.646394,,,,
0,4,4.000000,agent_5,actor_logits,3,1,4,8.457970,-11.825717,0.017014,0.693308,0.504245,8.440956,-1.811011,-11.825717,8.457970,,,,
0,6,6.000000,agent_0,actor_logits,0,1,3,10.263895,-11.435867,13.089073,0.000029,0.999998,10.263895,-2.825178,-11.435867,,,,,
0,6,6.000000,agent_1,actor_logits,0,1,4,8.756479,-10.080455,2.843277,0.213207,0.944959,8.756479,-2.565063,-10.080455,5.913203,,,,
0,6,6.000000,agent_2,actor_logits,0,1,4,9.162502,-11.534616,3.006512,0.190295,0.952841,9.162502,-1.291708,-11.534616,6.155991,,,,
0,6,6.000000,agent_3,actor_logits,0,1,4,9.162502,-11.534616,3.006512,0.190295,0.952841,9.162502,-1.291708,-11.534616,6.155991,,,,
0,6,6.000000,agent_4,actor_logits,0,1,4,9.162502,-11.534616,3.006512,0.190295,0.952841,9.162502,-1.291708,-11.534616,6.155991,,,,
0,6,6.000000,agent_5,actor_logits,0,1,3,7.807025,-9.489247,10.019696,0.000491,0.999956,7.807025,-2.212671,-9.489247,,,,,
0,8,8.000000,agent_0,actor_logits,0,1,2,3.660542,0.089232,3.571311,0.125406,0.972650,3.660542,0.089232,,,,,,
0,8,8.000000,agent_1,actor_logits,3,1,4,4.097706,-7.639593,1.631742,0.786326,0.720466,2.449498,2.465964,-7.639593,4.097706,,,,
0,8,8.000000,agent_2,actor_logits,0,1,4,9.866840,-11.012746,2.477314,0.272556,0.922534,9.866840,-3.307977,-11.012746,7.389526,,,,
0,8,8.000000,agent_3,actor_logits,0,1,4,9.866840,-11.012746,2.477314,0.272556,0.922534,9.866840,-3.307977,-11.012746,7.389526,,,,
0,8,8.000000,agent_4,actor_logits,0,1,4,9.866840,-11.012746,2.477314,0.272556,0.922534,9.866840,-3.307977,-11.012746,7.389526,,,,
0,8,8.000000,agent_5,actor_logits,0,1,4,10.412739,-10.990374,3.169433,0.169009,0.959667,10.412739,-3.796030,-10.990374,7.243306,,,,
0,10,10.000000,agent_0,actor_logits,0,1,3,10.113424,-11.402928,12.746233,0.000040,0.999997,10.113424,-2.632808,-11.402928,,,,,
0,10,10.000000,agent_1,actor_logits,0,1,4,7.503531,-9.375761,1.926673,0.381353,0.872841,7.503531,-2.369144,-9.375761,5.576858,,,,
0,10,10.000000,agent_2,actor_logits,0,1,4,8.924381,-9.503350,3.597423,0.123060,0.973327,8.924381,-9.503350,-2.660438,5.326958,,,,
0,10,10.000000,agent_3,actor_logits,0,1,4,8.924381,-9.503350,3.597423,0.123060,0.973327,8.924381,-9.503350,-2.660438,5.326958,,,,
0,10,10.000000,agent_4,actor_logits,0,1,4,8.924381,-9.503350,3.597423,0.123060,0.973327,8.924381,-9.503350,-2.660438,5.326958,,,,
0,10,10.000000,agent_5,actor_logits,0,1,4,9.451141,-9.422253,4.218692,0.075848,0.985492,9.451141,-9.422253,-3.078888,5.232450,,,,
0,12,12.000000,agent_0,actor_logits,0,1,2,0.700005,-2.263186,2.963192,0.195906,0.950883,0.700005,-2.263186,,,,,,
0,12,12.000000,agent_1,actor_logits,1,1,4,5.370199,-4.249525,6.241550,0.026371,0.996438,-1.091555,5.370199,-4.249525,-0.871351,,,,
0,12,12.000000,agent_2,actor_logits,0,1,3,1.538725,-9.600599,0.323845,0.680309,0.580256,1.538725,1.214879,-9.600599,,,,,
0,12,12.000000,agent_3,actor_logits,3,1,4,8.471861,-6.708388,0.584143,0.652254,0.642020,7.887718,-6.708388,-6.174830,8.471861,,,,
0,12,12.000000,agent_4,actor_logits,3,1,4,8.471861,-6.708388,0.584143,0.652254,0.642020,7.887718,-6.708388,-6.174830,8.471861,,,,
0,12,12.000000,agent_5,actor_logits,3,1,4,8.247816,-6.785709,0.103884,0.691807,0.525947,8.143932,-6.785709,-6.209245,8.247816,,,,
0,14,14.000000,agent_0,actor_logits,0,1,3,8.284451,-16.439379,5.904520,0.018782,0.997280,8.284451,2.379931,-16.439379,,,,,
0,14,14.000000,agent_1,actor_logits,0,1,3,7.280117,-7.290826,14.256008,0.000017,0.999999,7.280117,-6.975892,-7.290826,,,,,
0,14,14.000000,agent_2,actor_logits,0,1,3,4.200356,-15.157709,0.478615,0.665313,0.617421,4.200356,3.721741,-15.157709,,,,,
0,14,14.000000,agent_3,actor_logits,3,1,4,10.737622,-11.266816,4.168776,0.078910,0.984761,6.568846,-1.878631,-11.266816,10.737622,,,,
0,14,14.000000,agent_4,actor_logits,3,1,4,10.737622,-11.266816,4.168776,0.078910,0.984761,6.568846,-1.878631,-11.266816,10.737622,,,,
0,14,14.000000,agent_5,actor_logits,3,1,4,10.775647,-7.260365,5.558271,0.025200,0.996159,5.217376,-4.297355,-7.260365,10.775647,,,,
0,16,16.000000,agent_0,actor_logits,1,1,2,3.811403,-3.130301,6.941703,0.007670,0.999034,-3.130301,3.811403,,,,,,
0,16,16.000000,agent_1,actor_logits,1,1,2,6.140621,-2.134479,8.275100,0.002363,0.999745,-2.134479,6.140621,,,,,,
0,16,16.000000,agent_2,actor_logits,1,1,2,4.396390,-7.882054,12.278444,0.000062,0.999995,-7.882054,4.396390,,,,,,
0,16,16.000000,agent_3,actor_logits,3,1,4,12.338194,-14.517941,6.673563,0.009942,0.998716,1.601610,5.664631,-14.517941,12.338194,,,,
0,16,16.000000,agent_4,actor_logits,3,1,4,12.338194,-14.517941,6.673563,0.009942,0.998716,1.601610,5.664631,-14.517941,12.338194,,,,
0,16,16.000000,agent_5,actor_logits,3,1,4,12.419692,-9.705635,10.008255,0.000549,0.999951,-0.015924,2.411437,-9.705635,12.419692,,,,
0,18,18.000000,agent_0,actor_logits,0,1,3,6.257314,-11.346297,6.221115,0.014322,0.998017,6.257314,0.036198,-11.346297,,,,,
0,18,18.000000,agent_1,actor_logits,0,1,3,7.473300,-12.271223,7.084083,0.006772,0.999162,7.473300,0.389217,-12.271223,,,,,
0,18,18.000000,agent_2,actor_logits,0,1,3,5.611001,-12.228298,4.254015,0.073698,0.985992,5.611001,1.356986,-12.228298,,,,,
0,18,18.000000,agent_3,actor_logits,3,1,4,9.286947,-18.700312,2.533090,0.448156,0.880107,6.418932,6.753857,-18.700312,9.286947,,,,
0,18,18.000000,agent_4,actor_logits,3,1,4,9.286947,-18.700312,2.533090,0.448156,0.880107,6.418932,6.753857,-18.700312,9.286947,,,,
0,18,18.000000,agent_5,actor_logits,1,1,3,4.456395,-14.380240,0.028300,0.693047,0.507075,4.428095,4.456395,-14.380240,,,,,
0,20,20.000000,agent_0,actor_logits,0,1,2,3.127893,1.914684,1.213210,0.538227,0.770866,3.127893,1.914684,,,,,,
0,20,20.000000,agent_1,actor_logits,0,1,2,3.452239,1.335670,2.116569,0.341250,0.892503,3.452239,1.335670,,,,,,
0,20,20.000000,agent_2,actor_logits,0,1,2,3.522620,2.625144,0.897476,0.601766,0.710430,3.522620,2.625144,,,,,,
0,20,20.000000,agent_3,actor_logits,1,1,4,11.845337,-17.501608,3.236916,0.160983,0.962193,0.087250,11.845337,-17.501608,8.608421,,,,
0,20,20.000000,agent_4,actor_logits,1,1,3,11.078306,-17.374594,10.565446,0.000298,0.999974,0.512861,11.078306,-17.374594,,,,,
0,20,20.000000,agent_5,actor_logits,1,1,3,11.808539,-19.326267,9.466817,0.000810,0.999923,2.341722,11.808539,-19.326267,,,,,
0,22,22.000000,agent_0,actor_logits,1,1,3,10.063456,-16.890326,7.749028,0.003771,0.999569,2.314428,10.063456,-16.890326,,,,,
0,22,22.000000,agent_1,actor_logits,1,1,3,9.674559,-16.577114,7.210917,0.006059,0.999262,2.463642,9.674559,-16.577114,,,,,
0,22,22.000000,agent_2,actor_logits,1,1,3,10.110783,-17.299479,7.566309,0.004432,0.999483,2.544473,10.110783,-17.299479,,,,,
0,22,22.000000,agent_3,actor_logits,3,1,4,9.693488,-15.903289,0.930212,0.596259,0.717076,0.299092,8.763276,-15.903289,9.693488,,,,
0,22,22.000000,agent_4,actor_logits,1,1,3,8.807441,-16.861937,7.570495,0.004415,0.999485,1.236946,8.807441,-16.861937,,,,,
0,22,22.000000,agent_5,actor_logits,1,1,3,9.493932,-19.312033,5.468549,0.027174,0.995800,4.025383,9.493932,-19.312033,,,,,
0,24,24.000000,agent_0,actor_logits,1,1,3,9.649392,-15.445539,8.373344,0.002164,0.999769,1.276048,9.649392,-15.445539,,,,,
0,24,24.000000,agent_1,actor_logits,1,1,3,9.650658,-15.357617,8.463837,0.001996,0.999789,1.186821,9.650658,-15.357617,,,,,
0,24,24.000000,agent_2,actor_logits,1,1,3,9.334400,-15.398324,7.608771,0.004269,0.999504,1.725629,9.334400,-15.398324,,,,,
0,24,24.000000,agent_3,actor_logits,1,1,3,10.104364,-18.983957,6.498915,0.011271,0.998497,3.605449,10.104364,-18.983957,,,,,
0,24,24.000000,agent_4,actor_logits,1,1,3,9.848946,-19.451754,5.363758,0.029675,0.995339,4.485188,9.848946,-19.451754,,,,,
0,24,24.000000,agent_5,actor_logits,1,1,3,9.690284,-20.934916,2.906796,0.203836,0.948181,6.783488,9.690284,-20.934916,,,,,
0,26,26.000000,agent_0,actor_logits,1,1,3,7.293378,-16.998375,1.825684,0.402694,0.861247,5.467694,7.293378,-16.998375,,,,,
0,26,26.000000,agent_1,actor_logits,1,1,3,7.469381,-17.049660,2.234221,0.317814,0.903281,5.235160,7.469381,-17.049660,,,,,
0,26,26.000000,agent_2,actor_logits,1,1,3,7.147874,-17.048607,1.339421,0.510767,0.792395,5.808453,7.147874,-17.048607,,,,,
0,26,26.000000,agent_3,actor_logits,1,1,3,9.736261,-21.697016,2.716182,0.232504,0.937975,7.020079,9.736261,-21.697016,,,,,
0,26,26.000000,agent_4,actor_logits,1,1,3,9.543922,-21.711695,2.230993,0.318445,0.902998,7.312930,9.543922,-21.711695,,,,,
0,26,26.000000,agent_5,actor_logits,1,1,3,9.183186,-22.132940,0.751040,0.627317,0.679405,8.432146,9.183186,-22.132940,,,,,
0,28,28.000000,agent_0,actor_logits,1,1,3,6.104023,-15.843036,0.324419,0.680162,0.580401,5.779604,6.104023,-15.843036,,,,,
0,28,28.000000,agent_1,actor_logits,1,1,3,6.325039,-15.920753,0.805973,0.618096,0.691251,5.519066,6.325039,-15.920753,,,,,
0,28,28.000000,agent_2,actor_logits,1,1,3,6.054286,-15.937875,0.054408,0.692777,0.513599,5.999877,6.054286,-15.937875,,,,,
0,28,28.000000,agent_3,actor_logits,0,1,2,6.818256,-0.081963,6.900220,0.007952,0.998993,6.818256,-0.081963,,,,,,
0,28,28.000000,agent_4,actor_logits,0,1,2,7.022426,-0.200590,7.223016,0.005995,0.999271,7.022426,-0.200590,,,,,,
0,28,28.000000,agent_5,actor_logits,0,1,2,8.178225,-0.485585,8.663809,0.001669,0.999827,8.178225,-0.485585,,,,,,
0,30,30.000000,agent_0,actor_logits,0,1,3,5.874002,-15.306114,0.110271,0.691630,0.527540,5.874002,5.763731,-15.306114,,,,,
0,30,30.000000,agent_1,actor_logits,1,1,3,5.963938,-15.381227,0.283375,0.683209,0.570374,5.680563,5.963938,-15.381227,,,,,
0,30,30.000000,agent_2,actor_logits,0,1,3,5.980992,-15.394872,0.236053,0.686230,0.558741,5.980992,5.744939,-15.394872,,,,,
0,30,30.000000,agent_3,actor_logits,0,1,3,10.229115,-22.244846,1.543809,0.465246,0.824018,10.229115,8.685306,-22.244846,,,,,
0,30,30.000000,agent_4,actor_logits,0,1,3,10.194997,-22.193789,1.512765,0.472195,0.819471,10.194997,8.682232,-22.193789,,,,,
0,30,30.000000,agent_5,actor_logits,0,1,3,10.350352,-22.356352,1.495568,0.476043,0.816913,10.350352,8.854784,-22.356352,,,,,
0,32,32.000000,agent_0,actor_logits,0,1,3,8.949489,-10.988486,11.745974,0.000101,0.999992,8.949489,-2.796485,-10.988486,,,,,
0,32,32.000000,agent_1,actor_logits,1,1,3,5.843332,-14.344860,1.124626,0.556949,0.754846,4.718706,5.843332,-14.344860,,,,,
0,32,32.000000,agent_2,actor_logits,0,1,3,8.928259,-11.052178,11.649857,0.000110,0.999991,8.928259,-2.721597,-11.052178,,,,,
0,32,32.000000,agent_3,actor_logits,1,1,3,9.782623,-21.891935,2.022779,0.360565,0.883168,7.759845,9.782623,-21.891935,,,,,
0,32,32.000000,agent_4,actor_logits,1,1,3,9.795187,-21.818094,2.118737,0.340810,0.892711,7.676450,9.795187,-21.818094,,,,,
0,32,32.000000,agent_5,actor_logits,1,1,3,9.878879,-21.927004,2.062066,0.352410,0.887161,7.816813,9.878879,-21.927004,,,,,
0,34,34.000000,agent_0,actor_logits,0,1,3,14.706240,-10.184505,22.892509,0.000000,1.000000,14.706240,-8.186270,-10.184505,,,,,
0,34,34.000000,agent_1,actor_logits,0,1,4,7.965585,-15.373621,3.070825,0.288648,0.933191,7.965585,4.285041,-15.373621,4.894760,,,,
0,34,34.000000,agent_2,actor_logits,0,1,3,14.584129,-10.145144,22.705776,0.000000,1.000000,14.584129,-8.121647,-10.145144,,,,,
0,34,34.000000,agent_3,actor_logits,0,1,4,9.501150,-11.158446,0.313017,0.681055,0.577621,9.501150,-4.515275,-11.158446,9.188133,,,,
0,34,34.000000,agent_4,actor_logits,0,1,4,9.491995,-11.133815,0.299858,0.682040,0.574408,9.491995,-4.529508,-11.133815,9.192137,,,,
0,34,34.000000,agent_5,actor_logits,0,1,4,9.767841,-11.200355,0.757848,0.626205,0.680886,9.767841,-4.629209,-11.200355,9.009994,,,,
0,36,36.000000,agent_0,actor_logits,0,1,3,2.483498,-5.581255,4.712595,0.053702,0.990790,2.483498,-2.229096,-5.581255,,,,,
0,36,36.000000,agent_1,actor_logits,0,1,3,4.877048,-11.145675,3.360756,0.146858,0.966455,4.877048,1.516292,-11.145675,,,,,
0,36,36.000000,agent_2,actor_logits,0,1,3,2.513719,-5.619053,4.729679,0.052831,0.990959,2.513719,-2.215960,-5.619053,,,,,
0,36,36.000000,agent_3,actor_logits,1,1,4,13.449037,-15.869383,8.416096,0.002094,0.999778,-0.694622,13.449037,-15.869383,5.032940,,,,
0,36,36.000000,agent_4,actor_logits,1,1,4,13.389227,-15.847473,8.375961,0.002171,0.999769,-0.639294,13.389227,-15.847473,5.013266,,,,
0,36,36.000000,agent_5,actor_logits,1,1,4,13.426198,-15.955287,8.643848,0.001713,0.999823,-0.418749,13.426198,-15.955287,4.782350,,,,
0,38,38.000000,agent_0,actor_logits,0,1,3,-0.206521,-6.339868,0.790538,0.630997,0.686922,-0.206521,-0.997059,-6.339868,,,,,
0,38,38.000000,agent_1,actor_logits,1,1,3,0.015562,-5.018020,1.436379,0.519425,0.803663,-1.420817,0.015562,-5.018020,,,,,
0,38,38.000000,agent_2,actor_logits,0,1,3,-0.160557,-6.384713,0.844067,0.621082,0.698354,-0.160557,-1.004624,-6.384713,,,,,
0,38,38.000000,agent_3,actor_logits,0,1,3,9.839436,-17.501087,7.799395,0.003606,0.999590,9.839436,2.040040,-17.501087,,,,,
0,38,38.000000,agent_4,actor_logits,0,1,3,9.877197,-17.470289,7.894330,0.003315,0.999627,9.877197,1.982868,-17.470289,,,,,
0,38,38.000000,agent_5,actor_logits,0,1,3,10.149487,-17.530092,8.296090,0.002319,0.999751,10.149487,1.853397,-17.530092,,,,,
0,40,40.000000,agent_0,actor_logits,1,1,2,1.069709,-11.431063,12.500772,0.000050,0.999996,-11.431063,1.069709,,,,,,
0,40,40.000000,agent_1,actor_logits,1,1,3,2.146192,-4.827999,5.872688,0.026717,0.996263,-3.726496,2.146192,-4.827999,,,,,
0,40,40.000000,agent_2,actor_logits,1,1,2,1.055959,-11.412896,12.468856,0.000052,0.999996,-11.412896,1.055959,,,,,,
0,40,40.000000,agent_3,actor_logits,0,1,3,4.470748,-15.169965,1.278945,0.524020,0.782270,4.470748,3.191803,-15.169965,,,,,
0,40,40.000000,agent_4,actor_logits,0,1,3,4.480578,-15.148215,1.315969,0.515924,0.788510,4.480578,3.164609,-15.148215,,,,,
