episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7
0,0,0.000000,agent_0,actor_logits,0,1,2,-1.173608,-1.602466,0.428859,0.670675,0.605601,-1.173608,-1.602466,,,,,,
0,0,0.000000,agent_1,actor_logits,2,1,4,0.975081,-1.108557,0.804829,1.173225,0.513641,0.170253,-1.108557,0.975081,-0.005101,,,,
0,0,0.000000,agent_2,actor_logits,2,1,4,0.975081,-1.108557,0.804829,1.173225,0.513641,0.170253,-1.108557,0.975081,-0.005101,,,,
0,0,0.000000,agent_3,actor_logits,2,1,4,0.975081,-1.108557,0.804829,1.173225,0.513641,0.170253,-1.108557,0.975081,-0.005101,,,,
0,0,0.000000,agent_4,actor_logits,2,1,4,0.975081,-1.108557,0.804829,1.173225,0.513641,0.170253,-1.108557,0.975081,-0.005101,,,,
0,0,0.000000,agent_5,actor_logits,2,1,4,0.975081,-1.108557,0.804829,1.173225,0.513641,0.170253,-1.108557,0.975081,-0.005101,,,,
0,2,2.000000,agent_0,actor_logits,2,1,3,0.950579,-0.802134,1.732161,0.752168,0.740628,-0.781582,-0.802134,0.950579,,,,,
0,2,2.000000,agent_1,actor_logits,2,1,4,0.831369,-1.101641,0.350864,1.211703,0.441055,-0.039716,-1.101641,0.831369,0.480505,,,,
0,2,2.000000,agent_2,actor_logits,2,1,4,0.831369,-1.101641,0.350864,1.211703,0.441055,-0.039716,-1.101641,0.831369,0.480505,,,,
0,2,2.000000,agent_3,actor_logits,2,1,4,0.831369,-1.101641,0.350864,1.211703,0.441055,-0.039716,-1.101641,0.831369,0.480505,,,,
0,2,2.000000,agent_4,actor_logits,2,1,4,0.831369,-1.101641,0.350864,1.211703,0.441055,-0.039716,-1.101641,0.831369,0.480505,,,,
0,2,2.000000,agent_5,actor_logits,2,1,4,0.831369,-1.101641,0.350864,1.211703,0.441055,-0.039716,-1.101641,0.831369,0.480505,,,,
0,4,4.000000,agent_0,actor_logits,3,1,4,0.933621,-0.530315,0.478307,1.205219,0.478205,-0.530315,-0.493504,0.455314,0.933621,,,,
0,4,4.000000,agent_1,actor_logits,2,1,4,1.005542,-1.373966,0.597777,1.165350,0.486508,0.120837,-1.373966,1.005542,0.407765,,,,
0,4,4.000000,agent_2,actor_logits,2,1,4,1.005542,-1.373966,0.597777,1.165350,0.486508,0.120837,-1.373966,1.005542,0.407765,,,,
0,4,4.000000,agent_3,actor_logits,2,1,4,1.005542,-1.373966,0.597777,1.165350,0.486508,0.120837,-1.373966,1.005542,0.407765,,,,
0,4,4.000000,agent_4,actor_logits,3,1,4,1.068251,-1.266367,0.741326,1.167463,0.495974,0.253855,-1.266367,0.326924,1.068251,,,,
0,4,4.000000,agent_5,actor_logits,2,1,3,0.819877,-1.000070,1.611190,0.761520,0.734385,-1.000070,-0.791313,0.819877,,,,,
0,6,6.000000,agent_0,actor_logits,3,1,4,0.715570,-0.723048,0.368449,1.264790,0.423939,-0.723048,-0.128940,0.347120,0.715570,,,,
0,6,6.000000,agent_1,actor_logits,2,1,4,0.443805,-0.720998,0.176704,1.311745,0.358424,0.267101,-0.720998,0.443805,-0.002509,,,,
0,6,6.000000,agent_2,actor_logits,2,1,4,0.443805,-0.720998,0.176704,1.311745,0.358424,0.267101,-0.720998,0.443805,-0.002509,,,,
0,6,6.000000,agent_3,actor_logits,3,1,4,0.590764,-0.539264,0.166378,1.286632,0.386834,0.424386,-0.539264,-0.287903,0.590764,,,,
0,7,7.000000,agent_4,actor_logits,3,1,7,2.335199,-3.875537,1.525619,1.081154,0.660239,-1.867335,-0.268809,0.809580,2.335199,0.605623,-1.211647,-3.875537,
0,8,8.000000,agent_0,actor_logits,3,1,4,1.029147,-1.081717,0.593054,1.172767,0.495849,-1.081717,-0.040952,0.436093,1.029147,,,,
0,8,8.000000,agent_1,actor_logits,2,1,4,0.359688,-0.570721,0.153877,1.337494,0.331382,0.092974,-0.570721,0.359688,0.205811,,,,
0,8,8.000000,agent_2,actor_logits,0,1,4,0.417575,-0.316595,0.467287,1.344471,0.375092,0.417575,-0.049712,-0.163297,-0.316595,,,,
0,8,8.000000,agent_3,actor_logits,2,1,7,1.448264,-4.091112,0.356400,1.341917,0.439450,-1.314119,-0.639879,1.448264,1.091863,0.404788,-1.988578,-4.091112,
0,9,9.000000,agent_4,actor_logits,0,1,4,0.980892,-2.482586,0.628637,1.103917,0.489981,0.980892,0.239092,0.352255,-2.482586,,,,
0,10,10.000000,agent_0,actor_logits,3,1,4,1.228125,-0.969808,0.743456,1.096343,0.559016,-0.969808,-0.369593,0.484669,1.228125,,,,
0,10,10.000000,agent_1,actor_logits,0,1,4,0.736971,-1.036336,0.612641,1.218544,0.475950,0.736971,-0.206251,0.124330,-1.036336,,,,
0,10,10.000000,agent_2,actor_logits,0,1,4,0.762647,-1.177362,0.640550,1.203786,0.481552,0.762647,-0.138963,0.122096,-1.177362,,,,
0,10,10.000000,agent_5,actor_logits,3,1,7,2.481412,-3.794742,0.934354,1.158278,0.564066,-1.996685,-0.719372,1.244310,2.481412,1.547058,-0.848075,-3.794742,
0,11,11.000000,agent_3,actor_logits,1,1,4,1.619246,-1.991759,1.640076,0.810113,0.737642,-0.020830,1.619246,-0.385591,-1.991759,,,,
0,11,11.000000,agent_4,actor_logits,1,1,4,1.736879,-1.443620,1.644404,0.745857,0.769082,0.092476,1.736879,-0.987936,-1.443620,,,,
0,12,12.000000,agent_0,actor_logits,3,1,4,1.040383,-1.049156,0.925942,1.167091,0.523190,-1.049156,0.114441,0.102482,1.040383,,,,
0,12,12.000000,agent_1,actor_logits,0,1,3,1.644641,-1.903519,2.092257,0.454379,0.867916,1.644641,-0.447616,-1.903519,,,,,
0,12,12.000000,agent_2,actor_logits,0,1,3,1.751415,-1.827212,2.362129,0.402588,0.891160,1.751415,-0.610714,-1.827212,,,,,
0,12,12.000000,agent_5,actor_logits,2,1,4,1.354741,-1.370409,0.907286,0.930215,0.642151,-1.074411,0.447455,1.354741,-1.370409,,,,
0,13,13.000000,agent_3,actor_logits,1,1,4,1.559831,-2.100041,0.970285,0.939040,0.634865,0.589546,1.559831,-2.100041,-0.209620,,,,
0,13,13.000000,agent_4,actor_logits,1,1,4,1.592586,-2.344364,1.055534,0.965807,0.620901,0.537051,1.592586,-2.344364,0.178095,,,,
