episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,q_values,2,1,3,52.749279,50.442516,1.097858,0.775710,0.697755,50.442516,51.651421,52.749279,,,
0,0,0.000000,agent_1,q_values,3,1,5,41.484818,36.351761,4.444839,0.175785,0.969845,37.039978,36.351761,36.580692,41.484818,36.375271,
0,0,0.000000,agent_2,q_values,2,1,4,52.930328,50.541847,0.655155,1.069538,0.557385,50.541847,52.275173,52.930328,51.231842,,
0,0,0.000000,agent_3,q_values,1,1,2,55.499275,53.835457,1.663818,0.438424,0.840750,53.835457,55.499275,,,,
0,0,0.000000,agent_4,q_values,2,1,3,47.500832,44.397274,1.729256,0.565717,0.818126,44.397274,45.771576,47.500832,,,
0,0,0.000000,agent_5,q_values,2,1,3,49.010605,41.983932,5.747520,0.028548,0.995938,43.263084,41.983932,49.010605,,,
0,4,4.000000,agent_0,q_values,3,1,4,53.423592,49.787838,1.703308,0.664287,0.796851,50.355190,51.720284,49.787838,53.423592,,
0,4,4.000000,agent_3,q_values,2,1,3,56.168705,51.960312,3.605213,0.195287,0.959645,51.960312,52.563492,56.168705,,,
0,5,5.000000,agent_1,q_values,2,1,4,41.996094,34.619011,5.900642,0.041958,0.994075,36.042812,36.095451,41.996094,34.619011,,
0,5,5.000000,agent_2,q_values,2,1,3,54.098595,52.566879,1.189255,0.874962,0.657630,52.566879,52.909340,54.098595,,,
0,9,9.000000,agent_0,q_values,4,1,5,53.983280,49.641773,3.437897,0.397874,0.916232,49.641773,50.499390,49.822170,50.545383,53.983280,
0,12,12.000000,agent_4,q_values,1,1,3,49.784607,43.758484,1.388615,0.512908,0.798827,48.395992,49.784607,43.758484,,,
0,13,13.000000,agent_0,q_values,2,1,3,53.925728,49.523064,3.455719,0.199024,0.958029,49.523064,50.470009,53.925728,,,
0,13,13.000000,agent_2,q_values,1,1,4,55.116932,53.384510,0.935249,1.133120,0.565204,54.181683,55.116932,53.507141,53.384510,,
0,14,14.000000,agent_1,q_values,0,1,3,43.428391,37.276592,2.895718,0.219524,0.945726,43.428391,40.532673,37.276592,,,
0,14,14.000000,agent_3,q_values,1,1,3,58.175804,48.687714,4.558704,0.058464,0.989559,53.617100,58.175804,48.687714,,,
0,17,17.000000,agent_4,q_values,4,1,5,49.790398,46.405956,1.560261,0.948440,0.707516,46.405956,46.925976,48.230137,47.604717,49.790398,
0,18,18.000000,agent_1,q_values,2,1,3,43.304291,39.698807,3.084984,0.293181,0.932049,39.698807,40.219307,43.304291,,,
0,18,18.000000,agent_2,q_values,0,1,4,54.471619,47.926044,3.767666,0.214277,0.956470,54.471619,50.606918,47.926044,50.703953,,
0,18,18.000000,agent_5,q_values,0,1,4,53.435345,48.231800,1.597763,0.528298,0.820257,53.435345,51.837582,48.950939,48.231800,,
0,19,19.000000,agent_3,q_values,4,1,5,58.759960,52.483013,2.674809,0.300790,0.926520,53.541779,56.085152,52.980591,52.483013,58.759960,
0,21,21.000000,agent_0,q_values,1,1,3,55.470516,48.657810,0.688133,0.642830,0.665065,54.782383,55.470516,48.657810,,,
0,22,22.000000,agent_4,q_values,2,1,3,49.961201,46.812099,1.320747,0.642174,0.763460,46.812099,48.640453,49.961201,,,
0,23,23.000000,agent_2,q_values,3,1,4,55.770988,53.265106,1.595146,0.921746,0.700005,54.175842,53.833599,53.265106,55.770988,,
0,23,23.000000,agent_3,q_values,2,1,3,58.945538,52.804001,2.943222,0.212954,0.948005,52.804001,56.002316,58.945538,,,
0,23,23.000000,agent_5,q_values,1,1,5,53.294724,49.428131,2.183521,0.838581,0.765829,51.000713,53.294724,51.111202,50.654419,49.428131,
0,24,24.000000,agent_1,q_values,1,1,3,44.737774,40.154198,3.303768,0.206579,0.955144,41.434006,44.737774,40.154198,,,
0,25,25.000000,agent_0,q_values,1,1,2,55.488697,54.571259,0.917439,0.598055,0.714520,54.571259,55.488697,,,,
0,27,27.000000,agent_5,q_values,2,1,4,53.724907,50.737900,0.336346,1.130854,0.454432,50.737900,52.894184,53.724907,53.388561,,
0,28,28.000000,agent_4,q_values,1,1,3,51.690399,47.363708,1.500607,0.528975,0.808927,50.189793,51.690399,47.363708,,,
0,29,29.000000,agent_0,q_values,2,1,3,55.242893,50.687759,0.670200,0.676829,0.656979,54.572693,50.687759,55.242893,,,
0,29,29.000000,agent_1,q_values,1,1,4,44.880795,42.353687,1.546494,0.914551,0.701807,42.855915,44.880795,43.334301,42.353687,,
0,32,32.000000,agent_4,q_values,1,1,3,51.856369,47.447510,1.978600,0.424568,0.869239,49.877769,51.856369,47.447510,,,
0,32,32.000000,agent_5,q_values,2,1,3,52.898846,51.917049,0.357574,1.027406,0.482158,51.917049,52.541271,52.898846,,,
0,34,34.000000,agent_1,q_values,0,1,4,44.316544,39.385895,1.127632,0.743401,0.717714,44.316544,41.540607,39.385895,43.188911,,
0,34,34.000000,agent_3,q_values,0,1,3,60.256947,52.797104,2.818535,0.221258,0.943157,60.256947,57.438412,52.797104,,,
0,36,36.000000,agent_4,q_values,0,1,2,51.269817,49.348923,1.920895,0.382110,0.872238,51.269817,49.348923,,,,
0,37,37.000000,agent_5,q_values,3,1,4,53.774830,47.355656,2.220406,0.482575,0.865726,50.671631,51.554424,47.355656,53.774830,,
0,38,38.000000,agent_1,q_values,3,1,4,43.477974,41.822090,0.409950,1.203338,0.467035,41.822090,42.228165,43.068024,43.477974,,
0,38,38.000000,agent_2,q_values,1,1,4,59.322285,50.721161,2.555237,0.266332,0.927097,56.767048,59.322285,52.163372,50.721161,,
0,39,39.000000,agent_0,q_values,1,1,3,57.266731,54.469204,1.235142,0.693272,0.739779,54.469204,57.266731,56.031590,,,
0,39,39.000000,agent_3,q_values,1,1,2,60.409904,56.370770,4.039135,0.087368,0.982692,56.370770,60.409904,,,,
0,40,40.000000,agent_4,q_values,0,1,2,50.295162,48.394913,1.900249,0.386539,0.869920,50.295162,48.394913,,,,
0,42,42.000000,agent_1,q_values,2,1,3,43.279682,40.050270,2.371662,0.432984,0.882686,40.908020,40.050270,43.279682,,,
0,42,42.000000,agent_2,q_values,0,1,5,59.475060,52.461452,4.449253,0.134036,0.977368,59.475060,54.201321,52.461452,54.261948,55.025806,
