episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6
0,0,0.000000,agent_0,actor_logits,3,1,4,7.106168,-12.201126,11.124681,0.000193,0.999984,-12.201126,-4.018513,-6.759805,7.106168,,,
0,0,0.000000,agent_1,actor_logits,2,1,6,10.738821,-8.858022,7.695306,0.004415,0.999504,-8.858022,3.043515,10.738821,-7.934759,-5.888151,0.647439,
0,0,0.000000,agent_2,actor_logits,2,1,5,10.901523,-12.970417,9.339613,0.000919,0.999912,-12.970417,1.561909,10.901523,-5.849963,-3.393548,,
0,0,0.000000,agent_3,actor_logits,1,1,3,8.844281,-11.806046,10.886523,0.000222,0.999981,-11.806046,8.844281,-2.042242,,,,
0,0,0.000000,agent_4,actor_logits,1,1,4,8.116308,-15.254951,8.477997,0.001981,0.999791,-15.254951,8.116308,-0.361688,-6.152020,,,
0,0,0.000000,agent_5,actor_logits,2,1,4,7.569450,-12.550698,8.487200,0.001967,0.999793,-12.550698,-0.917750,7.569450,-6.490554,,,
0,1,3.263032,agent_1,actor_logits,1,1,5,9.482300,-8.969296,9.849304,0.000790,0.999929,-8.969296,9.482300,-1.431703,-8.027523,-0.367004,,
0,2,3.706093,agent_0,actor_logits,3,1,5,7.950227,-11.428024,8.691774,0.001756,0.999822,-11.428024,-0.741548,-5.370416,7.950227,-3.751929,,
0,3,3.732971,agent_5,actor_logits,1,1,5,8.665798,-8.282747,4.499750,0.060700,0.988994,-8.282747,8.665798,-4.949407,-2.431684,4.166049,,
0,4,3.778569,agent_3,actor_logits,1,1,4,6.695018,-13.685854,9.391914,0.000867,0.999917,-13.685854,6.695018,-2.696897,-10.459405,,,
0,5,4.270916,agent_2,actor_logits,1,1,5,8.769182,-9.046321,8.444737,0.003045,0.999687,-9.046321,8.769182,-4.582926,-0.473173,0.324444,,
0,6,5.236471,agent_4,actor_logits,2,1,4,10.334779,-13.863752,10.025471,0.000488,0.999956,-13.863752,0.309308,10.334779,-6.886157,,,
0,7,7.013782,agent_0,actor_logits,4,1,5,7.760577,-13.242983,7.054142,0.008255,0.999006,-13.242983,-6.729556,-1.184209,0.706435,7.760577,,
0,8,7.151388,agent_1,actor_logits,5,1,6,9.392508,-10.740156,8.723029,0.004512,0.999551,-10.740156,-0.116962,0.669478,0.383247,0.076760,9.392508,
0,9,7.402406,agent_3,actor_logits,2,1,3,7.321237,-12.911923,13.834054,0.000015,0.999999,-12.911923,-6.512817,7.321237,,,,
0,10,8.491394,agent_2,actor_logits,3,1,5,7.627433,-13.649652,7.233272,0.008465,0.999013,-13.649652,-3.220120,0.394161,7.627433,-0.679542,,
0,11,8.654893,agent_5,actor_logits,4,1,5,11.238703,-10.673423,7.997376,0.003036,0.999663,-10.673423,-3.526221,-3.752085,3.241326,11.238703,,
0,12,9.574377,agent_0,actor_logits,2,1,5,9.104266,-15.970943,10.087190,0.000556,0.999951,-15.970943,-2.856220,9.104266,-4.942182,-0.982923,,
0,13,10.241827,agent_4,actor_logits,2,1,4,6.973750,-16.615778,9.059888,0.001666,0.999839,-16.615778,-2.086138,6.973750,-3.031039,,,
0,14,10.539768,agent_1,actor_logits,2,1,4,7.597078,-16.865480,8.730531,0.002995,0.999694,-16.865480,-1.133453,7.597078,-1.243759,,,
0,15,11.522314,agent_3,actor_logits,2,1,4,4.089795,-11.221006,8.832086,0.002026,0.999800,-11.221006,-5.731367,4.089795,-4.742290,,,
0,16,12.660320,agent_5,actor_logits,3,1,4,6.872075,-13.503424,8.947395,0.001883,0.999816,-13.503424,-2.945455,-2.075321,6.872075,,,
0,17,13.244299,agent_0,actor_logits,5,1,6,12.400043,-11.846293,10.923707,0.000314,0.999974,-11.846293,0.480720,-2.857774,-1.956882,1.476335,12.400043,
0,18,13.536336,agent_2,actor_logits,3,1,4,2.342082,-12.127131,1.092267,0.754372,0.704705,-12.127131,-0.139900,1.249815,2.342082,,,
0,19,14.363659,agent_1,actor_logits,3,1,5,7.978868,-12.175783,9.071637,0.002124,0.999795,-12.175783,-3.235204,-1.497839,7.978868,-1.092769,,
0,20,15.551257,agent_4,actor_logits,1,1,3,5.131995,-12.553856,10.440563,0.000335,0.999971,-12.553856,5.131995,-5.308569,,,,
0,21,15.766969,agent_3,actor_logits,1,1,3,3.507438,-13.242663,10.944145,0.000212,0.999982,-13.242663,3.507438,-7.436707,,,,
0,22,16.734653,agent_0,actor_logits,1,1,4,6.361631,-16.848749,8.798952,0.001480,0.999849,-16.848749,6.361631,-2.437322,-10.240061,,,
0,23,19.441166,agent_3,actor_logits,1,1,4,4.559902,-13.487122,8.174647,0.002750,0.999705,-13.487122,4.559902,-6.642531,-3.614745,,,
0,24,20.049393,agent_0,actor_logits,1,1,5,7.613256,-13.257300,7.144168,0.006686,0.999189,-13.257300,7.613256,-5.925720,0.469088,-3.179421,,
0,25,20.387852,agent_4,actor_logits,1,1,3,5.221821,-11.575722,7.987613,0.003052,0.999660,-11.575722,5.221821,-2.765792,,,,
0,26,20.912314,agent_1,actor_logits,3,1,4,7.073694,-12.456997,10.492698,0.000361,0.999969,-12.456997,-5.615817,-3.419004,7.073694,,,
0,27,20.985103,agent_2,actor_logits,1,1,5,2.891353,-8.202544,0.806874,0.749624,0.671468,-8.202544,2.891353,-0.676501,-1.322361,2.084479,,
0,28,23.719161,agent_3,actor_logits,2,1,3,2.257426,-11.645636,13.232357,0.000039,0.999997,-11.645636,-10.974932,2.257426,,,,
0,29,25.153119,agent_0,actor_logits,3,1,4,10.030031,-13.715954,13.241567,0.000027,0.999998,-13.715954,-6.218105,-3.211535,10.030031,,,
0,30,25.694980,agent_4,actor_logits,2,1,4,9.840176,-12.567700,10.653256,0.000285,0.999976,-12.567700,-4.396493,9.840176,-0.813081,,,
0,31,26.021331,agent_2,actor_logits,2,1,5,4.422538,-9.386798,0.850191,0.628180,0.698761,-9.386798,-3.002483,4.422538,-1.330054,3.572347,,
0,32,26.142046,agent_1,actor_logits,2,1,5,7.859247,-8.890125,8.252626,0.003667,0.999614,-8.890125,-0.393379,7.859247,-7.563268,-1.123903,,
0,33,28.097654,agent_3,actor_logits,3,1,4,9.305560,-10.234757,12.769418,0.000039,0.999997,-10.234757,-9.813366,-3.463858,9.305560,,,
0,34,28.671080,agent_0,actor_logits,3,1,5,9.247669,-11.824874,10.018310,0.000519,0.999954,-11.824874,-5.037331,-4.364221,9.247669,-0.770640,,
0,35,29.833063,agent_1,actor_logits,1,1,5,6.970377,-9.834571,8.858661,0.001906,0.999815,-9.834571,6.970377,-1.888284,-3.658097,-3.916348,,
0,36,30.364544,agent_5,actor_logits,3,1,5,11.730213,-12.587034,10.069929,0.000473,0.999957,-12.587034,1.660285,-8.301544,11.730213,-3.399482,,
0,37,30.747020,agent_4,actor_logits,3,1,4,8.854305,-15.243068,10.394381,0.000361,0.999969,-15.243068,-5.193439,-1.540075,8.854305,,,
0,38,30.788095,agent_2,actor_logits,1,1,5,6.047962,-10.106982,4.139734,0.091908,0.982851,-10.106982,6.047962,-4.773108,-0.453457,1.908228,,
0,39,32.332411,agent_0,actor_logits,4,1,5,8.536109,-13.208998,9.711075,0.000778,0.999930,-13.208998,-3.653059,-1.174966,-3.736453,8.536109,,
0,40,33.586133,agent_1,actor_logits,5,1,6,14.255071,-9.816557,10.867537,0.000243,0.999980,-9.816557,0.249092,-1.893008,-1.611620,3.387533,14.255071,
0,41,34.923132,agent_0,actor_logits,2,1,5,9.405839,-15.306700,11.093548,0.000320,0.999974,-15.306700,-5.844782,9.405839,-2.043482,-1.687708,,
0,42,35.071854,agent_2,actor_logits,3,1,5,11.081547,-13.210524,10.545985,0.000308,0.999973,-13.210524,0.535561,-4.473173,11.081547,-5.252403,,
0,43,36.998997,agent_1,actor_logits,3,1,4,7.374710,-16.281092,9.363074,0.001228,0.999884,-16.281092,-1.988364,-3.050709,7.374710,,,
0,44,37.808118,agent_3,actor_logits,1,1,4,13.180655,-17.206003,18.393524,0.000000,1.000000,-17.206003,13.180655,-5.212870,-7.369912,,,
0,45,38.240961,agent_0,actor_logits,5,1,6,16.598171,-11.821508,16.034822,0.000003,1.000000,-11.821508,-1.094482,-1.660827,-2.136163,0.563349,16.598171,
0,46,38.547028,agent_5,actor_logits,1,1,4,8.106125,-15.113811,10.608269,0.000480,0.999959,-15.113811,8.106125,-2.935188,-2.502144,,,
0,47,39.849828,agent_2,actor_logits,3,1,4,6.404388,-11.803751,10.869851,0.000410,0.999966,-11.803751,-4.686434,-4.465463,6.404388,,,
0,48,41.318922,agent_4,actor_logits,1,1,4,10.057093,-18.835146,9.717694,0.000654,0.999939,-18.835146,10.057093,0.339399,-4.275884,,,
0,49,41.752899,agent_0,actor_logits,1,1,4,5.001688,-16.951675,8.223471,0.002549,0.999726,-16.951675,5.001688,-3.221782,-7.068989,,,
0,50,41.936065,agent_3,actor_logits,3,1,5,9.195289,-14.896014,10.886058,0.000290,0.999976,-14.896014,-1.690769,-3.096823,9.195289,-5.442629,,
0,51,42.314634,agent_5,actor_logits,1,1,4,10.197144,-17.490862,13.000549,0.000048,0.999997,-17.490862,10.197144,-2.803406,-3.519655,,,
0,52,45.239350,agent_4,actor_logits,2,1,5,10.194202,-14.061340,10.367975,0.000564,0.999951,-14.061340,-6.534362,10.194202,-0.778368,-0.173772,,
0,53,45.465200,agent_0,actor_logits,1,1,5,7.993350,-13.532955,5.972337,0.017806,0.997452,-13.532955,7.993350,-7.503220,2.021012,-4.041114,,
0,54,45.620312,agent_3,actor_logits,4,1,5,9.113275,-14.369153,10.487165,0.000481,0.999959,-14.369153,-3.984483,-1.373890,-2.342587,9.113275,,
0,55,46.051545,agent_5,actor_logits,2,1,3,8.283709,-15.116089,22.273232,0.000000,1.000000,-15.116089,-13.989524,8.283709,,,,
0,56,47.476992,agent_2,actor_logits,4,1,5,13.701397,-9.197565,13.624902,0.000021,0.999999,-9.197565,0.076495,-5.678555,-1.724218,13.701397,,
0,57,48.482737,agent_1,actor_logits,1,1,4,6.906297,-18.891325,9.507797,0.001115,0.999896,-18.891325,6.906297,-3.532355,-2.601500,,,
0,58,49.010127,agent_4,actor_logits,4,1,5,16.689085,-13.959253,13.698792,0.000016,0.999999,-13.959253,-8.535239,-4.763943,2.990294,16.689085,,
0,59,49.138937,agent_3,actor_logits,5,1,6,13.593733,-14.749601,12.544561,0.000100,0.999993,-14.749601,1.049171,1.013995,-2.008391,-2.114039,13.593733,
0,61,50.128603,agent_0,actor_logits,3,1,4,9.368143,-14.713614,12.815666,0.000057,0.999996,-14.713614,-3.447523,-4.179655,9.368143,,,
0,62,50.443164,agent_5,actor_logits,2,1,3,-1.418596,-14.379555,11.875303,0.000122,0.999991,-14.379555,-13.293899,-1.418596,,,,
0,63,51.183499,agent_2,actor_logits,1,1,4,9.278828,-10.087693,12.125005,0.000134,0.999990,-10.087693,9.278828,-2.846177,-2.974720,,,
0,64,52.748805,agent_4,actor_logits,3,1,4,6.521228,-14.470760,9.456749,0.000885,0.999917,-14.470760,-5.654355,-2.935521,6.521228,,,
0,65,52.991723,agent_3,actor_logits,1,1,4,9.933656,-19.721693,11.732850,0.000125,0.999990,-19.721693,9.933656,-3.396161,-1.799194,,,
0,66,53.539687,agent_1,actor_logits,1,1,4,9.482998,-19.979820,10.665591,0.000272,0.999977,-19.979820,9.482998,-1.182593,-9.520856,,,
0,67,53.933180,agent_0,actor_logits,3,1,5,8.732149,-12.613848,10.373988,0.000658,0.999943,-12.613848,-1.641839,-6.862391,8.732149,-1.825959,,
0,68,54.226402,agent_5,actor_logits,3,1,4,10.496864,-13.939663,13.189594,0.000027,0.999998,-13.939663,-2.692730,-7.483173,10.496864,,,
0,69,55.029113,agent_2,actor_logits,2,1,5,8.243485,-8.199609,8.558836,0.002342,0.999763,-8.199609,-1.797686,8.243485,-0.315351,-4.932265,,
0,70,57.037285,agent_3,actor_logits,1,1,5,10.827419,-16.535187,12.416767,0.000067,0.999995,-16.535187,10.827419,-1.589347,-3.445266,-4.801540,,
0,71,57.564258,agent_4,actor_logits,4,1,5,11.479327,-14.149258,11.720098,0.000123,0.999991,-14.149258,-0.240771,-2.170273,-4.226259,11.479327,,
0,72,57.858118,agent_0,actor_logits,4,1,5,9.008595,-13.935967,9.636579,0.000766,0.999930,-13.935967,-0.627983,-4.514176,-3.453685,9.008595,,
0,73,58.250670,agent_1,actor_logits,2,1,3,11.499891,-18.041843,18.174717,0.000000,1.000000,-18.041843,-6.674826,11.499891,,,,
0,74,59.335492,agent_2,actor_logits,1,1,5,4.996896,-9.345603,4.552347,0.107451,0.981181,-9.345603,4.996896,-3.327329,0.444549,0.216757,,
0,75,60.921049,agent_0,actor_logits,4,1,5,11.573706,-15.296776,10.320510,0.000449,0.999961,-15.296776,-8.361133,1.253196,-0.484530,11.573706,,
0,76,61.718340,agent_4,actor_logits,1,1,4,12.855589,-17.345552,13.248034,0.000025,0.999998,-17.345552,12.855589,-0.392446,-8.312140,,,
0,77,63.209521,agent_1,actor_logits,2,1,3,3.497050,-16.951900,10.200842,0.000416,0.999963,-16.951900,-6.703793,3.497050,,,,
0,78,63.223811,agent_3,actor_logits,1,1,4,5.890542,-15.633982,9.205817,0.001151,0.999889,-15.633982,5.890542,-5.618829,-3.315275,,,
0,79,63.597331,agent_2,actor_logits,3,1,5,12.853516,-12.798851,15.530432,0.000006,1.000000,-12.798851,-2.959839,-2.676916,12.853516,-3.929763,,
0,80,63.903864,agent_5,actor_logits,2,1,5,11.388132,-11.746126,10.351529,0.000365,0.999968,-11.746126,1.036603,11.388132,-6.064378,-4.491358,,
0,81,66.013053,agent_4,actor_logits,4,1,6,14.223203,-12.395114,14.824352,0.000016,0.999999,-12.395114,-0.679566,-0.601149,-5.309169,14.223203,-0.770964,
0,82,67.972263,agent_1,actor_logits,3,1,4,11.302665,-17.529446,16.426210,0.000002,1.000000,-17.529446,-5.123546,-6.221437,11.302665,,,
0,83,68.061143,agent_5,actor_logits,2,1,5,9.101578,-10.313604,8.159551,0.003390,0.999641,-8.805126,0.942027,9.101578,-0.419170,-10.313604,,
0,84,68.308397,agent_3,actor_logits,4,1,5,13.117993,-14.198419,12.155056,0.000070,0.999995,-14.198419,-6.607055,-3.571047,0.962938,13.117993,,
0,85,68.995154,agent_2,actor_logits,3,1,4,5.092659,-11.369499,6.837311,0.010767,0.998673,-11.369499,-3.179083,-1.744651,5.092659,,,
0,86,70.017529,agent_4,actor_logits,3,1,4,10.654327,-17.417927,12.254223,0.000064,0.999995,-17.417927,-1.599895,-6.747317,10.654327,,,
0,87,71.534831,agent_0,actor_logits,2,1,4,8.982825,-14.077522,7.907539,0.003324,0.999629,-14.077522,1.075286,8.982825,-3.582198,,,
0,88,71.673564,agent_5,actor_logits,1,1,5,7.578269,-10.241961,7.692887,0.005898,0.999341,-10.241961,7.578269,-0.922244,-0.114618,-7.358729,,
0,89,72.203913,agent_3,actor_logits,3,1,4,9.074116,-15.784674,12.828113,0.000038,0.999997,-15.784674,-8.412145,-3.753997,9.074116,,,
0,90,75.489736,agent_5,actor_logits,1,1,6,9.205993,-10.444487,9.642579,0.001036,0.999908,-10.444487,9.205993,-2.384608,-2.359325,-2.448590,-0.436586,
0,91,76.270540,agent_2,actor_logits,4,1,5,8.262418,-6.660463,8.344873,0.003313,0.999662,-6.660463,-0.082456,-1.371501,-2.003394,8.262418,,
0,92,76.662277,agent_0,actor_logits,2,1,4,8.873779,-16.758463,11.279146,0.000164,0.999987,-16.758463,-2.405367,8.873779,-5.460799,,,
0,93,79.790725,agent_2,actor_logits,1,1,4,10.542164,-9.504894,12.756350,0.000070,0.999995,-9.504894,10.542164,-2.214185,-2.516631,,,
0,94,80.053264,agent_5,actor_logits,3,1,5,9.638655,-12.820780,2.209584,0.322647,0.901107,-12.820780,-7.631491,-5.980594,9.638655,7.429071,,
0,95,80.265131,agent_1,actor_logits,1,1,4,12.484420,-16.168329,10.987200,0.000203,0.999983,-16.168329,12.484420,-7.608586,1.497220,,,
0,96,80.325018,agent_4,actor_logits,2,1,4,9.370008,-16.590395,12.007313,0.000088,0.999993,-16.590395,-2.637304,9.370008,-4.966131,,,
0,97,81.118324,agent_3,actor_logits,2,1,4,9.323997,-11.843939,10.945241,0.000211,0.999982,-11.843939,-1.621244,9.323997,-10.932190,,,
0,98,82.158398,agent_0,actor_logits,1,1,3,5.380083,-11.438647,14.773409,0.000007,1.000000,-11.438647,5.380083,-9.393326,,,,
0,99,84.058070,agent_2,actor_logits,2,1,5,5.025594,-8.065513,4.091541,0.107335,0.980078,-8.065513,-0.612112,5.025594,0.934052,-4.872303,,
0,100,84.130844,agent_1,actor_logits,4,1,6,10.397212,-10.307261,8.062937,0.003500,0.999628,-10.307261,-5.974202,0.386930,2.334275,10.397212,-0.913833,
0,101,84.836499,agent_4,actor_logits,1,1,3,5.359884,-12.094107,13.481184,0.000021,0.999999,-12.094107,5.359884,-8.121300,,,,
0,102,85.294901,agent_3,actor_logits,1,1,3,14.832288,-14.656883,27.736300,0.000000,1.000000,-12.904012,14.832288,-14.656883,,,,
0,103,86.618558,agent_5,actor_logits,3,1,4,9.195467,-11.083110,9.276037,0.000963,0.999906,-11.083110,-7.889600,-0.080570,9.195467,,,
0,104,87.340108,agent_0,actor_logits,1,1,3,4.080370,-13.645855,14.867722,0.000006,1.000000,-10.787352,4.080370,-13.645855,,,,
0,105,88.175629,agent_1,actor_logits,3,1,5,10.542931,-10.276575,10.825856,0.000251,0.999979,-10.276575,-3.446865,-0.282925,10.542931,-4.814945,,
0,106,88.563274,agent_2,actor_logits,1,1,5,8.497908,-9.442554,7.320573,0.005738,0.999319,-9.442554,8.497908,-5.787342,1.177335,-2.375229,,
0,107,88.984143,agent_3,actor_logits,1,1,4,9.252227,-13.317635,10.316238,0.000375,0.999967,-13.317635,9.252227,-9.625282,-1.064012,,,
0,108,89.977461,agent_4,actor_logits,1,1,3,2.427061,-10.578538,11.488681,0.000159,0.999987,-10.578538,2.427061,-9.061620,,,,
0,109,91.553323,agent_5,actor_logits,2,1,5,10.594442,-7.734606,13.757083,0.000026,0.999998,-7.734606,-3.904887,10.594442,-3.162640,-5.364944,,
0,110,92.293832,agent_0,actor_logits,3,1,4,7.049794,-11.359354,6.880441,0.008839,0.998903,-11.359354,-2.503533,0.169353,7.049794,,,
0,111,92.794854,agent_3,actor_logits,2,1,3,0.698000,-13.494251,11.212923,0.000175,0.999986,-10.514923,-13.494251,0.698000,,,,
