episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,1,1,3,0.048273,-0.014868,0.003979,1.098201,0.340734,-0.014868,0.048273,0.044294,,,
0,0,0.000000,agent_1,actor_logits,2,1,5,0.081222,-0.241228,0.005728,1.602638,0.213872,0.062814,0.075494,0.081222,-0.241228,0.056188,
0,0,0.000000,agent_2,actor_logits,1,1,4,0.089785,-0.240775,0.024105,1.378467,0.277623,-0.007493,0.089785,0.065681,-0.240775,,
0,0,0.000000,agent_3,actor_logits,1,1,2,-0.003892,-0.108517,0.104626,0.691781,0.526133,-0.108517,-0.003892,,,,
0,0,0.000000,agent_4,actor_logits,1,1,3,0.048273,-0.014868,0.003979,1.098201,0.340734,-0.014868,0.048273,0.044294,,,
0,0,0.000000,agent_5,actor_logits,1,1,3,0.048273,-0.014868,0.003979,1.098201,0.340734,-0.014868,0.048273,0.044294,,,
0,4,4.000000,agent_3,actor_logits,1,1,3,0.027794,-0.076425,0.040435,1.097700,0.349479,-0.012640,0.027794,-0.076425,,,
0,4,4.000000,agent_5,actor_logits,1,1,4,0.048991,-0.087536,0.071615,1.385097,0.268645,-0.022625,0.048991,-0.035362,-0.087536,,
0,5,5.000000,agent_2,actor_logits,1,1,4,0.065620,-0.244794,0.076981,1.380111,0.281664,-0.049481,0.065620,-0.011361,-0.244794,,
0,5,5.000000,agent_4,actor_logits,1,1,2,0.119383,-0.023506,0.142888,0.690602,0.535661,-0.023506,0.119383,,,,
0,6,6.000000,agent_0,actor_logits,2,1,4,0.037938,-0.101434,0.031763,1.384519,0.268765,-0.087530,0.006175,0.037938,-0.101434,,
0,6,6.000000,agent_1,actor_logits,2,1,4,0.021574,-0.141187,0.011640,1.384210,0.266216,-0.063848,0.009934,0.021574,-0.141187,,
0,8,8.000000,agent_3,actor_logits,1,1,2,-0.120210,-0.122866,0.002656,0.693146,0.500664,-0.122866,-0.120210,,,,
0,9,9.000000,agent_5,actor_logits,1,1,4,0.047956,-0.213747,0.067927,1.381881,0.276803,-0.047881,0.047956,-0.019971,-0.213747,,
0,10,10.000000,agent_0,actor_logits,1,1,4,0.045867,-0.122912,0.060457,1.384437,0.270759,-0.051430,0.045867,-0.122912,-0.014590,,
0,10,10.000000,agent_2,actor_logits,3,1,4,0.056273,-0.133078,0.060674,1.383696,0.274608,-0.004400,-0.079625,-0.133078,0.056273,,
0,10,10.000000,agent_4,actor_logits,2,1,3,-0.017831,-0.108504,0.039145,1.097926,0.347835,-0.056976,-0.108504,-0.017831,,,
0,11,11.000000,agent_1,actor_logits,1,1,3,0.009625,-0.125471,0.005239,1.096720,0.348626,0.004386,0.009625,-0.125471,,,
0,12,12.000000,agent_3,actor_logits,2,1,3,-0.003486,-0.097623,0.029024,1.097847,0.347035,-0.032510,-0.097623,-0.003486,,,
0,14,14.000000,agent_5,actor_logits,3,1,4,0.102263,-0.108965,0.100208,1.382596,0.282881,0.002054,-0.095199,-0.108965,0.102263,,
0,15,15.000000,agent_0,actor_logits,1,1,4,-0.023647,-0.053197,0.000475,1.386208,0.253294,-0.024123,-0.023647,-0.046329,-0.053197,,
0,15,15.000000,agent_2,actor_logits,2,1,3,0.258693,-0.263475,0.521390,1.065687,0.457262,-0.262697,-0.263475,0.258693,,,
0,16,16.000000,agent_1,actor_logits,1,1,4,0.021644,-0.218965,0.028705,1.382039,0.268717,-0.007061,0.021644,-0.015503,-0.218965,,
0,19,19.000000,agent_5,actor_logits,2,1,3,0.224898,-0.257250,0.367908,1.076246,0.432968,-0.257250,-0.143009,0.224898,,,
0,21,21.000000,agent_0,actor_logits,4,1,5,0.403243,-0.111393,0.422495,1.590016,0.281248,-0.019610,-0.019252,-0.031737,-0.111393,0.403243,
0,21,21.000000,agent_1,actor_logits,0,1,4,-0.012377,-0.092239,0.026525,1.385884,0.258745,-0.012377,-0.045173,-0.092239,-0.038902,,
0,22,22.000000,agent_3,actor_logits,1,1,3,0.249988,-0.470640,0.041517,1.053976,0.408868,0.208472,0.249988,-0.470640,,,
0,22,22.000000,agent_4,actor_logits,1,1,3,0.258263,-0.369706,0.106737,1.066108,0.411110,0.151526,0.258263,-0.369706,,,
0,25,25.000000,agent_0,actor_logits,2,1,3,0.009523,-0.180430,0.116084,1.095521,0.367999,-0.180430,-0.106561,0.009523,,,
0,26,26.000000,agent_1,actor_logits,4,1,5,0.442404,-0.115632,0.431336,1.586638,0.287945,-0.014511,0.011067,-0.115632,-0.039375,0.442404,
0,27,27.000000,agent_3,actor_logits,4,1,5,0.225094,-0.233336,0.113816,1.598379,0.242460,0.020280,0.111278,-0.017099,-0.233336,0.225094,
0,27,27.000000,agent_4,actor_logits,4,1,5,0.199426,-0.242373,0.079393,1.599037,0.237049,0.019679,0.120033,-0.003302,-0.242373,0.199426,
0,30,30.000000,agent_1,actor_logits,2,1,3,0.213437,-0.211584,0.418944,1.077315,0.432620,-0.211584,-0.205507,0.213437,,,
0,31,31.000000,agent_3,actor_logits,0,1,3,-0.017429,-0.116407,0.058649,1.097782,0.351025,-0.017429,-0.076079,-0.116407,,,
0,32,32.000000,agent_4,actor_logits,1,1,3,0.057547,-0.222989,0.109287,1.092114,0.377095,-0.222989,0.057547,-0.051740,,,
0,33,33.000000,agent_0,actor_logits,0,1,3,0.162941,-0.393029,0.188964,1.073949,0.416436,0.162941,-0.026023,-0.393029,,,
0,33,33.000000,agent_2,actor_logits,1,1,4,0.360969,-0.590871,0.202909,1.334671,0.346535,0.158061,0.360969,-0.019807,-0.590871,,
0,36,36.000000,agent_3,actor_logits,2,1,4,0.017330,-0.186212,0.031266,1.383317,0.266837,-0.013936,-0.020841,0.017330,-0.186212,,
0,37,37.000000,agent_0,actor_logits,0,1,2,-0.410349,-0.440374,0.030025,0.693035,0.507506,-0.410349,-0.440374,,,,
0,37,37.000000,agent_4,actor_logits,1,1,4,0.082090,-0.155727,0.065033,1.380957,0.284025,-0.146780,0.082090,0.017058,-0.155727,,
0,37,37.000000,agent_5,actor_logits,1,1,4,0.237205,-0.426861,0.199635,1.360465,0.318455,0.037570,0.237205,0.022004,-0.426861,,
0,38,38.000000,agent_2,actor_logits,1,1,4,0.072458,-0.334486,0.058375,1.375278,0.286385,-0.052170,0.072458,0.014083,-0.334486,,
0,41,41.000000,agent_0,actor_logits,0,1,3,-0.109395,-0.140643,0.008928,1.098526,0.337798,-0.109395,-0.140643,-0.118323,,,
0,41,41.000000,agent_3,actor_logits,1,1,4,0.030837,-0.136656,0.029961,1.383697,0.271718,0.000875,0.030837,-0.115327,-0.136656,,
0,42,42.000000,agent_1,actor_logits,0,1,3,0.255019,-0.545765,0.101263,1.047267,0.425049,0.255019,0.153757,-0.545765,,,
0,42,42.000000,agent_2,actor_logits,1,1,4,0.069395,-0.316532,0.107181,1.376974,0.288890,-0.054642,0.069395,-0.037786,-0.316532,,
