episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7
0,0,0.000000,agent_0,actor_logits,1,1,2,0.008287,-0.739289,0.747575,0.627883,0.678650,-0.739289,0.008287,,,,,,
0,0,0.000000,agent_1,actor_logits,0,1,5,0.384120,-0.258326,0.228193,1.576592,0.288583,0.384120,-0.114900,0.155927,-0.258326,-0.239299,,,
0,0,0.000000,agent_2,actor_logits,0,1,7,0.147149,-0.287878,0.023370,1.936370,0.167387,0.147149,0.123778,0.039055,-0.088648,-0.287878,0.038614,-0.120187,
0,0,0.000000,agent_3,actor_logits,0,1,4,0.462347,-0.200471,0.261708,1.354322,0.346132,0.462347,-0.041938,0.200640,-0.200471,,,,
0,0,0.000000,agent_4,actor_logits,3,1,4,0.125238,-0.339140,0.008489,1.370666,0.282785,-0.339140,0.037696,0.116749,0.125238,,,,
0,0,0.000000,agent_5,actor_logits,3,1,5,0.125238,-0.339140,0.008489,1.596930,0.226317,-0.339140,0.037696,0.116749,0.125238,0.000044,,,
0,1,2.000000,agent_3,actor_logits,3,1,5,0.125238,-0.339140,0.008489,1.596930,0.226317,-0.339140,0.037696,0.116749,0.125238,0.000044,,,
0,2,3.000000,agent_4,actor_logits,3,1,5,0.125238,-0.339140,0.008489,1.596930,0.226317,-0.339140,0.037696,0.116749,0.125238,0.000044,,,
0,2,3.000000,agent_5,actor_logits,5,1,6,0.175236,-0.339140,0.049998,1.779398,0.192194,-0.339140,0.037696,0.116749,0.125238,0.000044,0.175236,,
0,3,4.000000,agent_3,actor_logits,3,1,4,0.125238,-0.339140,0.008489,1.370666,0.282785,-0.339140,0.037696,0.116749,0.125238,,,,
0,4,5.656854,agent_1,actor_logits,5,1,6,0.279256,-0.179869,0.078686,1.777192,0.211448,0.200570,-0.179869,0.057988,-0.062680,-0.134387,0.279256,,
0,5,6.000000,agent_5,actor_logits,3,1,5,0.125238,-0.339140,0.008489,1.596930,0.226317,-0.339140,0.037696,0.116749,0.125238,0.000044,,,
0,6,6.082763,agent_2,actor_logits,5,1,6,0.175236,-0.339140,0.049998,1.779398,0.192194,-0.339140,0.037696,0.116749,0.125238,0.000044,0.175236,,
0,7,8.472136,agent_3,actor_logits,3,1,4,0.125238,-0.339140,0.008489,1.370666,0.282785,-0.339140,0.037696,0.116749,0.125238,,,,
0,8,9.000000,agent_0,actor_logits,2,1,4,0.665964,-2.086063,0.270969,1.178193,0.390105,-2.086063,0.360766,0.665964,0.394995,,,,
0,8,9.000000,agent_4,actor_logits,3,1,5,0.125238,-0.339140,0.008489,1.596930,0.226317,-0.339140,0.037696,0.116749,0.125238,0.000044,,,
0,8,9.000000,agent_5,actor_logits,5,1,6,0.175236,-0.339140,0.049998,1.779398,0.192194,-0.339140,0.037696,0.116749,0.125238,0.000044,0.175236,,
0,9,12.000000,agent_5,actor_logits,3,1,5,0.125238,-0.339140,0.008489,1.596930,0.226317,-0.339140,0.037696,0.116749,0.125238,0.000044,,,
0,10,12.165525,agent_2,actor_logits,3,1,7,0.208152,-0.367803,0.070816,1.929565,0.176747,0.137336,-0.013844,-0.063056,0.208152,-0.181377,0.128299,-0.367803,
0,11,14.200858,agent_1,actor_logits,0,1,5,0.485864,-0.417117,0.269159,1.550649,0.313052,0.485864,-0.033029,0.216705,-0.358585,-0.417117,,,
0,12,15.000000,agent_4,actor_logits,3,1,4,0.125238,-0.339140,0.008489,1.370666,0.282785,-0.339140,0.037696,0.116749,0.125238,,,,
0,12,15.000000,agent_5,actor_logits,5,1,6,0.175236,-0.339140,0.049998,1.779398,0.192194,-0.339140,0.037696,0.116749,0.125238,0.000044,0.175236,,
0,13,17.416408,agent_3,actor_logits,3,1,4,0.125238,-0.339140,0.008489,1.370666,0.282785,-0.339140,0.037696,0.116749,0.125238,,,,
0,14,18.000000,agent_5,actor_logits,3,1,5,0.125238,-0.339140,0.008489,1.596930,0.226317,-0.339140,0.037696,0.116749,0.125238,0.000044,,,
0,15,20.031810,agent_1,actor_logits,6,1,7,0.315646,-0.393859,0.037198,1.922967,0.181771,-0.393859,0.138032,-0.016840,0.133592,-0.102764,0.278448,0.315646,
0,16,21.000000,agent_5,actor_logits,5,1,6,0.175236,-0.339140,0.049998,1.779398,0.192194,-0.339140,0.037696,0.116749,0.125238,0.000044,0.175236,,
0,17,22.000000,agent_0,actor_logits,6,1,7,0.408155,-0.337271,0.002680,1.915493,0.193497,-0.337271,0.009420,0.049985,0.103869,-0.122168,0.405475,0.408155,
0,18,24.000000,agent_5,actor_logits,3,1,5,0.125238,-0.339140,0.008489,1.596930,0.226317,-0.339140,0.037696,0.116749,0.125238,0.000044,,,
