episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7,logit_a8
0,0,0.000000,agent_0,actor_logits,1,1,3,0.699234,-7.670388,6.171217,0.017113,0.997685,-7.670388,0.699234,-5.471983,,,,,,
0,0,0.000000,agent_1,actor_logits,1,1,4,7.078139,-14.253009,6.938641,0.008459,0.998958,-14.253009,7.078139,-2.443577,0.139498,,,,,
0,0,0.000000,agent_2,actor_logits,4,1,6,9.409029,-9.689850,7.512168,0.005171,0.999409,-9.689850,-2.377701,-0.790572,1.896861,9.409029,-4.883604,,,
0,1,3.000000,agent_1,actor_logits,3,1,8,10.017500,-13.423577,3.963329,0.097396,0.980830,-13.423577,2.436556,-8.329974,10.017500,-2.138401,-1.558014,-0.771166,6.054171,
0,1,3.000000,agent_2,actor_logits,3,1,7,8.193062,-8.153091,5.584731,0.039676,0.994275,-8.153091,-5.751696,-1.965887,8.193062,2.608331,-0.652373,1.883854,,
0,2,6.000000,agent_0,actor_logits,2,1,4,2.178191,-7.175073,6.710011,0.017175,0.997841,-7.175073,-4.531820,2.178191,-4.882683,,,,,
0,3,7.472136,agent_1,actor_logits,3,1,5,7.688258,-15.608472,8.684641,0.002469,0.999753,-15.608472,-0.996382,-5.116308,7.688258,-1.801824,,,,
0,3,7.472136,agent_2,actor_logits,4,1,6,7.769831,-9.057745,6.163757,0.018206,0.997566,-9.057745,-4.698956,-2.251119,1.606074,7.769831,-0.385411,,,
0,4,9.472136,agent_2,actor_logits,4,1,5,6.117607,-11.832695,5.875917,0.030080,0.995846,-11.832695,-0.620889,0.241690,-2.502696,6.117607,,,,
0,5,11.944272,agent_1,actor_logits,7,1,8,9.876945,-14.114273,2.991202,0.196012,0.951767,-14.114273,1.959474,-6.014742,6.885742,-2.477567,-0.266238,-0.190989,9.876945,
0,6,13.000000,agent_0,actor_logits,4,1,5,5.629848,-8.945942,6.679754,0.017524,0.997786,-8.945942,-3.871035,-1.397605,-1.049906,5.629848,,,,
0,7,13.944272,agent_2,actor_logits,1,1,5,6.408040,-16.002453,5.928916,0.029907,0.995943,-16.002453,6.408040,-1.256559,0.479124,-0.558023,,,,
0,8,14.944272,agent_1,actor_logits,1,1,4,6.165194,-15.694089,5.735518,0.032385,0.995366,-15.694089,6.165194,0.429676,-0.387216,,,,,
0,9,17.944272,agent_1,actor_logits,3,1,8,8.855204,-15.020403,3.141741,0.180878,0.957611,-15.020403,1.791315,-5.367206,8.855204,-4.164314,-0.077924,-0.749743,5.713462,
0,10,18.000000,agent_0,actor_logits,3,1,5,4.883888,-9.700429,6.365356,0.024058,0.996904,-9.700429,-1.481468,-2.280199,4.883888,-2.516448,,,,
0,11,20.027034,agent_2,actor_logits,4,1,8,9.191998,-15.212609,7.710604,0.006557,0.999291,-15.212609,-0.114040,-2.596186,1.481395,9.191998,-3.983049,0.417917,-2.723535,
0,12,22.416408,agent_1,actor_logits,3,1,5,6.054827,-16.950016,6.347177,0.017078,0.997801,-16.950016,-2.397603,-0.292350,6.054827,-2.286923,,,,
0,13,24.000000,agent_0,actor_logits,2,1,6,7.005998,-13.047590,5.908152,0.030214,0.995861,-13.047590,-4.378302,7.005998,1.097846,0.273942,-1.348124,,,
0,14,26.888544,agent_1,actor_logits,7,1,8,10.427427,-15.387820,5.026743,0.040780,0.993349,-15.387820,-0.438938,-2.347149,5.400684,-2.952731,0.795728,0.447891,10.427427,
0,15,27.098102,agent_2,actor_logits,3,1,6,7.892531,-16.407761,6.766213,0.012865,0.998429,-16.407761,-1.768246,-3.164763,7.892531,-0.089495,1.126318,,,
0,16,29.830952,agent_0,actor_logits,5,1,8,7.636982,-12.142997,5.726297,0.044970,0.993716,-12.142997,-4.883196,0.113988,1.523766,1.910685,7.636982,-0.604974,-2.411993,
0,17,29.888544,agent_1,actor_logits,2,1,4,5.139602,-16.679718,4.797562,0.065869,0.989163,-16.679718,0.342040,5.139602,-0.772852,,,,,
0,18,34.888544,agent_1,actor_logits,3,1,4,6.384350,-14.584798,5.740257,0.024919,0.996423,-14.584798,-1.502355,0.644093,6.384350,,,,,
0,19,35.661904,agent_0,actor_logits,3,1,6,7.927980,-13.755364,7.557311,0.006707,0.999264,-13.755364,-1.553443,-1.224188,7.927980,0.370670,-2.409811,,,
0,20,36.997597,agent_2,actor_logits,3,1,4,8.494095,-16.514580,12.291837,0.000075,0.999995,-16.514580,-3.797742,-5.393409,8.494095,,,,,
0,21,38.661904,agent_0,actor_logits,3,1,5,8.211351,-13.040797,7.370290,0.006438,0.999260,-13.040797,-2.619741,0.841061,8.211351,-1.092960,,,,
0,22,41.888544,agent_1,actor_logits,3,1,4,5.959331,-12.843574,7.814412,0.006551,0.999264,-12.843574,-2.049616,-1.855081,5.959331,,,,,
