episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7
0,0,0.000000,agent_0,actor_logits,1,1,2,8.566944,-0.508771,9.075715,0.001153,0.999886,-0.508771,8.566944,,,,,,
0,0,0.000000,agent_1,actor_logits,1,1,5,5.954153,-4.688088,4.911170,0.048337,0.992144,-2.049538,5.954153,1.042983,-2.581880,-4.688088,,,
0,0,0.000000,agent_2,actor_logits,2,1,7,7.897352,-6.819554,1.388293,0.524305,0.797286,-5.376541,-0.825659,7.897352,-6.819554,-0.456353,2.460824,6.509058,
0,0,0.000000,agent_3,actor_logits,1,1,4,6.426906,-1.644058,5.904793,0.027626,0.996237,-0.783873,6.426906,0.522114,-1.644058,,,,
0,0,0.000000,agent_4,actor_logits,1,1,4,6.562239,-2.795506,5.616016,0.029164,0.995791,-1.036651,6.562239,0.946223,-2.795506,,,,
0,0,0.000000,agent_5,actor_logits,1,1,5,4.770576,-3.724133,3.837642,0.131374,0.974912,-2.122146,4.770576,0.932934,-1.048906,-3.724133,,,
0,5,5.000000,agent_2,actor_logits,2,1,4,5.193535,-3.352809,4.380770,0.071733,0.987077,-2.676736,0.812765,5.193535,-3.352809,,,,
0,6,6.000000,agent_1,actor_logits,2,1,6,5.742166,-7.346166,1.319344,0.593642,0.775747,-2.488732,-3.836866,5.742166,-7.346166,4.422822,1.899309,,
0,6,6.000000,agent_4,actor_logits,0,1,5,6.934638,-4.624079,6.277654,0.025394,0.996627,6.934638,-1.978098,-4.624079,0.336223,0.656983,,,
0,7,7.000000,agent_3,actor_logits,5,1,7,10.576008,-5.426396,6.751919,0.024065,0.997006,2.753195,-5.426396,-4.844494,2.416988,3.805559,10.576008,3.824089,
0,9,9.000000,agent_0,actor_logits,0,1,4,9.068582,-3.443582,8.164108,0.002988,0.999683,9.068582,-3.443582,-1.386102,0.904474,,,,
0,9,9.000000,agent_5,actor_logits,0,1,4,5.531981,-3.030171,4.744720,0.062834,0.989659,5.531981,0.787261,-3.030171,-0.931013,,,,
0,10,10.000000,agent_2,actor_logits,6,1,7,8.544820,-5.299364,1.281157,0.558548,0.778350,-0.768184,-5.299364,2.463686,-3.993301,3.178808,7.263662,8.544820,
0,12,12.000000,agent_4,actor_logits,5,1,6,7.654628,-12.121400,3.717472,0.148474,0.970551,-1.172647,-2.276444,2.513665,-12.121400,3.937156,7.654628,,
0,13,13.000000,agent_2,actor_logits,2,1,3,4.374243,-0.863757,0.908611,0.622248,0.710028,-0.863757,3.465632,4.374243,,,,,
0,14,14.000000,agent_3,actor_logits,2,1,4,9.782076,-7.029913,10.587154,0.000363,0.999969,-7.029913,-2.372127,9.782076,-0.805078,,,,
0,18,18.000000,agent_0,actor_logits,0,1,2,10.341961,-0.504365,10.846326,0.000231,0.999981,10.341961,-0.504365,,,,,,
0,18,18.000000,agent_5,actor_logits,1,1,5,5.328276,-3.998986,3.569890,0.134451,0.971611,1.758387,5.328276,-3.998986,-2.541219,-2.109852,,,
0,19,19.000000,agent_3,actor_logits,0,1,4,12.157741,-4.791809,16.713251,0.000002,1.000000,12.157741,-4.791809,-4.555511,-4.762456,,,,
0,21,21.000000,agent_3,actor_logits,4,1,5,7.380765,-5.690361,7.457192,0.008846,0.998977,-0.076428,-3.655195,-0.375150,-5.690361,7.380765,,,
0,21,21.000000,agent_4,actor_logits,2,1,5,5.213866,-8.912373,4.710928,0.076505,0.987614,-1.146812,0.502938,5.213866,-8.912373,-1.097302,,,
0,22,22.000000,agent_1,actor_logits,0,1,4,5.850939,-5.664328,3.930944,0.099991,0.980184,5.850939,-1.598812,1.919995,-5.664328,,,,
0,22,22.000000,agent_2,actor_logits,0,1,4,9.742132,-2.066149,10.632557,0.000589,0.999951,9.742132,-0.890425,-2.066149,-1.189938,,,,
0,24,24.000000,agent_0,actor_logits,1,1,3,10.293992,-1.656398,6.416777,0.012183,0.998362,-1.656398,10.293992,3.877215,,,,,
0,24,24.000000,agent_4,actor_logits,2,1,4,10.050497,-4.959860,11.903063,0.000112,0.999992,-4.959860,-1.852566,10.050497,-3.465958,,,,
0,24,24.000000,agent_5,actor_logits,1,1,2,8.905499,-2.134137,11.039637,0.000193,0.999984,-2.134137,8.905499,,,,,,
0,26,26.000000,agent_3,actor_logits,5,1,6,8.654742,-12.781994,5.640325,0.046102,0.993147,-1.357583,-2.004099,2.934962,-12.781994,3.014417,8.654742,,
