episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6,logit_a7
0,0,0.000000,agent_0,actor_logits,1,1,2,1.245466,1.026471,0.218995,0.687188,0.554531,1.026471,1.245466,,,,,,
0,0,0.000000,agent_1,actor_logits,1,1,5,0.721750,-1.715232,0.081562,1.390026,0.353364,0.067140,0.721750,0.640188,-1.715232,-0.478223,,,
0,0,0.000000,agent_2,actor_logits,6,1,7,1.862109,-2.542950,0.818122,1.568589,0.433286,-0.030717,-0.002102,1.043986,-2.542950,0.373551,0.732347,1.862109,
0,0,0.000000,agent_3,actor_logits,2,1,4,0.875961,-1.222160,0.178394,1.212417,0.399401,0.697567,0.267984,0.875961,-1.222160,,,,
0,0,0.000000,agent_4,actor_logits,2,1,4,1.040584,-1.671112,0.377412,1.161300,0.443152,0.663172,0.356402,1.040584,-1.671112,,,,
0,0,0.000000,agent_5,actor_logits,1,1,5,0.538136,-1.278801,0.013843,1.462263,0.316935,-0.006012,0.538136,0.524293,-1.278801,-0.314931,,,
0,3,3.000000,agent_2,actor_logits,2,1,3,0.853972,0.281108,0.312520,1.071286,0.435633,0.541452,0.281108,0.853972,,,,,
0,5,5.000000,agent_4,actor_logits,4,1,5,0.563069,-1.355676,0.401589,1.492297,0.323441,0.110440,0.116395,0.161480,-1.355676,0.563069,,,
0,6,6.000000,agent_1,actor_logits,5,1,6,2.677555,-3.514541,0.723179,1.167601,0.493850,1.954375,-1.278035,-0.397008,-3.514541,1.927403,2.677555,,
0,9,9.000000,agent_0,actor_logits,0,1,4,2.546589,-1.113815,1.288122,0.773658,0.730978,2.546589,1.258467,-1.113815,-0.163680,,,,
0,9,9.000000,agent_5,actor_logits,0,1,4,2.015302,-1.531032,1.151522,0.979553,0.624764,2.015302,0.863780,0.651237,-1.531032,,,,
0,10,10.000000,agent_3,actor_logits,1,1,3,2.535907,0.797625,0.582289,0.914437,0.576555,1.953618,2.535907,0.797625,,,,,
0,12,12.000000,agent_2,actor_logits,0,1,4,3.895685,-2.385895,3.333755,0.189734,0.959690,3.895685,0.561931,-1.513763,-2.385895,,,,
0,13,13.000000,agent_1,actor_logits,6,1,7,2.805651,-2.652184,0.563534,1.249403,0.513511,-2.246742,0.404652,2.242118,-2.652184,0.590274,1.020600,2.805651,
0,16,16.000000,agent_1,actor_logits,2,1,3,2.625316,0.186181,1.455956,0.696206,0.757338,0.186181,1.169360,2.625316,,,,,
0,17,17.000000,agent_2,actor_logits,0,1,4,4.542692,-1.739467,4.910049,0.071848,0.988727,4.542692,-0.367358,-1.594787,-1.739467,,,,
0,17,17.000000,agent_4,actor_logits,4,1,6,2.017383,-4.037720,0.020648,1.326316,0.330913,0.521238,-1.467948,1.775823,-4.037720,2.017383,1.996734,,
0,18,18.000000,agent_0,actor_logits,0,1,2,2.691839,1.665676,1.026163,0.577024,0.736171,2.691839,1.665676,,,,,,
0,18,18.000000,agent_3,actor_logits,3,1,4,1.838151,-1.253406,0.352954,1.082896,0.488279,1.485197,0.634081,-1.253406,1.838151,,,,
0,18,18.000000,agent_5,actor_logits,1,1,5,1.060730,-1.068798,0.765357,1.404557,0.446595,0.295373,1.060730,-1.068798,-0.087909,-0.023876,,,
0,24,24.000000,agent_0,actor_logits,1,1,3,3.317103,0.650041,2.351267,0.503799,0.858587,0.965836,3.317103,0.650041,,,,,
0,24,24.000000,agent_5,actor_logits,1,1,2,1.912764,1.811416,0.101348,0.691865,0.525315,1.811416,1.912764,,,,,,
0,25,25.000000,agent_1,actor_logits,0,1,4,2.855111,-1.701394,1.389943,0.649507,0.773408,2.855111,1.465169,-1.701394,-0.544360,,,,
0,25,25.000000,agent_4,actor_logits,4,1,5,1.333667,-1.399072,0.268102,1.248406,0.435294,0.377095,-1.399072,1.065565,-1.152607,1.333667,,,
0,27,27.000000,agent_3,actor_logits,2,1,4,1.967858,-0.381132,1.578205,0.946637,0.689291,0.389653,-0.381132,1.967858,0.063754,,,,
0,27,27.000000,agent_5,actor_logits,0,1,3,3.496257,-0.283008,2.138875,0.428124,0.876711,3.496257,1.357382,-0.283008,,,,,
0,28,28.000000,agent_2,actor_logits,0,1,3,2.531677,0.305938,0.890633,0.816666,0.658595,2.531677,1.641044,0.305938,,,,,
0,30,30.000000,agent_1,actor_logits,0,1,4,2.757364,-2.304603,1.938004,0.587311,0.826258,2.757364,0.819360,-0.056859,-2.304603,,,,
0,31,31.000000,agent_0,actor_logits,3,1,4,3.668367,-0.434439,3.167040,0.323348,0.929921,-0.423645,0.501327,-0.434439,3.668367,,,,
0,32,32.000000,agent_3,actor_logits,0,1,4,2.959879,-2.072342,1.994032,0.555758,0.838831,2.959879,0.965846,-2.072342,-0.046607,,,,
0,33,33.000000,agent_2,actor_logits,0,1,2,4.559272,0.647892,3.911380,0.096557,0.980380,4.559272,0.647892,,,,,,
