episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,q_values,1,1,2,36.258369,33.990246,2.268124,0.311237,0.906202,33.990246,36.258369,,,,
0,0,0.000000,agent_1,q_values,2,1,3,34.827942,32.260292,2.083786,0.563197,0.832519,32.260292,32.744156,34.827942,,,
0,0,0.000000,agent_2,q_values,4,1,5,41.402756,38.942036,0.305008,1.359532,0.370635,41.097748,39.663708,41.045933,38.942036,41.402756,
0,0,0.000000,agent_3,q_values,0,1,3,71.956955,70.806496,0.474854,1.002093,0.515871,71.956955,70.806496,71.482101,,,
0,0,0.000000,agent_4,q_values,1,1,2,39.005856,38.481449,0.524406,0.659918,0.628178,38.481449,39.005856,,,,
0,0,0.000000,agent_5,q_values,0,1,2,46.211678,45.745438,0.466240,0.666696,0.614493,46.211678,45.745438,,,,
0,2,2.000000,agent_3,q_values,2,1,3,72.042252,69.947327,0.029709,0.875903,0.477599,69.947327,72.012543,72.042252,,,
0,3,3.000000,agent_2,q_values,0,1,3,41.874447,39.663433,1.371300,0.742935,0.733479,41.874447,40.503147,39.663433,,,
0,3,3.000000,agent_4,q_values,1,1,3,39.364063,36.999046,1.549099,0.689252,0.765470,37.814964,39.364063,36.999046,,,
0,3,3.000000,agent_5,q_values,1,1,2,46.688522,44.393044,2.295479,0.305990,0.908502,44.393044,46.688522,,,,
0,4,4.000000,agent_3,q_values,0,1,3,72.969795,71.718987,0.790909,0.965680,0.574810,72.969795,71.718987,72.178886,,,
0,6,6.000000,agent_2,q_values,0,1,5,42.142223,38.878750,0.699520,1.073180,0.581022,42.142223,39.891842,39.624790,38.878750,41.442703,
0,6,6.000000,agent_3,q_values,1,1,3,73.324059,68.421188,0.680756,0.666256,0.660651,68.421188,73.324059,72.643303,,,
0,6,6.000000,agent_5,q_values,1,1,2,46.986122,46.355644,0.630478,0.645824,0.652598,46.355644,46.986122,,,,
0,9,9.000000,agent_0,q_values,3,1,4,37.091190,33.170246,2.106850,0.505249,0.860832,33.190289,34.984341,33.170246,37.091190,,
0,9,9.000000,agent_1,q_values,2,1,4,35.971748,31.007195,2.219242,0.584943,0.833759,33.752506,33.491409,35.971748,31.007195,,
0,9,9.000000,agent_4,q_values,0,1,3,39.691330,37.859165,0.554619,0.903379,0.576582,39.691330,39.136711,37.859165,,,
0,11,11.000000,agent_1,q_values,0,1,3,35.427090,32.422455,2.240486,0.479982,0.865079,35.427090,32.422455,33.186604,,,
0,11,11.000000,agent_2,q_values,1,1,3,42.303513,40.061630,1.117722,0.781196,0.697699,41.185791,42.303513,40.061630,,,
0,12,12.000000,agent_3,q_values,0,1,3,74.602890,72.611588,1.744743,0.710724,0.762656,74.602890,72.858147,72.611588,,,
0,13,13.000000,agent_1,q_values,0,1,4,35.295280,29.892862,2.281212,0.536153,0.851147,35.295280,33.014069,32.610249,29.892862,,
0,15,15.000000,agent_0,q_values,2,1,3,37.759052,34.084373,3.605228,0.232838,0.950084,34.084373,34.153824,37.759052,,,
0,15,15.000000,agent_4,q_values,0,1,3,40.786190,37.120007,2.676846,0.344078,0.913781,40.786190,38.109344,37.120007,,,
0,16,16.000000,agent_2,q_values,4,1,5,43.325790,37.885399,3.819641,0.225616,0.957885,38.353287,37.885399,38.794605,39.506149,43.325790,
0,16,16.000000,agent_5,q_values,2,1,4,48.665146,43.230930,1.474052,0.624450,0.785886,47.191093,43.230930,48.665146,45.423225,,
0,18,18.000000,agent_3,q_values,2,1,3,76.224525,68.931602,3.625229,0.125804,0.973403,68.931602,72.599297,76.224525,,,
0,18,18.000000,agent_4,q_values,0,1,2,40.339924,37.833344,2.506580,0.267384,0.924602,40.339924,37.833344,,,,
0,19,19.000000,agent_0,q_values,1,1,2,37.901604,34.640480,3.261124,0.158059,0.963071,34.640480,37.901604,,,,
0,19,19.000000,agent_2,q_values,1,1,3,43.192108,38.324074,2.539345,0.301932,0.920296,40.652763,43.192108,38.324074,,,
0,20,20.000000,agent_3,q_values,2,1,3,76.664680,73.857574,0.771828,0.765993,0.656794,75.892853,73.857574,76.664680,,,
0,21,21.000000,agent_5,q_values,0,1,2,49.630348,47.589005,2.041344,0.356700,0.885070,49.630348,47.589005,,,,
0,22,22.000000,agent_1,q_values,0,1,3,35.631020,31.260187,2.775894,0.284525,0.930289,35.631020,31.260187,32.855125,,,
0,23,23.000000,agent_4,q_values,0,1,3,40.696945,34.551834,3.157398,0.184882,0.957231,40.696945,37.539547,34.551834,,,
