episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,1,1,2,-7.166588,-10.915189,3.748601,0.109528,0.976991,-10.915189,-7.166588,,,,
0,0,0.000000,agent_1,actor_logits,2,1,3,2.051341,-3.351094,4.984975,0.069064,0.988782,-3.351094,-2.933635,2.051341,,,
0,0,0.000000,agent_2,actor_logits,3,1,5,5.833599,-1.772130,3.705314,0.225985,0.953482,2.057412,2.128285,-1.772130,5.833599,-1.312396,
0,0,0.000000,agent_3,actor_logits,0,1,3,2.041452,-3.712457,5.659381,0.044345,0.993389,2.041452,-3.617928,-3.712457,,,
0,0,0.000000,agent_4,actor_logits,0,1,2,0.336464,-0.315674,0.652137,0.642685,0.657492,0.336464,-0.315674,,,,
0,0,0.000000,agent_5,actor_logits,0,1,2,0.336464,-0.315674,0.652137,0.642685,0.657492,0.336464,-0.315674,,,,
0,1,2.000000,agent_3,actor_logits,0,1,3,0.336464,-0.315674,0.223173,1.065255,0.430866,0.336464,-0.315674,0.113290,,,
0,2,3.000000,agent_5,actor_logits,0,1,2,0.336464,-0.315674,0.652137,0.642685,0.657492,0.336464,-0.315674,,,,
0,3,5.000000,agent_4,actor_logits,0,1,3,0.336464,-0.315674,0.223173,1.065255,0.430866,0.336464,-0.315674,0.113290,,,
0,4,9.000000,agent_0,actor_logits,3,1,4,3.016961,-1.084852,2.143477,0.505299,0.862214,-1.084852,-0.632070,0.873484,3.016961,,
0,4,9.000000,agent_1,actor_logits,2,1,4,5.859089,-9.388733,3.588932,0.142014,0.970498,2.270157,-0.029493,5.859089,-9.388733,,
0,4,9.000000,agent_4,actor_logits,0,1,4,0.336464,-0.315674,0.223173,1.352054,0.345423,0.336464,-0.315674,0.113290,-0.218495,,
