episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6
0,0,0.000000,agent_0,actor_logits,2,1,3,0.740185,-0.148864,0.573520,1.029110,0.506435,-0.148864,0.166665,0.740185,,,,
0,0,0.000000,agent_1,actor_logits,1,1,4,0.672916,-0.213044,0.236439,1.341928,0.342919,0.336590,0.672916,0.436477,-0.213044,,,
0,0,0.000000,agent_2,actor_logits,4,1,6,0.565911,-0.416096,0.169704,1.725198,0.255448,-0.218314,0.337917,-0.246888,0.396207,0.565911,-0.416096,
0,0,0.000000,agent_3,actor_logits,3,1,4,0.878772,-0.444161,0.182792,1.266001,0.399087,-0.444161,0.695980,-0.021587,0.878772,,,
0,0,0.000000,agent_4,actor_logits,2,1,3,0.585719,-0.324137,0.699889,1.017327,0.526531,-0.114170,-0.324137,0.585719,,,,
0,0,0.000000,agent_5,actor_logits,2,1,3,0.855219,-0.340671,1.123743,0.933718,0.614441,-0.268524,-0.340671,0.855219,,,,
0,1,3.000000,agent_4,actor_logits,2,1,4,0.334617,-0.202324,0.046854,1.367059,0.294689,0.287763,0.177552,0.334617,-0.202324,,,
0,2,4.472136,agent_3,actor_logits,0,1,3,0.106900,-0.227543,0.020611,1.087824,0.371011,0.106900,0.086290,-0.227543,,,,
0,3,5.656854,agent_1,actor_logits,0,1,4,0.632297,-0.088209,0.273893,1.350196,0.351228,0.632297,0.121857,-0.088209,0.358404,,,
0,4,7.472136,agent_3,actor_logits,1,1,3,0.632077,-0.381313,0.387652,1.022781,0.489804,0.244425,0.632077,-0.381313,,,,
0,5,8.656854,agent_1,actor_logits,3,1,4,0.540406,-0.016335,0.130299,1.363276,0.319869,0.410107,0.147912,-0.016335,0.540406,,,
0,6,9.000000,agent_0,actor_logits,3,1,5,0.980325,-0.192602,0.878118,1.501174,0.400182,0.102207,-0.192602,0.031254,0.980325,0.030326,,
0,6,9.000000,agent_4,actor_logits,1,1,4,0.801913,-0.254648,0.657001,1.288429,0.444881,-0.161106,0.801913,0.144912,-0.254648,,,
0,7,9.486833,agent_5,actor_logits,2,1,5,0.742631,-1.026684,0.266987,1.427126,0.387250,0.475644,-0.345365,0.742631,-0.430860,-1.026684,,
0,8,10.630146,agent_2,actor_logits,2,1,4,0.339797,-0.482444,0.050079,1.343447,0.300408,0.289717,-0.482444,0.339797,0.276008,,,
0,9,11.944272,agent_3,actor_logits,3,1,4,1.495148,-1.260637,0.548455,1.031650,0.552226,0.946693,-1.260637,-0.280034,1.495148,,,
0,10,14.313708,agent_1,actor_logits,0,1,4,1.023434,-0.510132,0.776015,1.244188,0.474319,1.023434,0.247419,0.184768,-0.510132,,,
0,11,15.000000,agent_4,actor_logits,0,1,4,0.472531,-0.497424,0.093387,1.329875,0.335290,0.472531,0.105163,0.379144,-0.497424,,,
0,12,16.416408,agent_3,actor_logits,0,1,3,0.412558,-0.435607,0.551453,1.035010,0.498924,0.412558,-0.138895,-0.435607,,,,
0,13,17.313708,agent_1,actor_logits,1,1,4,0.749960,-0.090494,0.042902,1.314996,0.350385,0.707058,0.749960,-0.016878,-0.090494,,,
0,14,18.000000,agent_4,actor_logits,2,1,4,0.436658,-0.616052,0.003107,1.318066,0.326800,0.099903,0.433551,0.436658,-0.616052,,,
0,15,18.030837,agent_5,actor_logits,2,1,4,0.906331,-0.863892,0.707014,1.217129,0.484540,0.199317,-0.008953,0.906331,-0.863892,,,
0,16,19.232471,agent_2,actor_logits,2,1,4,0.385318,-0.176172,0.399233,1.362218,0.345060,-0.013915,-0.034978,0.385318,-0.176172,,,
0,17,19.416408,agent_3,actor_logits,0,1,3,0.169117,-0.264397,0.142038,1.083279,0.397485,0.169117,0.027079,-0.264397,,,,
0,18,22.000000,agent_0,actor_logits,0,1,5,0.460077,-0.381816,0.021577,1.573935,0.243788,0.460077,0.284869,-0.381816,0.438500,0.301201,,
0,19,22.416408,agent_3,actor_logits,1,1,3,0.042708,-0.122506,0.067696,1.096339,0.359420,-0.024987,0.042708,-0.122506,,,,
0,20,22.970563,agent_1,actor_logits,2,1,4,0.509259,-0.093211,0.036974,1.355953,0.315147,0.472285,-0.093211,0.509259,0.096722,,,
0,21,24.000000,agent_4,actor_logits,1,1,4,0.506606,-0.506657,0.225479,1.330856,0.343341,0.220774,0.506606,0.281127,-0.506657,,,
0,22,24.030837,agent_5,actor_logits,2,1,3,0.822699,0.200356,0.482819,1.060608,0.464311,0.200356,0.339880,0.822699,,,,
0,23,24.232471,agent_2,actor_logits,2,1,4,1.382685,-0.966071,0.808547,1.029779,0.595318,0.574138,-0.592158,1.382685,-0.966071,,,
0,24,25.000000,agent_0,actor_logits,4,1,5,0.874734,-0.155182,0.272887,1.530263,0.325880,0.344904,-0.142222,-0.155182,0.601847,0.874734,,
0,25,26.888544,agent_3,actor_logits,3,1,4,1.023323,-0.655398,0.346080,1.195240,0.461046,0.677242,-0.267972,-0.655398,1.023323,,,
0,26,29.232471,agent_2,actor_logits,2,1,4,0.625630,-0.296788,0.221845,1.306591,0.384088,0.403785,-0.296788,0.625630,-0.278304,,,
0,27,30.000000,agent_4,actor_logits,1,1,4,1.306730,-1.076101,0.701132,1.033203,0.579249,0.605598,1.306730,-1.076101,-0.673331,,,
0,28,31.360680,agent_3,actor_logits,2,1,3,-0.034548,-0.145065,0.096014,1.097385,0.356656,-0.130562,-0.145065,-0.034548,,,,
0,29,31.708204,agent_0,actor_logits,3,1,4,0.908427,-0.383705,0.523315,1.278615,0.435909,0.385112,-0.383705,0.057026,0.908427,,,
0,30,32.970563,agent_1,actor_logits,3,1,4,0.624092,-0.505576,0.138649,1.311959,0.356284,0.485443,-0.505576,0.134825,0.624092,,,
0,31,33.000000,agent_4,actor_logits,0,1,3,0.510263,-0.092323,0.321319,1.068597,0.440027,0.510263,0.188944,-0.092323,,,,
0,32,34.232471,agent_2,actor_logits,2,1,4,0.355128,-0.061063,0.142665,1.375553,0.298837,0.156319,-0.061063,0.355128,0.212463,,,
0,33,36.000000,agent_4,actor_logits,0,1,3,0.694862,-0.540154,0.430463,0.992464,0.515188,0.694862,0.264400,-0.540154,,,,
0,34,36.030837,agent_5,actor_logits,2,1,4,1.290987,-0.718092,0.545829,1.168881,0.497492,0.745158,-0.718092,1.290987,0.075653,,,
0,35,36.970563,agent_1,actor_logits,0,1,3,0.802278,-0.325300,0.976086,0.961947,0.588028,0.802278,-0.173808,-0.325300,,,,
0,36,37.365058,agent_0,actor_logits,2,1,4,0.924709,0.065581,0.625844,1.320802,0.412078,0.298865,0.166241,0.924709,0.065581,,,
0,37,39.000000,agent_4,actor_logits,0,1,3,0.479607,0.154420,0.109294,1.089852,0.381846,0.479607,0.370313,0.154420,,,,
0,38,39.232471,agent_2,actor_logits,3,1,4,0.672552,-0.266394,0.466565,1.323833,0.396202,0.205987,-0.266394,-0.009113,0.672552,,,
0,39,39.970563,agent_1,actor_logits,1,1,3,0.485378,0.300572,0.046469,1.095623,0.358956,0.438909,0.485378,0.300572,,,,
0,40,40.030837,agent_5,actor_logits,0,1,2,0.257532,-0.046904,0.304436,0.681695,0.575527,0.257532,-0.046904,,,,,
0,41,40.304952,agent_3,actor_logits,1,1,3,0.572717,-0.683406,0.978451,0.944075,0.602174,-0.405733,0.572717,-0.683406,,,,
0,42,42.000000,agent_4,actor_logits,1,1,3,0.307733,-0.044063,0.024830,1.086822,0.373288,0.282903,0.307733,-0.044063,,,,
0,43,43.030837,agent_5,actor_logits,0,1,2,0.261794,-0.065856,0.327650,0.679906,0.581188,0.261794,-0.065856,,,,,
0,44,43.196010,agent_0,actor_logits,2,1,4,1.177578,-0.345661,0.911626,1.227807,0.498115,0.265952,0.230037,1.177578,-0.345661,,,
0,45,43.970563,agent_1,actor_logits,3,1,4,0.584285,-0.330200,0.158223,1.338907,0.332209,0.426062,0.304263,-0.330200,0.584285,,,
0,46,46.030837,agent_5,actor_logits,0,1,2,0.498020,-0.301440,0.799460,0.619213,0.689859,0.498020,-0.301440,,,,,
0,47,47.000000,agent_4,actor_logits,1,1,4,0.482757,-0.161945,0.120075,1.358422,0.321212,0.128278,0.482757,0.362682,-0.161945,,,
