episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6
0,0,0.000000,agent_0,actor_logits,1,1,3,5.720717,-14.152314,10.482029,0.000322,0.999972,-14.152314,5.720717,-4.761311,,,,
0,0,0.000000,agent_1,actor_logits,1,1,4,8.309405,-17.635180,10.091142,0.000505,0.999955,-17.635180,8.309405,-4.295466,-1.781736,,,
0,0,0.000000,agent_2,actor_logits,5,1,6,12.270426,-14.865621,7.054581,0.007068,0.999128,-14.865621,5.215845,0.006911,-5.447905,-0.106053,12.270426,
0,0,0.000000,agent_3,actor_logits,1,1,4,6.962225,-12.384909,7.398909,0.005150,0.999388,-12.384909,6.962225,-6.994795,-0.436684,,,
0,0,0.000000,agent_4,actor_logits,2,1,3,4.730394,-14.868784,7.086712,0.006756,0.999165,-14.868784,-2.356318,4.730394,,,,
0,0,0.000000,agent_5,actor_logits,1,1,3,5.708354,-14.535837,7.544327,0.004519,0.999471,-14.535837,5.708354,-1.835973,,,,
0,1,2.000000,agent_3,actor_logits,3,1,4,10.383048,-11.092885,12.677029,0.000053,0.999996,-11.092885,-2.293980,-3.788051,10.383048,,,
0,2,3.000000,agent_2,actor_logits,1,1,4,7.908724,-17.756397,9.979694,0.000609,0.999946,-17.756397,7.908724,-2.070971,-3.845912,,,
0,2,3.000000,agent_4,actor_logits,1,1,4,5.813759,-13.492919,5.916905,0.019028,0.997274,-13.492919,5.813759,-4.311413,-0.103146,,,
0,2,3.000000,agent_5,actor_logits,2,1,3,6.569538,-14.665217,9.294178,0.000947,0.999908,-14.665217,-2.724640,6.569538,,,,
0,3,4.000000,agent_3,actor_logits,3,1,4,7.067907,-12.102213,7.342034,0.005487,0.999346,-12.102213,-0.274127,-4.844514,7.067907,,,
0,4,5.656854,agent_1,actor_logits,3,1,4,8.392231,-20.336580,8.397479,0.002493,0.999741,-20.336580,-0.005248,-1.921427,8.392231,,,
0,5,6.000000,agent_0,actor_logits,1,1,4,6.836131,-14.764766,10.634692,0.000537,0.999954,-14.764766,6.836131,-3.893905,-3.798561,,,
0,5,6.000000,agent_2,actor_logits,1,1,6,10.986588,-15.838248,7.935167,0.003540,0.999612,-15.838248,10.986588,-4.042787,-5.090918,0.551842,3.051420,
0,5,6.000000,agent_4,actor_logits,1,1,3,6.034429,-17.286676,7.694001,0.003959,0.999545,-17.286676,6.034429,-1.659572,,,,
0,5,6.000000,agent_5,actor_logits,1,1,3,5.631086,-16.646898,5.038804,0.038909,0.993560,-16.646898,5.631086,0.592282,,,,
0,6,8.472136,agent_3,actor_logits,2,1,3,0.668417,-14.286675,7.933442,0.003207,0.999641,-14.286675,-7.265025,0.668417,,,,
0,7,9.000000,agent_5,actor_logits,2,1,3,5.766329,-15.725363,7.289268,0.005657,0.999318,-15.725363,-1.522940,5.766329,,,,
0,8,10.472136,agent_2,actor_logits,1,1,4,7.575378,-13.315205,8.682655,0.001723,0.999824,-13.315205,7.575378,-1.107276,-4.401754,,,
0,9,11.000000,agent_4,actor_logits,1,1,4,5.940880,-14.391607,6.961965,0.010417,0.998735,-14.391607,5.940880,-1.021084,-2.109287,,,
0,10,11.313708,agent_1,actor_logits,2,1,4,7.888648,-20.653925,7.998178,0.003130,0.999656,-20.653925,-0.109530,7.888648,-3.794097,,,
0,11,12.000000,agent_0,actor_logits,2,1,3,4.162405,-17.636965,7.662324,0.004071,0.999530,-17.636965,-3.499919,4.162405,,,,
0,11,12.000000,agent_5,actor_logits,2,1,3,6.614245,-16.430716,9.230120,0.001003,0.999902,-16.430716,-2.615875,6.614245,,,,
0,12,15.000000,agent_4,actor_logits,3,1,5,11.545639,-13.220941,9.877606,0.000569,0.999948,-13.220941,-2.828799,-4.483113,11.545639,1.668032,,
0,13,15.472136,agent_2,actor_logits,1,1,3,4.161652,-12.571645,7.678978,0.004013,0.999538,-12.571645,4.161652,-3.517326,,,,
0,14,17.000000,agent_4,actor_logits,3,1,4,6.649953,-10.655131,7.383245,0.006633,0.999234,-10.655131,-0.733292,-2.188644,6.649953,,,
0,15,17.144660,agent_1,actor_logits,1,1,4,6.971573,-17.834528,7.380915,0.005945,0.999309,-17.834528,6.971573,-2.614169,-0.409342,,,
0,16,17.416408,agent_3,actor_logits,1,1,3,1.115978,-15.957524,10.414318,0.000343,0.999970,-15.957524,1.115978,-9.298340,,,,
0,17,21.000000,agent_0,actor_logits,4,1,5,14.362164,-17.406038,9.363176,0.000899,0.999914,-17.406038,-3.984779,4.998988,0.021967,14.362164,,
0,18,21.486833,agent_5,actor_logits,3,1,5,7.241839,-12.097957,8.262608,0.004871,0.999479,-12.097957,-1.020769,-4.120355,7.241839,-1.044221,,
0,19,22.180340,agent_2,actor_logits,1,1,4,6.473598,-10.527100,8.795286,0.002563,0.999742,-10.527100,6.473598,-2.321688,-2.674735,,,
0,20,24.180340,agent_2,actor_logits,4,1,5,9.503851,-14.126924,7.657936,0.004976,0.999446,-14.126924,-0.129301,-1.537938,1.845915,9.503851,,
0,21,25.416408,agent_3,actor_logits,3,1,4,10.981071,-17.247404,10.886421,0.000222,0.999981,-17.247404,0.094650,-8.302024,10.981071,,,
0,22,26.486833,agent_5,actor_logits,1,1,3,8.969856,-17.141266,11.419610,0.000136,0.999989,-17.141266,8.969856,-2.449754,,,,
0,23,27.000000,agent_0,actor_logits,3,1,4,8.900558,-19.705175,7.813536,0.003629,0.999591,-19.705175,-3.277243,1.087023,8.900558,,,
0,24,28.144660,agent_1,actor_logits,3,1,4,9.055544,-15.856007,8.423392,0.002132,0.999776,-15.856007,0.632152,-3.213251,9.055544,,,
0,25,28.180340,agent_4,actor_logits,3,1,4,6.973737,-10.412943,8.533969,0.002937,0.999699,-10.412943,-2.193066,-1.560232,6.973737,,,
0,26,28.416408,agent_3,actor_logits,1,1,3,7.736308,-18.473055,15.579117,0.000003,1.000000,-18.473055,7.736308,-7.842808,,,,
0,27,31.000000,agent_0,actor_logits,1,1,3,6.525759,-18.270956,8.788681,0.001492,0.999848,-18.270956,6.525759,-2.262922,,,,
0,28,32.486833,agent_5,actor_logits,2,1,4,7.170376,-15.171658,6.460776,0.011649,0.998439,-15.171658,0.709600,7.170376,-9.589272,,,
0,29,33.515427,agent_3,actor_logits,3,1,4,10.841511,-12.915689,9.038111,0.001193,0.999881,-12.915689,1.803400,-7.185739,10.841511,,,
0,30,35.000000,agent_0,actor_logits,2,1,4,7.750903,-19.467911,6.918632,0.009520,0.998836,-19.467911,-0.894318,7.750903,0.832272,,,
0,31,35.251408,agent_4,actor_logits,3,1,4,6.388120,-9.546941,7.964138,0.003736,0.999595,-9.546941,-1.576018,-3.376771,6.388120,,,
0,32,36.486833,agent_5,actor_logits,1,1,2,1.531128,-20.183027,21.714155,0.000000,1.000000,-20.183027,1.531128,,,,,
0,33,38.180340,agent_2,actor_logits,3,1,4,13.215967,-15.171425,14.265342,0.000010,0.999999,-15.171425,-1.049374,-4.222051,13.215967,,,
