episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,1,1,2,0.231080,0.214146,0.016934,0.693111,0.504233,0.214146,0.231080,,,,
0,0,0.000000,agent_1,actor_logits,0,1,3,0.346896,0.090834,0.070548,1.093009,0.369552,0.346896,0.090834,0.276348,,,
0,0,0.000000,agent_2,actor_logits,0,1,5,0.369027,-0.126734,0.179124,1.595532,0.256022,0.369027,-0.126734,0.030917,0.189903,0.078259,
0,0,0.000000,agent_3,actor_logits,0,1,3,0.279971,0.169266,0.036945,1.097566,0.349781,0.279971,0.169266,0.243026,,,
0,0,0.000000,agent_4,actor_logits,0,1,2,0.244402,0.156277,0.088125,0.692177,0.522017,0.244402,0.156277,,,,
0,0,0.000000,agent_5,actor_logits,0,1,2,0.227669,0.199996,0.027674,0.693051,0.506918,0.227669,0.199996,,,,
0,2,2.000000,agent_3,actor_logits,2,1,3,0.444748,-0.291640,0.068006,1.053364,0.414405,-0.291640,0.376742,0.444748,,,
0,3,3.000000,agent_5,actor_logits,1,1,2,0.257636,0.123236,0.134400,0.690894,0.533550,0.123236,0.257636,,,,
0,4,4.000000,agent_3,actor_logits,2,1,3,0.520662,-0.150865,0.214453,1.063350,0.431423,-0.150865,0.306209,0.520662,,,
0,5,5.000000,agent_2,actor_logits,0,1,3,0.339642,-0.008445,0.085644,1.088305,0.381104,0.339642,0.253999,-0.008445,,,
0,5,5.000000,agent_4,actor_logits,1,1,3,0.335538,-0.071449,0.005622,1.082290,0.375933,0.329916,0.335538,-0.071449,,,
0,6,6.000000,agent_1,actor_logits,1,1,3,0.306912,0.211455,0.093726,1.097598,0.354674,0.213186,0.306912,0.211455,,,
0,6,6.000000,agent_5,actor_logits,1,1,2,0.314035,0.181205,0.132830,0.690947,0.533159,0.181205,0.314035,,,,
0,9,9.000000,agent_0,actor_logits,3,1,4,0.225720,0.030579,0.001562,1.383086,0.262445,0.030579,0.224158,0.214830,0.225720,,
0,9,9.000000,agent_3,actor_logits,1,1,2,0.266172,0.128024,0.138148,0.690767,0.534482,0.128024,0.266172,,,,
0,10,10.000000,agent_2,actor_logits,0,1,2,0.379122,0.091667,0.287455,0.682924,0.571373,0.379122,0.091667,,,,
0,10,10.000000,agent_4,actor_logits,1,1,2,0.237097,0.210651,0.026446,0.693060,0.506611,0.210651,0.237097,,,,
0,13,13.000000,agent_4,actor_logits,1,1,3,0.268329,0.237885,0.030344,1.098509,0.340121,0.237885,0.268329,0.237985,,,
0,15,15.000000,agent_0,actor_logits,2,1,3,0.432801,-0.005206,0.230962,1.082674,0.409989,-0.005206,0.201839,0.432801,,,
0,16,16.000000,agent_1,actor_logits,2,1,3,0.420380,0.154230,0.216320,1.091662,0.388833,0.204060,0.154230,0.420380,,,
0,16,16.000000,agent_5,actor_logits,2,1,4,0.296692,-0.397711,0.026552,1.354604,0.298727,0.162437,0.270140,0.296692,-0.397711,,
0,17,17.000000,agent_2,actor_logits,0,1,3,0.286826,0.066052,0.120853,1.094523,0.372015,0.286826,0.066052,0.165974,,,
0,18,18.000000,agent_3,actor_logits,0,1,2,0.355434,-0.051412,0.406846,0.672877,0.600331,0.355434,-0.051412,,,,
0,19,19.000000,agent_0,actor_logits,1,1,2,0.295552,-0.038125,0.333677,0.679421,0.582654,-0.038125,0.295552,,,,
0,19,19.000000,agent_2,actor_logits,2,1,4,0.335218,-0.151594,0.013696,1.366506,0.299407,0.321522,-0.151594,0.335218,0.032696,,
0,19,19.000000,agent_4,actor_logits,1,1,3,0.454052,0.027018,0.265282,1.082787,0.413320,0.188770,0.454052,0.027018,,,
0,20,20.000000,agent_1,actor_logits,1,1,2,0.334669,-0.108752,0.443421,0.669161,0.609074,-0.108752,0.334669,,,,
0,21,21.000000,agent_2,actor_logits,0,1,3,0.350791,0.036341,0.093606,1.090318,0.378669,0.350791,0.036341,0.257186,,,
0,21,21.000000,agent_5,actor_logits,0,1,2,0.398555,0.120709,0.277846,0.683590,0.569018,0.398555,0.120709,,,,
0,23,23.000000,agent_2,actor_logits,0,1,4,0.391026,-0.148049,0.121164,1.364878,0.316509,0.391026,-0.148049,0.269862,0.020384,,
0,24,24.000000,agent_0,actor_logits,2,1,3,0.474692,-0.158127,0.192382,1.067010,0.424433,-0.158127,0.282310,0.474692,,,
0,25,25.000000,agent_1,actor_logits,2,1,3,0.456775,-0.127997,0.133005,1.070812,0.411067,-0.127997,0.323770,0.456775,,,
0,25,25.000000,agent_4,actor_logits,1,1,2,0.312130,0.016158,0.295972,0.682316,0.573457,0.016158,0.312130,,,,
0,26,26.000000,agent_3,actor_logits,2,1,3,0.575535,-0.035059,0.593372,1.054456,0.477215,-0.017836,-0.035059,0.575535,,,
0,27,27.000000,agent_5,actor_logits,1,1,3,0.496008,-0.083470,0.306842,1.070868,0.435548,0.189166,0.496008,-0.083470,,,
0,29,29.000000,agent_3,actor_logits,0,1,2,0.336568,-0.198314,0.534882,0.658624,0.630621,0.336568,-0.198314,,,,
0,31,31.000000,agent_5,actor_logits,0,1,1,-0.042639,-0.042639,nan,0.000000,1.000000,-0.042639,,,,,
0,32,32.000000,agent_2,actor_logits,1,1,3,0.464560,-0.146667,0.350467,1.067091,0.445029,0.114093,0.464560,-0.146667,,,
0,35,35.000000,agent_0,actor_logits,1,1,2,0.391540,-0.088119,0.479660,0.665194,0.617667,-0.088119,0.391540,,,,
