episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,0,1,2,0.529175,0.436038,0.093137,0.692064,0.523267,0.529175,0.436038,,,,
0,0,0.000000,agent_1,actor_logits,0,1,3,0.704359,0.177368,0.447851,1.069646,0.448555,0.704359,0.177368,0.256509,,,
0,0,0.000000,agent_2,actor_logits,0,1,5,0.582223,-0.825462,0.398641,1.525836,0.329690,0.582223,-0.014893,0.014507,-0.825462,0.183582,
0,0,0.000000,agent_3,actor_logits,0,1,3,0.615424,0.136172,0.255792,1.079515,0.417789,0.615424,0.359632,0.136172,,,
0,0,0.000000,agent_4,actor_logits,0,1,2,0.601271,0.234011,0.367260,0.676567,0.590797,0.601271,0.234011,,,,
0,0,0.000000,agent_5,actor_logits,0,1,2,0.561199,0.349998,0.211202,0.687602,0.552605,0.561199,0.349998,,,,
0,2,2.000000,agent_3,actor_logits,1,1,3,0.769045,-0.123426,0.322029,1.038781,0.468533,-0.123426,0.769045,0.447017,,,
0,3,3.000000,agent_5,actor_logits,0,1,2,0.442910,0.321465,0.121445,0.691307,0.530324,0.442910,0.321465,,,,
0,5,5.000000,agent_2,actor_logits,0,1,3,0.804501,-0.080834,0.581780,1.028991,0.507233,0.804501,0.222720,-0.080834,,,
0,5,5.000000,agent_4,actor_logits,0,1,3,0.997939,-0.524470,0.671959,0.938102,0.578405,0.997939,0.325980,-0.524470,,,
0,6,6.000000,agent_0,actor_logits,0,1,3,0.865112,-0.158809,0.747814,0.999592,0.545678,0.865112,-0.158809,0.117298,,,
0,6,6.000000,agent_1,actor_logits,2,1,3,0.581723,0.061428,0.099384,1.075890,0.400042,0.482339,0.061428,0.581723,,,
0,8,8.000000,agent_3,actor_logits,2,1,3,1.399185,-0.248002,1.357518,0.831192,0.689708,-0.248002,0.041667,1.399185,,,
0,9,9.000000,agent_4,actor_logits,1,1,4,0.595451,-0.567842,0.011505,1.256435,0.376478,-0.439669,0.595451,0.583945,-0.567842,,
0,10,10.000000,agent_2,actor_logits,0,1,2,0.331215,0.032835,0.298380,0.682141,0.574046,0.331215,0.032835,,,,
0,12,12.000000,agent_0,actor_logits,1,1,2,0.778084,-0.455623,1.233708,0.533822,0.774467,-0.455623,0.778084,,,,
0,12,12.000000,agent_1,actor_logits,1,1,3,0.511548,0.154959,0.136454,1.088197,0.388726,0.154959,0.511548,0.375094,,,
0,13,13.000000,agent_4,actor_logits,1,1,3,1.110466,-0.616906,0.822561,0.893949,0.618408,0.287905,1.110466,-0.616906,,,
0,15,15.000000,agent_5,actor_logits,1,1,3,1.264879,-0.642731,0.794811,0.871382,0.624960,0.470068,1.264879,-0.642731,,,
0,17,17.000000,agent_2,actor_logits,0,1,3,0.369617,0.266953,0.099741,1.097449,0.356188,0.369617,0.269876,0.266953,,,
0,17,17.000000,agent_3,actor_logits,2,1,3,1.215587,-0.243343,0.504462,0.958348,0.544569,-0.243343,0.711126,1.215587,,,
0,18,18.000000,agent_1,actor_logits,1,1,3,0.493977,0.156588,0.052928,1.088410,0.375646,0.441049,0.493977,0.156588,,,
0,18,18.000000,agent_4,actor_logits,1,1,2,0.977396,-0.692883,1.670278,0.436986,0.841613,-0.692883,0.977396,,,,
0,19,19.000000,agent_2,actor_logits,2,1,4,1.034360,-0.238436,1.149861,1.209719,0.527844,-0.238436,-0.177065,1.034360,-0.115500,,
0,20,20.000000,agent_3,actor_logits,1,1,3,0.699647,0.023996,0.033471,1.058534,0.403892,0.023996,0.699647,0.666176,,,
0,20,20.000000,agent_5,actor_logits,1,1,2,0.185014,-0.638806,0.823820,0.615003,0.695047,-0.638806,0.185014,,,,
0,21,21.000000,agent_0,actor_logits,3,1,4,1.411912,-0.617432,0.923164,1.165804,0.529681,-0.617432,0.488749,0.388161,1.411912,,
0,21,21.000000,agent_2,actor_logits,2,1,3,0.678206,0.156891,0.432485,1.070807,0.445904,0.156891,0.245721,0.678206,,,
0,21,21.000000,agent_4,actor_logits,2,1,3,0.761988,-0.211947,0.010179,1.021412,0.422392,-0.211947,0.751809,0.761988,,,
0,23,23.000000,agent_5,actor_logits,2,1,3,0.763031,-0.097599,0.202201,1.042640,0.446463,-0.097599,0.560830,0.763031,,,
0,24,24.000000,agent_1,actor_logits,0,1,3,0.716294,-0.040143,0.726468,1.031026,0.512046,0.716294,-0.010174,-0.040143,,,
0,27,27.000000,agent_0,actor_logits,2,1,3,1.050325,-0.241631,0.891344,0.949299,0.593529,-0.241631,0.158981,1.050325,,,
0,28,28.000000,agent_3,actor_logits,0,1,2,0.419290,0.150557,0.268733,0.684201,0.566782,0.419290,0.150557,,,,
0,30,30.000000,agent_1,actor_logits,0,1,3,1.060901,-0.599262,0.750545,0.911198,0.601606,1.060901,0.310357,-0.599262,,,
0,30,30.000000,agent_4,actor_logits,2,1,4,0.781576,-0.361390,0.351938,1.279380,0.419736,-0.361390,0.429639,0.781576,-0.239373,,
0,31,31.000000,agent_0,actor_logits,1,1,2,0.506154,-0.093801,0.599954,0.650100,0.645646,-0.093801,0.506154,,,,
0,31,31.000000,agent_3,actor_logits,0,1,2,0.432407,0.081382,0.351025,0.677979,0.586866,0.432407,0.081382,,,,
0,32,32.000000,agent_5,actor_logits,2,1,4,1.033443,-0.438952,0.775483,1.219769,0.501793,-0.438952,0.257960,1.033443,-0.160591,,
0,33,33.000000,agent_2,actor_logits,2,1,3,1.216638,-0.219560,0.724644,0.945841,0.580610,-0.219560,0.491995,1.216638,,,
0,35,35.000000,agent_4,actor_logits,0,1,2,0.913589,-0.731914,1.645504,0.442507,0.838282,0.913589,-0.731914,,,,
0,36,36.000000,agent_0,actor_logits,2,1,3,0.680543,0.118084,0.560550,1.060338,0.467137,0.118084,0.119992,0.680543,,,
0,37,37.000000,agent_1,actor_logits,0,1,4,0.639395,-0.464645,0.523430,1.299937,0.422164,0.639395,-0.170879,0.115964,-0.464645,,
0,37,37.000000,agent_5,actor_logits,0,1,2,0.680846,-0.881548,1.562394,0.461086,0.826697,0.680846,-0.881548,,,,
0,39,39.000000,agent_3,actor_logits,2,1,3,0.583572,-0.455487,0.006048,1.012599,0.425938,0.577525,-0.455487,0.583572,,,
0,41,41.000000,agent_2,actor_logits,2,1,3,1.158932,-0.307919,0.762298,0.937911,0.589191,-0.307919,0.396634,1.158932,,,
0,41,41.000000,agent_4,actor_logits,0,1,3,0.851312,-0.784990,0.041166,0.933714,0.464173,0.851312,0.810146,-0.784990,,,
0,42,42.000000,agent_3,actor_logits,2,1,3,0.776333,0.137514,0.630554,1.049418,0.485387,0.145779,0.137514,0.776333,,,
0,43,43.000000,agent_5,actor_logits,1,1,3,0.833032,-0.826523,0.097275,0.933342,0.476751,0.735757,0.833032,-0.826523,,,
0,46,46.000000,agent_1,actor_logits,0,1,2,0.384809,-0.007112,0.391921,0.674309,0.596745,0.384809,-0.007112,,,,
0,47,47.000000,agent_0,actor_logits,0,1,2,0.494315,-0.524855,1.019171,0.578415,0.734811,0.494315,-0.524855,,,,
0,47,47.000000,agent_3,actor_logits,0,1,1,-0.621094,-0.621094,nan,0.000000,1.000000,-0.621094,,,,,
0,47,47.000000,agent_5,actor_logits,0,1,1,0.031285,0.031285,nan,0.000000,1.000000,0.031285,,,,,
0,51,51.000000,agent_2,actor_logits,0,1,2,0.966308,-0.980156,1.946463,0.376652,0.875060,0.966308,-0.980156,,,,
0,51,51.000000,agent_5,actor_logits,0,1,3,1.258092,-0.512957,1.212072,0.834783,0.681322,1.258092,0.046020,-0.512957,,,
0,52,52.000000,agent_3,actor_logits,0,1,3,0.674317,-0.553521,0.302493,0.995992,0.492151,0.674317,0.371824,-0.553521,,,
0,53,53.000000,agent_1,actor_logits,0,1,3,0.599357,-0.293577,0.513101,1.032216,0.497986,0.599357,-0.293577,0.086256,,,
0,53,53.000000,agent_4,actor_logits,0,1,2,1.518356,-0.872092,2.390448,0.288202,0.916096,1.518356,-0.872092,,,,
0,55,55.000000,agent_3,actor_logits,0,1,3,1.059042,-0.316719,1.216008,0.894712,0.645553,1.059042,-0.156965,-0.316719,,,
0,58,58.000000,agent_0,actor_logits,0,1,3,1.003197,-0.168199,0.872611,0.968009,0.578773,1.003197,0.130585,-0.168199,,,
0,59,59.000000,agent_1,actor_logits,1,1,2,0.212598,-0.424369,0.636968,0.644892,0.654068,-0.424369,0.212598,,,,
0,59,59.000000,agent_4,actor_logits,0,1,3,1.214694,-0.450678,1.523371,0.801350,0.710683,1.214694,-0.308676,-0.450678,,,
0,63,63.000000,agent_0,actor_logits,0,1,2,0.384034,-0.742197,1.126231,0.556615,0.755143,0.384034,-0.742197,,,,
0,63,63.000000,agent_5,actor_logits,0,1,2,1.085566,-1.031297,2.116863,0.341190,0.892531,1.085566,-1.031297,,,,
0,64,64.000000,agent_3,actor_logits,1,1,3,0.879232,-0.876622,0.307523,0.923556,0.524102,0.571709,0.879232,-0.876622,,,
0,65,65.000000,agent_4,actor_logits,0,1,3,1.039138,-0.182184,1.029066,0.942618,0.605261,1.039138,0.010073,-0.182184,,,
0,67,67.000000,agent_0,actor_logits,0,1,3,0.877953,-0.250715,0.801004,0.981160,0.564225,0.877953,0.076949,-0.250715,,,
0,68,68.000000,agent_1,actor_logits,3,1,4,1.296692,-0.638063,0.754600,1.200266,0.492624,-0.638063,0.542092,0.417908,1.296692,,
0,68,68.000000,agent_4,actor_logits,0,1,2,0.392584,-0.531394,0.923978,0.596828,0.715852,0.392584,-0.531394,,,,
0,69,69.000000,agent_5,actor_logits,0,1,3,1.375791,-0.795710,1.831733,0.666787,0.784842,1.375791,-0.795710,-0.455942,,,
0,70,70.000000,agent_3,actor_logits,1,1,2,0.756086,-1.088378,1.844464,0.398603,0.863476,-1.088378,0.756086,,,,
0,71,71.000000,agent_2,actor_logits,1,1,3,3.070819,-1.509833,3.421987,0.194138,0.958869,-0.351168,3.070819,-1.509833,,,
0,73,73.000000,agent_0,actor_logits,1,1,4,0.826879,-0.626037,0.317207,1.265121,0.415553,-0.626037,0.826879,0.509671,0.015773,,
0,73,73.000000,agent_3,actor_logits,1,1,3,1.066890,-0.227375,0.842001,0.954386,0.586529,0.224889,1.066890,-0.227375,,,
0,73,73.000000,agent_4,actor_logits,0,1,3,0.944802,-0.580354,0.889496,0.915837,0.614081,0.944802,-0.580354,0.055305,,,
0,74,74.000000,agent_1,actor_logits,2,1,3,1.057038,-0.707249,0.845077,0.886070,0.624675,-0.707249,0.211961,1.057038,,,
0,75,75.000000,agent_5,actor_logits,0,1,3,1.019228,-0.460937,0.806752,0.931517,0.597405,1.019228,-0.460937,0.212476,,,
0,76,76.000000,agent_2,actor_logits,1,1,3,2.110644,-0.964378,2.094383,0.498464,0.855187,0.016260,2.110644,-0.964378,,,
0,77,77.000000,agent_4,actor_logits,2,1,4,0.943226,-0.353077,0.355728,1.249943,0.437422,-0.221791,-0.353077,0.943226,0.587498,,
0,78,78.000000,agent_1,actor_logits,1,1,2,0.093095,-0.691519,0.784614,0.621736,0.686674,-0.691519,0.093095,,,,
0,78,78.000000,agent_5,actor_logits,0,1,2,0.213738,-1.016062,1.229800,0.534664,0.773784,0.213738,-1.016062,,,,
0,79,79.000000,agent_4,actor_logits,1,1,3,0.607529,0.078296,0.453773,1.069183,0.449583,0.153756,0.607529,0.078296,,,
0,80,80.000000,agent_0,actor_logits,2,1,3,0.754301,-0.492791,0.737422,0.971261,0.566353,-0.492791,0.016879,0.754301,,,
0,81,81.000000,agent_3,actor_logits,1,1,2,0.650468,-0.801615,1.452083,0.485760,0.810319,-0.801615,0.650468,,,,
0,83,83.000000,agent_1,actor_logits,2,1,3,0.887841,-0.461314,0.489243,0.974422,0.534031,-0.461314,0.398597,0.887841,,,
0,83,83.000000,agent_2,actor_logits,1,1,3,1.907968,-1.300773,1.569279,0.587533,0.800895,0.338689,1.907968,-1.300773,,,
0,83,83.000000,agent_5,actor_logits,0,1,3,0.811448,-0.819490,0.660393,0.923575,0.583978,0.811448,-0.819490,0.151054,,,
0,86,86.000000,agent_4,actor_logits,1,1,2,0.690503,-1.806746,2.497249,0.269018,0.923949,-1.806746,0.690503,,,,
0,87,87.000000,agent_5,actor_logits,2,1,4,0.740985,-0.687893,0.061028,1.279266,0.355600,-0.687893,0.281760,0.740985,0.679957,,
0,88,88.000000,agent_0,actor_logits,3,1,4,1.095326,-0.097118,0.729417,1.253680,0.477139,-0.075350,0.365909,-0.097118,1.095326,,
0,88,88.000000,agent_2,actor_logits,0,1,3,0.876829,0.052516,0.750306,1.022117,0.523352,0.876829,0.052516,0.126523,,,
0,89,89.000000,agent_5,actor_logits,0,1,3,0.539947,-0.034069,0.450869,1.066092,0.454477,0.539947,-0.034069,0.089077,,,
0,90,90.000000,agent_3,actor_logits,0,1,2,0.418781,-1.069570,1.488351,0.477657,0.815831,0.418781,-1.069570,,,,
0,91,91.000000,agent_2,actor_logits,0,1,5,0.936218,-0.772131,0.230993,1.441292,0.368962,0.936218,-0.772131,0.164605,-0.361604,0.705225,
0,91,91.000000,agent_4,actor_logits,1,1,3,1.257795,-0.725805,0.872358,0.851651,0.642865,-0.725805,1.257795,0.385436,,,
0,91,91.000000,agent_5,actor_logits,1,1,4,1.162310,-0.833057,0.344642,1.159804,0.472920,-0.833057,1.162310,-0.146703,0.817668,,
0,94,94.000000,agent_1,actor_logits,1,1,2,0.172890,-1.320802,1.493692,0.476463,0.816632,-1.320802,0.172890,,,,
0,95,95.000000,agent_0,actor_logits,2,1,3,0.728117,-0.298088,1.000282,0.972061,0.579327,-0.272165,-0.298088,0.728117,,,
0,95,95.000000,agent_3,actor_logits,0,1,3,1.134907,-0.461320,1.378760,0.835862,0.687498,1.134907,-0.243853,-0.461320,,,
0,95,95.000000,agent_5,actor_logits,2,1,3,1.072172,-1.013774,0.901870,0.833791,0.653595,-1.013774,0.170302,1.072172,,,
0,96,96.000000,agent_2,actor_logits,0,1,3,0.619561,-0.311611,0.419014,1.031877,0.487380,0.619561,-0.311611,0.200548,,,
