episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4
0,0,0.000000,agent_0,q_values,0,1,2,94.488220,93.972229,0.515991,0.660942,0.626210,94.488220,93.972229,,,
0,0,0.000000,agent_1,q_values,1,1,2,103.656288,102.713295,0.942993,0.593233,0.719704,102.713295,103.656288,,,
0,0,0.000000,agent_2,q_values,2,1,3,91.014191,90.241348,0.499336,1.045883,0.483411,90.241348,90.514854,91.014191,,
0,0,0.000000,agent_3,q_values,1,1,4,130.172470,128.797089,0.058105,1.282785,0.356241,128.797089,130.172470,129.679474,130.114365,
0,0,0.000000,agent_4,q_values,0,1,2,88.194809,88.050911,0.143898,0.690566,0.535913,88.194809,88.050911,,,
0,0,0.000000,agent_5,q_values,0,1,2,89.325256,88.781158,0.544098,0.657468,0.632765,89.325256,88.781158,,,
0,1,1.000000,agent_3,q_values,2,1,3,130.926102,129.337799,0.646271,0.930793,0.578614,129.337799,130.279831,130.926102,,
0,2,2.000000,agent_0,q_values,1,1,2,94.582237,94.224442,0.357796,0.677397,0.588507,94.224442,94.582237,,,
0,2,2.000000,agent_4,q_values,0,1,4,88.550850,86.491203,0.584625,1.076082,0.547520,88.550850,87.966225,86.491203,86.596138,
0,3,3.000000,agent_0,q_values,1,1,3,94.471703,93.823288,0.553856,1.054180,0.476734,93.917847,94.471703,93.823288,,
0,3,3.000000,agent_1,q_values,1,1,2,104.048538,103.418190,0.630348,0.645842,0.652568,103.418190,104.048538,,,
0,3,3.000000,agent_5,q_values,0,1,2,89.970718,89.861893,0.108826,0.691669,0.527180,89.970718,89.861893,,,
0,4,4.000000,agent_2,q_values,1,1,4,91.840332,89.818535,0.108177,1.225628,0.374594,89.818535,91.840332,91.393532,91.732155,
0,4,4.000000,agent_3,q_values,1,1,4,132.438019,129.957870,0.052963,1.157591,0.403022,129.957870,132.438019,131.637527,132.385056,
0,5,5.000000,agent_3,q_values,1,1,4,134.119568,131.469254,0.511963,1.007332,0.556337,131.469254,134.119568,132.060120,133.607605,
0,5,5.000000,agent_5,q_values,0,1,4,90.231064,88.605347,0.528954,1.252404,0.441009,90.231064,89.702110,88.605347,89.500290,
0,6,6.000000,agent_0,q_values,2,1,3,94.487938,92.939232,0.830887,0.918998,0.606728,92.939232,93.657051,94.487938,,
0,6,6.000000,agent_1,q_values,1,1,2,103.921654,102.583992,1.337662,0.511154,0.792105,102.583992,103.921654,,,
0,6,6.000000,agent_4,q_values,1,1,3,88.893021,86.814835,2.022018,0.648860,0.795200,86.814835,88.893021,86.871002,,
0,7,7.000000,agent_2,q_values,3,1,4,92.448509,90.468452,0.278084,1.200803,0.436136,90.468452,91.526123,92.170425,92.448509,
0,7,7.000000,agent_3,q_values,1,1,2,133.745651,132.874451,0.871201,0.606572,0.704995,132.874451,133.745651,,,
0,8,8.000000,agent_4,q_values,1,1,3,88.490387,86.719002,1.527504,0.783515,0.720890,86.962883,88.490387,86.719002,,
0,9,9.000000,agent_0,q_values,1,1,2,94.042305,93.291046,0.751259,0.627281,0.679453,93.291046,94.042305,,,
0,9,9.000000,agent_1,q_values,1,1,3,104.101349,102.801781,1.259026,0.899777,0.642434,102.801781,104.101349,102.842323,,
0,9,9.000000,agent_2,q_values,1,1,2,92.020950,89.430115,2.590836,0.252941,0.930269,89.430115,92.020950,,,
0,9,9.000000,agent_3,q_values,3,1,4,134.466614,131.571426,0.919510,1.073704,0.565416,131.571426,133.547104,133.310181,134.466614,
0,9,9.000000,agent_5,q_values,0,1,3,91.289566,89.158447,1.213448,0.781102,0.706277,91.289566,90.076118,89.158447,,
0,10,10.000000,agent_3,q_values,2,1,3,136.798111,132.758881,2.900558,0.285121,0.932311,132.758881,133.897552,136.798111,,
0,10,10.000000,agent_4,q_values,0,1,3,88.091827,86.449158,1.255615,0.847874,0.676424,88.091827,86.449158,86.836212,,
0,11,11.000000,agent_2,q_values,3,1,4,91.911575,89.218376,0.292351,1.103153,0.476161,89.218376,90.659676,91.619225,91.911575,
0,11,11.000000,agent_3,q_values,2,1,3,137.139069,133.693970,0.973434,0.682202,0.709378,133.693970,136.165634,137.139069,,
0,11,11.000000,agent_4,q_values,1,1,3,87.974426,87.019066,0.113518,1.028886,0.439105,87.860909,87.974426,87.019066,,
0,12,12.000000,agent_0,q_values,0,1,2,93.689842,93.024483,0.665359,0.640728,0.660463,93.689842,93.024483,,,
0,12,12.000000,agent_1,q_values,2,1,3,104.303940,102.357925,1.899628,0.691537,0.773714,102.404312,102.357925,104.303940,,
0,12,12.000000,agent_2,q_values,1,1,3,91.875229,90.504974,0.906982,0.936351,0.603215,90.504974,91.875229,90.968246,,
0,12,12.000000,agent_4,q_values,0,1,3,87.823326,86.869568,0.573570,1.021630,0.513136,87.823326,87.249756,86.869568,,
0,12,12.000000,agent_5,q_values,0,1,2,90.926155,89.103271,1.822884,0.403305,0.860912,90.926155,89.103271,,,
0,13,13.000000,agent_3,q_values,1,1,2,137.678314,133.596558,4.081757,0.084485,0.983402,133.596558,137.678314,,,
0,13,13.000000,agent_4,q_values,0,1,3,88.676384,86.049934,2.198952,0.534961,0.845127,88.676384,86.477432,86.049934,,
0,15,15.000000,agent_0,q_values,0,1,2,94.555695,92.540588,2.015106,0.362168,0.882374,94.555695,92.540588,,,
0,15,15.000000,agent_2,q_values,0,1,2,91.212234,90.288620,0.923615,0.596897,0.715778,91.212234,90.288620,,,
0,15,15.000000,agent_3,q_values,1,1,2,137.125015,134.093506,3.031509,0.186633,0.953977,134.093506,137.125015,,,
0,15,15.000000,agent_5,q_values,0,1,2,90.870644,89.978516,0.892128,0.602751,0.709329,90.870644,89.978516,,,
0,16,16.000000,agent_1,q_values,1,1,4,105.453995,101.888031,0.600952,1.095833,0.493626,101.888031,105.453995,104.853043,104.653854,
0,17,17.000000,agent_3,q_values,0,1,2,137.415436,134.651276,2.764160,0.225015,0.940708,137.415436,134.651276,,,
0,17,17.000000,agent_4,q_values,0,1,3,89.209450,86.090683,3.047974,0.346509,0.916031,89.209450,86.090683,86.161476,,
0,18,18.000000,agent_0,q_values,0,1,3,94.794556,92.425850,0.824493,0.807290,0.652716,94.794556,93.970062,92.425850,,
0,18,18.000000,agent_2,q_values,0,1,2,91.671082,91.363228,0.307854,0.681439,0.576361,91.671082,91.363228,,,
0,18,18.000000,agent_5,q_values,0,1,2,90.801270,89.802437,0.998833,0.582433,0.730829,90.801270,89.802437,,,
0,19,19.000000,agent_0,q_values,0,1,2,92.453850,91.120171,1.333679,0.512031,0.791449,92.453850,91.120171,,,
0,19,19.000000,agent_1,q_values,2,1,3,105.210060,104.762314,0.281837,1.081124,0.417805,104.928223,104.762314,105.210060,,
0,20,20.000000,agent_3,q_values,0,1,2,137.895187,134.084717,3.810471,0.104425,0.978342,137.895187,134.084717,,,
0,20,20.000000,agent_4,q_values,0,1,3,89.233765,86.066200,3.030098,0.343123,0.917080,89.233765,86.066200,86.203667,,
0,21,21.000000,agent_0,q_values,1,1,2,91.681129,91.265068,0.416061,0.671968,0.602540,91.265068,91.681129,,,
0,21,21.000000,agent_5,q_values,1,1,2,89.613136,89.568886,0.044250,0.692903,0.511061,89.568886,89.613136,,,
0,22,22.000000,agent_0,q_values,1,1,3,90.594635,89.976639,0.033585,1.064572,0.399043,90.561050,90.594635,89.976639,,
0,22,22.000000,agent_2,q_values,1,1,3,92.508057,91.294601,1.146530,0.928155,0.619231,91.361526,92.508057,91.294601,,
0,22,22.000000,agent_3,q_values,2,1,4,137.508194,132.158875,1.536179,0.555165,0.808717,133.408203,135.972015,137.508194,132.158875,
0,23,23.000000,agent_1,q_values,1,1,2,106.166130,103.697159,2.468971,0.274011,0.921938,103.697159,106.166130,,,
0,23,23.000000,agent_4,q_values,0,1,2,89.318214,86.756523,2.561691,0.257873,0.928355,89.318214,86.756523,,,
0,24,24.000000,agent_3,q_values,1,1,2,137.750275,133.952576,3.797699,0.105460,0.978069,133.952576,137.750275,,,
0,24,24.000000,agent_5,q_values,1,1,2,90.316521,88.979462,1.337059,0.511287,0.792006,88.979462,90.316521,,,
