episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,1,1,3,5.947336,-21.312414,9.570869,0.000737,0.999930,-21.312414,5.947336,-3.623534,,,
0,0,0.000000,agent_1,actor_logits,1,1,3,4.287913,-22.631540,5.467515,0.027198,0.995796,-22.631540,4.287913,-1.179602,,,
0,0,0.000000,agent_2,actor_logits,1,1,3,2.334541,-17.448709,1.873335,0.392343,0.866844,-17.448709,2.334541,0.461206,,,
0,0,0.000000,agent_3,actor_logits,2,1,4,4.854486,-2.838996,4.648643,0.062338,0.989502,-2.838996,-2.599047,4.854486,0.205843,,
0,0,0.000000,agent_4,actor_logits,2,1,4,4.948937,-5.274748,4.339532,0.071282,0.986873,-3.462252,0.609405,4.948937,-5.274748,,
0,0,0.000000,agent_5,actor_logits,3,1,5,5.162843,-15.801791,2.813258,0.253166,0.937985,-15.801791,-2.465019,-0.018720,5.162843,2.349585,
0,0,0.000000,agent_6,actor_logits,2,1,3,1.902895,-18.069017,0.384876,0.674968,0.595049,-18.069017,1.518019,1.902895,,,
0,0,0.000000,agent_7,actor_logits,2,1,3,3.656238,-8.307164,4.629859,0.054523,0.990332,-8.307164,-0.973622,3.656238,,,
0,0,0.000000,agent_8,actor_logits,1,1,3,1.270529,-13.018729,1.909458,0.384569,0.870958,-13.018729,1.270529,-0.638929,,,
0,1,1.000000,agent_1,actor_logits,2,1,4,2.252624,-23.095064,1.357419,0.527240,0.792720,-23.095064,0.895205,2.252624,-3.230824,,
0,2,2.000000,agent_0,actor_logits,1,1,3,4.144741,-22.305380,5.524817,0.025916,0.996029,-22.305380,4.144741,-1.380076,,,
0,2,2.000000,agent_5,actor_logits,3,1,5,3.754251,-16.044956,0.547383,0.799870,0.608445,-16.044956,-3.600535,3.206868,3.754251,1.012110,
0,2,2.000000,agent_6,actor_logits,2,1,5,2.104138,-14.476893,1.248549,1.107274,0.595771,-14.476893,0.855588,2.104138,0.256004,0.651899,
0,3,3.000000,agent_2,actor_logits,2,1,3,3.709288,-18.912811,5.517280,0.026082,0.995999,-18.912811,-1.807992,3.709288,,,
0,3,3.000000,agent_4,actor_logits,3,1,5,6.778077,-3.068408,2.760192,0.254064,0.936580,1.093904,-3.068408,-0.147509,6.778077,4.017885,
0,3,3.000000,agent_6,actor_logits,3,1,5,4.783793,-8.071257,2.210554,0.396867,0.889236,-8.071257,-0.614497,0.217254,4.783793,2.573239,
0,3,3.000000,agent_7,actor_logits,3,1,4,3.731149,-10.260652,3.113245,0.189660,0.955589,-10.260652,0.617903,-2.474723,3.731149,,
0,3,3.000000,agent_8,actor_logits,2,1,3,2.059577,-14.283459,3.645340,0.118546,0.974552,-14.283459,-1.585763,2.059577,,,
0,4,4.000000,agent_0,actor_logits,1,1,3,4.865142,-21.897175,8.723257,0.001582,0.999837,-21.897175,4.865142,-3.858115,,,
0,4,4.000000,agent_1,actor_logits,2,1,4,1.815794,-20.430298,0.498046,0.968969,0.538225,-20.430298,0.430472,1.815794,1.317747,,
0,4,4.000000,agent_3,actor_logits,2,1,4,6.552013,-5.204940,5.993503,0.017687,0.997489,-4.566569,-5.204940,6.552013,0.558511,,
0,4,4.000000,agent_5,actor_logits,2,1,3,2.765104,-17.380995,5.465338,0.027248,0.995787,-17.380995,-2.700234,2.765104,,,
0,4,4.000000,agent_6,actor_logits,3,1,5,5.221907,-14.527864,4.800768,0.095439,0.984152,-14.527864,0.421139,0.234742,5.221907,-1.632834,
0,4,4.000000,agent_7,actor_logits,3,1,4,2.055115,-14.748519,0.624376,0.803046,0.621384,-14.748519,-0.552428,1.430739,2.055115,,
0,5,5.000000,agent_3,actor_logits,2,1,4,6.713314,-11.605494,7.754463,0.005590,0.999379,-11.605494,-1.842583,6.713314,-1.041149,,
0,5,5.000000,agent_5,actor_logits,1,1,3,2.392582,-16.757015,3.877019,0.099174,0.979708,-16.757015,2.392582,-1.484438,,,
0,6,6.000000,agent_0,actor_logits,2,1,3,2.695507,-22.596863,4.331042,0.069298,0.987017,-22.596863,-1.635535,2.695507,,,
0,6,6.000000,agent_2,actor_logits,2,1,3,2.947299,-18.846476,4.713905,0.050836,0.991110,-18.846476,-1.766606,2.947299,,,
0,6,6.000000,agent_4,actor_logits,3,1,5,8.188826,-4.430826,7.971832,0.006238,0.999321,-4.430826,-1.964903,0.216993,8.188826,0.049506,
0,6,6.000000,agent_6,actor_logits,2,1,3,4.115477,-18.859772,4.658397,0.053191,0.990607,-18.859772,-0.542921,4.115477,,,
0,6,6.000000,agent_7,actor_logits,1,1,3,3.850634,-16.613070,4.283947,0.071958,0.986399,-16.613070,3.850634,-0.433314,,,
0,6,6.000000,agent_8,actor_logits,2,1,3,5.820519,-13.482049,9.588045,0.000726,0.999931,-13.482049,-3.767525,5.820519,,,
0,7,7.000000,agent_0,actor_logits,3,1,4,6.112723,-23.403492,7.061417,0.008563,0.998972,-23.403492,-2.558597,-0.948693,6.112723,,
0,7,7.000000,agent_1,actor_logits,2,1,4,4.263293,-21.657728,3.522406,0.150781,0.968298,-21.657728,0.740887,4.263293,-1.477723,,
0,7,7.000000,agent_3,actor_logits,1,1,4,4.898399,-17.240839,5.145761,0.038451,0.993896,-17.240839,4.898399,-0.247362,-3.156452,,
0,7,7.000000,agent_4,actor_logits,2,1,4,5.977190,-13.383304,6.694239,0.011728,0.998527,-13.383304,-0.717048,5.977190,-2.368714,,
0,7,7.000000,agent_5,actor_logits,3,1,5,7.666116,-17.346066,5.526565,0.027582,0.995870,-17.346066,-1.293468,-2.486989,7.666116,2.139551,
0,8,8.000000,agent_0,actor_logits,2,1,3,6.152311,-23.902973,7.394060,0.005158,0.999385,-23.902973,-1.241749,6.152311,,,
0,8,8.000000,agent_4,actor_logits,4,1,5,4.800402,-17.340424,0.535890,0.683710,0.628134,-17.340424,-0.190892,4.264513,-4.737704,4.800402,
0,8,8.000000,agent_6,actor_logits,2,1,5,7.889966,-15.151705,8.421221,0.002885,0.999707,-15.151705,-2.618043,7.889966,-2.114945,-0.531255,
0,8,8.000000,agent_7,actor_logits,2,1,4,4.425876,-14.867098,4.942050,0.045415,0.992545,-14.867098,-0.516173,4.425876,-3.473167,,
0,8,8.000000,agent_8,actor_logits,1,1,3,2.790688,-15.356770,1.567413,0.459963,0.827414,-15.356770,2.790688,1.223275,,,
0,9,9.000000,agent_2,actor_logits,2,1,3,3.379444,-16.650095,6.823847,0.008500,0.998914,-16.650095,-3.444403,3.379444,,,
0,9,9.000000,agent_3,actor_logits,1,1,4,3.117362,-17.611671,3.628174,0.138765,0.971439,-17.611671,3.117362,-0.510812,-2.747941,,
0,9,9.000000,agent_5,actor_logits,4,1,5,4.507048,-16.610800,1.458960,0.566375,0.797436,-16.610800,-2.243977,0.613446,3.048089,4.507048,
0,9,9.000000,agent_6,actor_logits,2,1,5,7.010144,-7.945519,6.262631,0.015514,0.997934,-7.945519,-2.912857,7.010144,0.747513,-2.059927,
0,9,9.000000,agent_7,actor_logits,2,1,4,2.175086,-9.697835,2.529031,0.446214,0.880763,-9.697835,-0.713835,2.175086,-0.353945,,
0,10,10.000000,agent_1,actor_logits,1,1,4,6.959804,-22.338482,8.731356,0.001905,0.999809,-22.338482,6.959804,-1.771552,-3.481780,,
0,10,10.000000,agent_4,actor_logits,2,1,3,1.764555,-19.501354,0.479608,0.665200,0.617655,-19.501354,1.284946,1.764555,,,
0,10,10.000000,agent_8,actor_logits,1,1,3,3.737117,-17.873257,3.538157,0.128591,0.971754,-17.873257,3.737117,0.198960,,,
0,11,11.000000,agent_0,actor_logits,1,1,3,3.757658,-20.598280,4.279198,0.072232,0.986336,-20.598280,3.757658,-0.521540,,,
0,11,11.000000,agent_1,actor_logits,1,1,3,4.231709,-22.103846,6.135743,0.015412,0.997841,-22.103846,4.231709,-1.904033,,,
0,11,11.000000,agent_5,actor_logits,1,1,3,3.991174,-16.259676,7.168581,0.006289,0.999230,-16.259676,3.991174,-3.177408,,,
