episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5
0,0,0.000000,agent_0,actor_logits,2,1,3,-0.771647,-3.210534,0.183223,0.842550,0.520877,-0.954870,-3.210534,-0.771647,,,
0,0,0.000000,agent_1,actor_logits,1,1,3,1.394982,-0.901472,1.428936,0.720641,0.746169,-0.901472,1.394982,-0.033954,,,
0,0,0.000000,agent_2,actor_logits,3,1,4,0.080598,-2.200871,0.842197,1.099653,0.565428,-0.761599,-2.200871,-1.364703,0.080598,,
0,0,0.000000,agent_3,actor_logits,4,1,5,0.694456,-2.662044,1.467657,1.106780,0.635870,-1.062829,-2.662044,-0.773201,-1.309410,0.694456,
0,0,0.000000,agent_4,actor_logits,0,1,3,0.961863,-0.931610,0.783361,0.874618,0.622117,0.961863,-0.931610,0.178502,,,
0,0,0.000000,agent_5,actor_logits,2,1,3,2.027637,0.682279,0.192292,0.979102,0.479499,1.835345,0.682279,2.027637,,,
0,1,1.000000,agent_0,actor_logits,1,1,4,1.197103,-3.088522,1.279300,0.765364,0.729078,-0.082197,1.197103,-1.333649,-3.088522,,
0,1,1.000000,agent_4,actor_logits,0,1,3,0.875083,-0.458428,0.998618,0.930549,0.612768,0.875083,-0.458428,-0.123536,,,
0,2,2.000000,agent_0,actor_logits,0,1,3,-1.179004,-2.385446,0.376857,0.997840,0.503709,-1.179004,-1.555861,-2.385446,,,
0,2,2.000000,agent_3,actor_logits,0,1,3,-0.887391,-3.060334,0.152824,0.871055,0.507068,-0.887391,-3.060334,-1.040216,,,
0,2,2.000000,agent_4,actor_logits,0,1,3,0.703048,-0.498540,0.810880,0.970424,0.573006,0.703048,-0.498540,-0.107832,,,
0,2,2.000000,agent_5,actor_logits,1,1,3,2.820431,-0.249501,1.107609,0.689023,0.726337,1.712823,2.820431,-0.249501,,,
0,3,3.000000,agent_0,actor_logits,0,1,3,-1.209564,-2.938915,0.427704,0.924122,0.546626,-1.209564,-2.938915,-1.637268,,,
0,3,3.000000,agent_1,actor_logits,2,1,3,1.912521,-1.278129,1.844258,0.534383,0.833828,0.068263,-1.278129,1.912521,,,
