episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4
0,0,0.000000,agent_0,actor_logits,0,1,2,-0.101117,-0.130454,0.029337,0.693040,0.507334,-0.101117,-0.130454,,,
0,0,0.000000,agent_1,actor_logits,0,1,2,-0.101117,-0.130454,0.029337,0.693040,0.507334,-0.101117,-0.130454,,,
0,0,0.000000,agent_2,actor_logits,2,1,3,0.101727,-0.117534,0.129961,1.094519,0.372962,-0.117534,-0.028234,0.101727,,
0,0,0.000000,agent_3,actor_logits,2,1,4,0.149140,-0.138794,0.037100,1.378352,0.286328,-0.138794,-0.100468,0.149140,0.112041,
0,0,0.000000,agent_4,actor_logits,0,1,2,-0.101117,-0.130454,0.029337,0.693040,0.507334,-0.101117,-0.130454,,,
0,0,0.000000,agent_5,actor_logits,0,1,2,-0.101117,-0.130454,0.029337,0.693040,0.507334,-0.101117,-0.130454,,,
0,2,2.000000,agent_0,actor_logits,1,1,2,0.192396,-0.196335,0.388731,0.674609,0.595977,-0.196335,0.192396,,,
0,2,2.000000,agent_4,actor_logits,2,1,4,0.133512,-0.206697,0.046057,1.376882,0.289428,-0.206697,0.087455,0.133512,-0.104136,
0,3,3.000000,agent_0,actor_logits,2,1,3,0.148942,-0.190120,0.033477,1.087869,0.373202,-0.190120,0.115465,0.148942,,
0,3,3.000000,agent_1,actor_logits,1,1,2,0.292906,-0.050202,0.343108,0.678646,0.584945,-0.050202,0.292906,,,
0,3,3.000000,agent_3,actor_logits,0,1,4,0.090689,-0.188658,0.039857,1.380577,0.279723,0.090689,-0.062735,-0.188658,0.050832,
0,3,3.000000,agent_5,actor_logits,1,1,2,0.387844,-0.182446,0.570291,0.654088,0.638830,-0.182446,0.387844,,,
0,4,4.000000,agent_0,actor_logits,1,1,2,-0.208307,-0.244973,0.036666,0.692979,0.509165,-0.244973,-0.208307,,,
0,4,4.000000,agent_2,actor_logits,2,1,4,0.262245,-0.195280,0.033179,1.368961,0.299542,-0.195280,-0.041271,0.262245,0.229066,
0,4,4.000000,agent_4,actor_logits,1,1,2,-0.062054,-0.171226,0.109173,0.691660,0.527266,-0.171226,-0.062054,,,
0,5,5.000000,agent_2,actor_logits,0,1,3,-0.075201,-0.118167,0.002777,1.098421,0.338390,-0.075201,-0.077979,-0.118167,,
0,5,5.000000,agent_4,actor_logits,0,1,2,-0.036312,-0.323971,0.287659,0.682910,0.571423,-0.036312,-0.323971,,,
0,6,6.000000,agent_1,actor_logits,1,1,2,0.535443,-0.361594,0.897037,0.601847,0.710340,-0.361594,0.535443,,,
0,6,6.000000,agent_2,actor_logits,3,1,4,0.258917,-0.119952,0.255127,1.374368,0.315826,-0.119952,0.003790,-0.088019,0.258917,
0,6,6.000000,agent_5,actor_logits,1,1,2,0.573539,-0.384328,0.957867,0.590390,0.722695,-0.384328,0.573539,,,
0,7,7.000000,agent_0,actor_logits,1,1,2,0.239929,-0.151208,0.391137,0.674383,0.596556,-0.151208,0.239929,,,
0,7,7.000000,agent_3,actor_logits,0,1,3,0.452337,-1.003796,0.252169,0.964614,0.497451,0.452337,0.200168,-1.003796,,
0,7,7.000000,agent_4,actor_logits,1,1,4,0.219244,-0.398023,0.267768,1.361408,0.335353,-0.048524,0.219244,-0.398023,-0.170208,
0,8,8.000000,agent_5,actor_logits,0,1,2,0.211940,-0.136554,0.348494,0.678194,0.586252,0.211940,-0.136554,,,
0,9,9.000000,agent_1,actor_logits,1,1,2,0.634180,-0.446103,1.080283,0.566096,0.746548,-0.446103,0.634180,,,
0,9,9.000000,agent_2,actor_logits,3,1,4,0.410895,-0.478072,0.139884,1.341055,0.326737,-0.478072,0.162466,0.271011,0.410895,
0,9,9.000000,agent_3,actor_logits,0,1,3,0.378623,-0.348006,0.696546,1.036447,0.504582,0.378623,-0.317923,-0.348006,,
0,10,10.000000,agent_0,actor_logits,1,1,2,0.308663,0.012966,0.295697,0.682336,0.573390,0.012966,0.308663,,,
0,10,10.000000,agent_2,actor_logits,2,1,3,0.025724,-0.260209,0.080259,1.091677,0.373945,-0.260209,-0.054535,0.025724,,
0,10,10.000000,agent_4,actor_logits,0,1,4,0.145067,-0.446742,0.020541,1.362400,0.293576,0.145067,0.009570,-0.446742,0.124526,
0,10,10.000000,agent_5,actor_logits,0,1,2,0.361322,-0.031446,0.392768,0.674229,0.596949,0.361322,-0.031446,,,
0,11,11.000000,agent_2,actor_logits,0,1,3,0.205408,-0.537884,0.178135,1.055601,0.432456,0.205408,-0.537884,0.027273,,
0,12,12.000000,agent_1,actor_logits,1,1,2,0.560292,-0.430513,0.990804,0.584007,0.729247,-0.430513,0.560292,,,
0,12,12.000000,agent_2,actor_logits,3,1,4,0.259625,-0.200736,0.169481,1.372426,0.309657,-0.200736,-0.022442,0.090144,0.259625,
0,12,12.000000,agent_3,actor_logits,0,1,2,0.637861,-0.303596,0.941457,0.593525,0.719394,0.637861,-0.303596,,,
0,12,12.000000,agent_5,actor_logits,0,1,3,0.153152,-0.181171,0.002229,1.087286,0.368515,0.153152,0.150923,-0.181171,,
0,13,13.000000,agent_0,actor_logits,0,1,2,0.322988,0.116124,0.206864,0.687827,0.551532,0.322988,0.116124,,,
0,13,13.000000,agent_2,actor_logits,2,1,3,0.299412,-0.357919,0.568821,1.052428,0.479749,-0.357919,-0.269409,0.299412,,
0,13,13.000000,agent_5,actor_logits,2,1,4,0.318545,-0.470592,0.340397,1.346614,0.358746,-0.021852,-0.156655,0.318545,-0.470592,
0,14,14.000000,agent_4,actor_logits,0,1,3,0.520208,-0.712350,0.583472,0.985233,0.540686,0.520208,-0.063264,-0.712350,,
0,15,15.000000,agent_1,actor_logits,2,1,3,0.614291,-0.652291,0.234861,0.990562,0.482515,-0.652291,0.379430,0.614291,,
0,15,15.000000,agent_2,actor_logits,1,1,2,0.243558,-0.839902,1.083460,0.565446,0.747148,-0.839902,0.243558,,,
0,15,15.000000,agent_3,actor_logits,0,1,2,0.560754,-0.174459,0.735213,0.629886,0.675948,0.560754,-0.174459,,,
0,15,15.000000,agent_4,actor_logits,1,1,3,0.262135,-0.588652,0.160783,1.043091,0.438875,0.101352,0.262135,-0.588652,,
0,15,15.000000,agent_5,actor_logits,0,1,2,-0.131321,-0.368968,0.237647,0.686137,0.559134,-0.131321,-0.368968,,,
0,16,16.000000,agent_0,actor_logits,0,1,2,0.761948,-0.397762,1.159711,0.549600,0.761280,0.761948,-0.397762,,,
0,16,16.000000,agent_4,actor_logits,1,1,3,0.017276,-0.071410,0.012283,1.097856,0.344480,0.004994,0.017276,-0.071410,,
