episode,step,sim_time,agent_id,policy_head,chosen_action,active_mask,n_valid,max_logit,min_logit,logit_gap_top2,entropy,max_prob,logit_a0,logit_a1,logit_a2,logit_a3,logit_a4,logit_a5,logit_a6
0,0,0.000000,agent_0,actor_logits,1,1,2,3.890239,1.262237,2.628002,0.246750,0.932642,1.262237,3.890239,,,,,
0,0,0.000000,agent_1,actor_logits,1,1,5,6.251183,-5.587974,0.773738,0.623968,0.684305,5.477444,6.251183,-5.587974,-5.301579,-4.017429,,
0,0,0.000000,agent_2,actor_logits,4,1,5,7.166797,-7.760648,5.138638,0.071873,0.988369,2.019821,2.028158,-7.760648,-2.207704,7.166797,,
0,0,0.000000,agent_3,actor_logits,0,1,3,3.956078,-3.962797,0.254227,0.686937,0.563101,3.956078,-3.962797,3.701851,,,,
0,0,0.000000,agent_4,actor_logits,0,1,6,6.019923,-4.439603,3.192503,0.181400,0.958659,6.019923,-0.383409,-2.913737,-4.439603,-2.322461,2.827420,
0,0,0.000000,agent_5,actor_logits,0,1,2,2.581149,-0.884006,3.465155,0.135853,0.969680,2.581149,-0.884006,,,,,
0,1,8.000000,agent_3,actor_logits,2,1,3,4.323570,-6.166596,1.303478,0.518907,0.786403,3.020092,-6.166596,4.323570,,,,
0,1,8.000000,agent_4,actor_logits,0,1,6,5.330106,-5.983895,1.794816,0.433213,0.854678,5.330106,-0.650492,-2.428860,-1.675167,-5.983895,3.535290,
0,1,8.000000,agent_5,actor_logits,0,1,2,2.700344,-2.571036,5.271380,0.032062,0.994890,2.700344,-2.571036,,,,,
0,2,10.000000,agent_0,actor_logits,3,1,5,1.625044,-1.704562,1.882166,0.849919,0.759046,-0.257122,-0.903635,-1.378490,1.625044,-1.704562,,
0,3,14.140000,agent_1,actor_logits,0,1,4,7.281752,-1.928721,5.417330,0.030647,0.995355,7.281752,-1.928721,-1.684870,1.864422,,,
0,3,14.140000,agent_2,actor_logits,1,1,5,7.137667,-6.460509,2.493414,0.270548,0.923602,4.644253,7.137667,-6.460509,-6.151254,-2.209563,,
0,4,16.000000,agent_4,actor_logits,5,1,6,7.082204,-2.942237,3.716458,0.117081,0.975777,3.365747,-1.943044,-1.803478,-1.428229,-2.942237,7.082204,
0,4,16.000000,agent_5,actor_logits,0,1,2,2.244503,-2.993347,5.237849,0.032972,0.994716,2.244503,-2.993347,,,,,
0,5,18.000000,agent_3,actor_logits,0,1,3,2.025334,-4.674099,2.722579,0.240189,0.937263,2.025334,-4.674099,-0.697245,,,,
0,6,20.000000,agent_0,actor_logits,5,1,6,3.764194,-2.703242,1.945820,0.536290,0.848392,1.818374,-0.261754,-0.826871,-2.703242,-1.304880,3.764194,
0,7,22.140000,agent_1,actor_logits,0,1,4,5.589179,-2.938128,3.083585,0.197063,0.953891,5.589179,-2.938128,-0.466267,2.505594,,,
0,8,24.000000,agent_5,actor_logits,0,1,2,1.831170,-3.373579,5.204749,0.033896,0.994540,1.831170,-3.373579,,,,,
0,9,26.000000,agent_3,actor_logits,0,1,3,3.017621,-2.375207,2.946468,0.225120,0.946007,3.017621,-2.375207,0.071153,,,,
0,9,26.000000,agent_4,actor_logits,2,1,3,3.589647,-6.672833,3.112209,0.176513,0.957362,0.477438,-6.672833,3.589647,,,,
0,10,28.280000,agent_2,actor_logits,0,1,5,3.708992,-5.696811,0.199859,0.696062,0.549231,3.708992,3.509133,-2.696293,-5.696811,-5.130891,,
0,11,30.140000,agent_1,actor_logits,0,1,4,5.411903,-2.214513,1.896747,0.394503,0.868773,5.411903,-2.178720,-2.214513,3.515156,,,
0,12,32.000000,agent_5,actor_logits,0,1,2,0.543532,-1.814673,2.358205,0.294166,0.913584,0.543532,-1.814673,,,,,
0,13,34.000000,agent_3,actor_logits,0,1,3,1.384859,-1.579254,2.540531,0.435066,0.884619,1.384859,-1.155672,-1.579254,,,,
0,14,34.140000,agent_0,actor_logits,1,1,3,4.534760,-4.514231,1.962401,0.374278,0.876702,2.572359,4.534760,-4.514231,,,,
0,15,36.000000,agent_4,actor_logits,3,1,5,3.634092,-6.845072,1.303084,0.569741,0.778960,2.331008,-3.386956,-0.862264,3.634092,-6.845072,,
