edge_id,from_vertex,to_vertex,length,oriented,visibility,is_enabled
e3,v1,v4,9.0,false,true,true
e33,v25,v23,5.0,false,true,true
e45,v31,v32,10.0,false,true,true
e38,v27,v28,20.0,false,true,true
e14,v8,v11,5.656854249492381,false,true,true
e2,v2,v3,7.0,false,true,true
e62,v45,v46,12.0,false,true,true
e28,v21,v22,13.038404810405298,false,true,true
e37,v24,v27,22.0,false,true,true
e43,v17,v30,5.385164807134504,false,true,true
e47,v33,v34,8.94427190999916,false,true,true
e58,v15,v42,12.0,false,true,true
e56,v38,v40,4.242640687119285,false,true,true
e13,v9,v10,5.0,false,true,true
e66,v49,v48,5.0,false,true,true
e44,v17,v31,2.0,false,true,true
e68,v49,v50,9.486832980505138,false,true,true
e10,v6,v8,6.708203932499369,false,true,true
e9,v5,v6,7.0710678118654755,false,true,true
e16,v10,v12,11.0,false,true,true
e20,v14,v15,4.0,false,true,true
e69,v50,v42,3.0,false,true,true
e24,v16,v19,11.180339887498949,false,true,true
e57,v15,v41,5.0,false,true,true
e21,v14,v16,2.0,false,true,true
e30,v21,v24,10.63014581273465,false,true,true
e32,v25,v24,8.602325267042627,false,true,true
e1,v1,v2,6.0,false,true,true
e36,v26,v27,4.47213595499958,false,true,true
e31,v25,v21,3.0,false,true,true
e7,v4,v6,13.0,false,true,true
e15,v11,v12,5.830951894845301,false,true,true
e25,v18,v20,5.0,false,true,true
e67,v49,v43,8.54400374531753,false,true,true
e12,v7,v9,4.0,false,true,true
e46,v31,v33,4.47213595499958,false,true,true
e17,v10,v13,11.0,false,true,true
e55,v39,v37,3.0,false,true,true
e64,v46,v48,6.0,false,true,true
e18,v13,v12,15.556349186104045,false,true,true
e50,v35,v30,5.0990195135927845,false,true,true
e5,v3,v6,9.0,false,true,true
e65,v49,v44,8.54400374531753,false,true,true
e22,v14,v17,14.0,false,true,true
e27,v20,v22,9.055385138137417,false,true,true
e52,v36,v37,8.0,false,true,true
e11,v7,v8,10.0,false,true,true
e49,v32,v35,3.0,false,true,true
e40,v22,v29,15.132745950421556,false,true,true
e61,v44,v45,6.0,false,true,true
e8,v4,v7,6.0,false,true,true
e19,v11,v14,9.0,false,true,true
e51,v30,v36,9.0,false,true,true
e39,v22,v19,10.44030650891055,false,true,true
e29,v21,v23,7.211102550927978,false,true,true
e34,v23,v26,7.0,false,true,true
e41,v19,v29,7.0710678118654755,false,true,true
e53,v36,v38,3.0,false,true,true
e26,v20,v21,4.47213595499958,false,true,true
e59,v41,v43,3.0,false,true,true
e4,v2,v5,8.0,false,true,true
e23,v16,v18,6.708203932499369,false,true,true
e54,v39,v38,8.0,false,true,true
e42,v29,v28,9.899494936611665,false,true,true
e35,v26,v22,7.280109889280518,false,true,true
e63,v46,v47,4.0,false,true,true
e6,v4,v5,6.082762530298219,false,true,true
e48,v34,v32,8.0,false,true,true
e60,v43,v44,6.0,false,true,true
